date_time,Mongolia_maxtempC,Mongolia_mintempC,Mongolia_totalSnow_cm,Mongolia_sunHour,Mongolia_uvIndex,Mongolia_moon_illumination,Mongolia_moonrise,Mongolia_moonset,Mongolia_sunrise,Mongolia_sunset,Mongolia_DewPointC,Mongolia_FeelsLikeC,Mongolia_HeatIndexC,Mongolia_WindChillC,Mongolia_WindGustKmph,Mongolia_cloudcover,Mongolia_humidity,Mongolia_precipMM,Mongolia_pressure,Mongolia_tempC,Mongolia_visibility,Mongolia_winddirDegree,Mongolia_windspeedKmph,Mongolia_location
2020-12-05,-16,-22,0.0,8.7,1,60,09:22 PM,12:27 PM,08:25 AM,05:00 PM,-21,-24,-18,-24,14,36,84,0.0,1035,-16,9,295,9,Mongolia
2020-12-06,-19,-25,0.0,8.7,2,53,10:34 PM,01:00 PM,08:26 AM,05:00 PM,-22,-25,-21,-25,9,39,88,0.0,1043,-19,9,288,5,Mongolia
2020-12-07,-17,-19,0.0,8.7,2,46,11:50 PM,01:28 PM,08:28 AM,05:00 PM,-22,-19,-19,-19,4,4,76,0.0,1036,-17,10,222,2,Mongolia
2020-12-08,-16,-20,0.0,8.7,2,38,No moonrise,01:52 PM,08:29 AM,05:00 PM,-25,-20,-19,-20,6,5,59,0.0,1025,-16,10,236,3,Mongolia
2020-12-09,-16,-20,0.0,8.3,2,31,01:06 AM,02:14 PM,08:30 AM,04:59 PM,-21,-23,-18,-23,11,18,78,0.0,1023,-16,10,253,6,Mongolia
2020-12-10,-19,-22,0.0,6.8,1,24,02:24 AM,02:35 PM,08:31 AM,04:59 PM,-23,-25,-21,-25,9,41,86,0.0,1030,-19,10,198,4,Mongolia
2020-12-11,-20,-24,0.0,8.3,1,17,03:44 AM,02:58 PM,08:32 AM,04:59 PM,-24,-24,-22,-24,6,41,82,0.0,1030,-20,10,233,3,Mongolia
2020-12-12,-22,-26,0.4,5.0,1,9,05:06 AM,03:25 PM,08:32 AM,04:59 PM,-25,-28,-24,-28,9,75,92,0.5,1039,-22,6,236,5,Mongolia
2020-12-13,-24,-30,0.1,8.7,2,2,06:29 AM,03:56 PM,08:33 AM,05:00 PM,-27,-28,-26,-28,6,32,89,0.1,1041,-24,8,238,3,Mongolia
2020-12-14,-20,-30,0.0,8.7,2,0,07:53 AM,04:36 PM,08:34 AM,05:00 PM,-26,-24,-23,-24,2,14,75,0.0,1039,-20,10,231,1,Mongolia
2020-12-15,-18,-29,0.0,8.7,2,0,09:10 AM,05:27 PM,08:35 AM,05:00 PM,-23,-22,-21,-22,4,6,76,0.0,1037,-18,10,192,2,Mongolia
2020-12-16,-16,-20,0.0,8.6,2,5,10:16 AM,06:28 PM,08:36 AM,05:00 PM,-21,-21,-18,-21,8,16,81,0.0,1034,-16,10,291,4,Mongolia
2020-12-17,-18,-22,0.0,8.6,1,12,11:09 AM,07:38 PM,08:36 AM,05:00 PM,-22,-22,-21,-22,5,25,89,0.0,1042,-18,9,166,3,Mongolia
2020-12-18,-18,-22,0.0,8.6,2,20,11:49 AM,08:50 PM,08:37 AM,05:01 PM,-22,-20,-20,-20,4,10,84,0.0,1040,-18,10,246,2,Mongolia
2020-12-19,-15,-20,0.0,8.6,2,27,12:20 PM,10:02 PM,08:38 AM,05:01 PM,-20,-17,-16,-17,5,4,75,0.0,1038,-15,10,197,2,Mongolia
2020-12-20,-11,-16,0.0,8.6,2,34,12:45 PM,11:12 PM,08:38 AM,05:02 PM,-20,-16,-14,-16,8,4,61,0.0,1031,-11,10,134,4,Mongolia
2020-12-21,-12,-22,0.0,8.6,1,41,01:06 PM,No moonset,08:39 AM,05:02 PM,-20,-19,-16,-19,11,31,70,0.0,1022,-12,10,185,5,Mongolia
2020-12-22,-15,-22,2.1,3.2,1,49,01:24 PM,12:18 AM,08:39 AM,05:03 PM,-19,-22,-18,-22,9,100,95,2.5,1024,-15,5,298,5,Mongolia
2020-12-23,-20,-29,0.1,8.6,2,56,01:41 PM,01:24 AM,08:40 AM,05:03 PM,-24,-26,-23,-26,9,40,85,0.1,1027,-20,8,226,4,Mongolia
2020-12-24,-18,-24,0.0,8.6,1,63,01:59 PM,02:27 AM,08:40 AM,05:04 PM,-23,-24,-20,-24,8,28,78,0.0,1022,-18,10,254,4,Mongolia
2020-12-25,-15,-20,0.0,6.9,1,70,02:17 PM,03:32 AM,08:41 AM,05:04 PM,-20,-18,-17,-18,8,37,78,0.0,1019,-15,10,155,4,Mongolia
2020-12-26,-16,-23,0.0,5.1,1,78,02:39 PM,04:36 AM,08:41 AM,05:05 PM,-21,-24,-19,-24,12,50,88,0.0,1026,-16,9,312,6,Mongolia
2020-12-27,-25,-33,0.6,3.2,1,85,03:05 PM,05:42 AM,08:41 AM,05:06 PM,-29,-36,-28,-36,17,79,95,0.7,1043,-25,5,326,10,Mongolia
2020-12-28,-31,-33,0.0,5.1,1,92,03:36 PM,06:48 AM,08:41 AM,05:07 PM,-33,-42,-32,-42,20,69,90,0.0,1057,-31,7,312,11,Mongolia
2020-12-29,-28,-39,0.0,3.2,1,100,04:15 PM,07:52 AM,08:42 AM,05:07 PM,-30,-39,-31,-39,19,88,95,0.0,1056,-28,4,318,11,Mongolia
2020-12-30,-23,-28,0.0,8.7,2,100,05:05 PM,08:52 AM,08:42 AM,05:08 PM,-29,-27,-24,-27,7,4,69,0.0,1043,-23,10,275,4,Mongolia
2020-12-31,-20,-24,0.0,5.1,1,89,06:04 PM,09:44 AM,08:42 AM,05:09 PM,-26,-22,-21,-22,4,71,62,0.0,1032,-20,10,213,2,Mongolia
2021-01-01,-23,-28,0.3,3.3,1,79,07:12 PM,10:28 AM,08:42 AM,05:10 PM,-26,-31,-25,-31,11,85,93,0.3,1038,-23,7,313,7,Mongolia
2021-01-02,-24,-29,0.0,6.9,1,71,08:25 PM,11:03 AM,08:42 AM,05:11 PM,-27,-33,-27,-33,11,61,95,0.0,1044,-24,5,317,6,Mongolia
2021-01-03,-26,-31,0.0,3.3,1,64,09:40 PM,11:33 AM,08:42 AM,05:12 PM,-29,-36,-29,-36,13,93,97,0.0,1046,-26,2,307,7,Mongolia
2021-01-04,-27,-32,0.0,8.7,1,57,10:56 PM,11:57 AM,08:41 AM,05:13 PM,-31,-34,-30,-34,9,58,93,0.0,1042,-27,9,266,4,Mongolia
2021-01-05,-33,-40,0.3,3.3,1,50,No moonrise,12:19 PM,08:41 AM,05:14 PM,-36,-47,-35,-47,25,83,89,0.3,1055,-33,9,326,17,Mongolia
2021-01-06,-31,-37,0.7,3.3,1,42,12:12 AM,12:40 PM,08:41 AM,05:16 PM,-32,-40,-32,-40,17,96,97,0.8,1048,-31,7,286,9,Mongolia
2021-01-07,-24,-29,0.8,3.3,1,35,01:29 AM,01:02 PM,08:41 AM,05:17 PM,-25,-34,-26,-34,24,90,96,0.9,1042,-24,8,307,14,Mongolia
2021-01-08,-20,-28,0.0,8.7,1,28,02:47 AM,01:26 PM,08:40 AM,05:18 PM,-23,-31,-22,-31,26,52,92,0.0,1040,-20,9,315,14,Mongolia
2021-01-09,-19,-29,0.0,8.7,1,20,04:07 AM,01:54 PM,08:40 AM,05:19 PM,-24,-27,-22,-27,13,40,81,0.0,1039,-19,9,275,7,Mongolia
2021-01-10,-16,-29,0.0,8.7,2,13,05:28 AM,02:28 PM,08:40 AM,05:20 PM,-24,-24,-22,-24,7,18,80,0.0,1033,-16,10,239,4,Mongolia
2021-01-11,-16,-29,0.2,8.7,1,6,06:46 AM,03:13 PM,08:39 AM,05:22 PM,-22,-24,-21,-24,8,65,83,0.2,1016,-16,9,232,4,Mongolia
2021-01-12,-17,-29,2.0,5.1,1,0,07:57 AM,04:08 PM,08:39 AM,05:23 PM,-23,-28,-22,-28,14,73,94,2.4,1017,-17,5,319,8,Mongolia
2021-01-13,-21,-27,0.9,5.1,1,0,08:56 AM,05:14 PM,08:38 AM,05:24 PM,-24,-28,-23,-28,9,83,92,1.0,1021,-21,7,172,5,Mongolia
2021-01-14,-20,-28,0.1,8.7,1,1,09:42 AM,06:26 PM,08:38 AM,05:26 PM,-25,-29,-24,-29,11,41,92,0.1,1034,-20,8,289,6,Mongolia
2021-01-15,-23,-30,0.0,6.9,1,8,10:17 AM,07:40 PM,08:37 AM,05:27 PM,-28,-31,-27,-31,8,63,93,0.0,1043,-23,6,284,4,Mongolia
2021-01-16,-24,-32,0.0,8.7,2,16,10:45 AM,08:52 PM,08:36 AM,05:28 PM,-28,-29,-27,-29,7,26,86,0.0,1037,-24,9,279,4,Mongolia
2021-01-17,-19,-27,0.0,8.7,1,23,11:08 AM,10:01 PM,08:35 AM,05:30 PM,-24,-26,-21,-26,11,34,76,0.0,1025,-19,10,252,6,Mongolia
2021-01-18,-12,-17,0.0,8.7,2,30,11:28 AM,11:08 PM,08:35 AM,05:31 PM,-18,-17,-15,-17,7,15,79,0.0,1019,-12,10,160,4,Mongolia
2021-01-19,-8,-16,0.0,8.7,2,38,11:46 AM,No moonset,08:34 AM,05:33 PM,-17,-12,-12,-12,5,3,67,0.0,1017,-8,10,182,2,Mongolia
2021-01-20,-8,-16,0.0,6.9,1,45,12:03 PM,12:13 AM,08:33 AM,05:34 PM,-16,-13,-11,-13,9,31,68,0.0,1019,-8,10,227,4,Mongolia
2021-01-21,-11,-16,0.0,8.7,2,52,12:21 PM,01:18 AM,08:32 AM,05:36 PM,-18,-17,-14,-17,10,8,72,0.0,1026,-11,10,141,5,Mongolia
2021-01-22,-8,-21,0.0,8.7,2,59,12:41 PM,02:22 AM,08:31 AM,05:37 PM,-16,-16,-12,-16,12,5,68,0.0,1019,-8,10,114,6,Mongolia
2021-01-23,-5,-14,0.0,5.2,1,67,01:05 PM,03:28 AM,08:30 AM,05:39 PM,-15,-13,-10,-13,14,30,66,0.0,1020,-5,10,112,7,Mongolia
2021-01-24,-10,-21,2.2,3.4,1,74,01:34 PM,04:33 AM,08:29 AM,05:40 PM,-16,-18,-14,-18,10,66,88,2.6,1024,-10,8,206,6,Mongolia
2021-01-25,-18,-26,0.7,3.4,1,81,02:09 PM,05:38 AM,08:28 AM,05:42 PM,-22,-29,-22,-29,16,95,97,0.8,1029,-18,7,292,9,Mongolia
2021-01-26,-22,-30,0.1,3.4,1,88,02:55 PM,06:40 AM,08:27 AM,05:43 PM,-27,-29,-27,-29,7,82,97,0.1,1035,-22,3,273,4,Mongolia
2021-01-27,-25,-39,0.3,3.4,1,96,03:51 PM,07:36 AM,08:26 AM,05:45 PM,-30,-37,-30,-37,13,72,96,0.3,1040,-25,7,299,7,Mongolia
2021-01-28,-20,-31,0.0,8.7,2,100,04:56 PM,08:23 AM,08:25 AM,05:46 PM,-24,-27,-23,-27,11,33,85,0.0,1027,-20,10,254,5,Mongolia
2021-01-29,-13,-24,0.4,7.0,1,90,06:09 PM,09:02 AM,08:24 AM,05:48 PM,-17,-22,-16,-22,25,69,84,0.5,1018,-13,9,294,14,Mongolia
2021-01-30,-13,-22,1.6,7.0,1,82,07:26 PM,09:35 AM,08:22 AM,05:49 PM,-15,-19,-15,-19,16,74,92,1.9,1018,-13,6,269,10,Mongolia
2021-01-31,-25,-33,0.3,5.2,1,79,08:43 PM,10:01 AM,08:21 AM,05:51 PM,-29,-39,-28,-39,23,64,91,0.4,1039,-25,7,324,15,Mongolia
2021-02-01,-24,-33,0.0,8.7,2,63,10:01 PM,10:24 AM,08:20 AM,05:53 PM,-29,-33,-27,-33,12,15,82,0.0,1038,-24,10,300,6,Mongolia
2021-02-02,-18,-31,0.0,8.7,2,55,11:19 PM,10:46 AM,08:18 AM,05:54 PM,-26,-28,-23,-28,10,33,75,0.0,1031,-18,10,288,5,Mongolia
2021-02-03,-15,-25,0.0,8.7,2,48,No moonrise,11:07 AM,08:17 AM,05:56 PM,-21,-22,-18,-22,9,10,75,0.0,1024,-15,10,212,4,Mongolia
2021-02-04,-9,-16,0.0,8.7,2,40,12:37 AM,11:30 AM,08:16 AM,05:57 PM,-16,-14,-12,-14,8,10,74,0.0,1013,-9,10,269,4,Mongolia
2021-02-05,-7,-21,0.1,5.3,1,33,01:56 AM,11:56 AM,08:14 AM,05:59 PM,-15,-18,-14,-18,13,51,87,0.1,1019,-7,9,270,8,Mongolia
2021-02-06,-16,-22,0.0,9.9,1,25,03:15 AM,12:27 PM,08:13 AM,06:00 PM,-22,-21,-20,-21,4,24,84,0.0,1033,-16,10,214,3,Mongolia
2021-02-07,-13,-23,0.0,9.9,2,18,04:32 AM,01:07 PM,08:11 AM,06:02 PM,-19,-17,-16,-17,4,6,76,0.0,1033,-13,10,148,2,Mongolia
