date_time,Malta_maxtempC,Malta_mintempC,Malta_totalSnow_cm,Malta_sunHour,Malta_uvIndex,Malta_moon_illumination,Malta_moonrise,Malta_moonset,Malta_sunrise,Malta_sunset,Malta_DewPointC,Malta_FeelsLikeC,Malta_HeatIndexC,Malta_WindChillC,Malta_WindGustKmph,Malta_cloudcover,Malta_humidity,Malta_precipMM,Malta_pressure,Malta_tempC,Malta_visibility,Malta_winddirDegree,Malta_windspeedKmph,Malta_location
2020-02-05,15,13,0.0,7.1,3,79,01:37 PM,03:30 AM,07:00 AM,05:33 PM,4,12,14,12,67,16,50,0.0,1013,15,10,325,51,Malta
2020-02-06,12,10,0.0,8.7,4,87,02:31 PM,04:30 AM,06:59 AM,05:34 PM,3,8,11,8,48,18,57,1.0,1018,12,10,269,39,Malta
2020-02-07,12,9,0.0,8.7,4,95,03:33 PM,05:30 AM,06:58 AM,05:35 PM,2,9,11,9,20,1,53,0.0,1026,12,10,284,15,Malta
2020-02-08,14,11,0.0,8.7,4,100,04:41 PM,06:24 AM,06:57 AM,05:36 PM,4,12,12,12,8,9,55,0.0,1028,14,10,237,5,Malta
2020-02-09,15,12,0.0,8.7,4,100,05:54 PM,07:12 AM,06:56 AM,05:37 PM,6,13,14,13,15,33,61,0.0,1031,15,10,162,11,Malta
2020-02-10,16,13,0.0,8.7,4,83,07:07 PM,07:55 AM,06:55 AM,05:38 PM,10,14,15,14,28,6,72,0.0,1031,16,10,253,20,Malta
2020-02-11,17,14,0.0,8.7,5,75,08:19 PM,08:33 AM,06:54 AM,05:39 PM,12,16,16,16,55,2,74,0.0,1024,17,10,288,38,Malta
2020-02-12,16,15,0.0,8.7,5,68,09:30 PM,09:09 AM,06:53 AM,05:40 PM,12,15,16,15,46,23,81,0.0,1021,16,10,296,32,Malta
2020-02-13,17,15,0.0,5.6,4,60,10:39 PM,09:43 AM,06:52 AM,05:41 PM,11,16,16,16,23,24,74,0.0,1022,17,10,301,16,Malta
2020-02-14,16,12,0.0,8.7,4,53,11:48 PM,10:17 AM,06:51 AM,05:42 PM,12,15,15,15,34,31,77,0.0,1021,16,10,278,24,Malta
2020-02-15,15,10,0.0,8.7,4,45,No moonrise,10:53 AM,06:50 AM,05:43 PM,8,13,14,13,28,0,66,0.0,1023,15,10,221,20,Malta
2020-02-16,15,13,0.0,8.7,4,38,12:54 AM,11:32 AM,06:49 AM,05:44 PM,8,14,14,14,12,14,66,0.0,1029,15,10,129,9,Malta
2020-02-17,14,13,0.0,8.7,4,30,02:00 AM,12:14 PM,06:48 AM,05:45 PM,7,13,14,13,8,13,66,0.0,1028,14,10,107,6,Malta
2020-02-18,15,10,0.0,8.7,4,22,03:02 AM,01:02 PM,06:46 AM,05:46 PM,9,13,14,13,26,18,72,0.0,1024,15,10,291,19,Malta
2020-02-19,16,12,0.0,8.7,5,15,03:59 AM,01:54 PM,06:45 AM,05:47 PM,11,13,15,13,35,8,80,0.0,1022,16,10,306,26,Malta
2020-02-20,15,12,0.0,8.7,4,7,04:51 AM,02:49 PM,06:44 AM,05:48 PM,10,13,14,13,43,3,72,0.0,1020,15,10,318,32,Malta
2020-02-21,15,12,0.0,8.7,4,0,05:37 AM,03:47 PM,06:43 AM,05:49 PM,8,13,14,13,17,1,65,0.0,1024,15,10,186,12,Malta
2020-02-22,15,12,0.0,8.7,4,0,06:16 AM,04:45 PM,06:42 AM,05:50 PM,9,13,14,13,19,19,69,0.0,1027,15,10,174,14,Malta
2020-02-23,15,13,0.0,8.7,4,0,06:51 AM,05:43 PM,06:40 AM,05:51 PM,7,13,14,13,24,30,66,0.0,1030,15,10,199,18,Malta
2020-02-24,16,14,0.0,8.7,5,0,07:22 AM,06:39 PM,06:39 AM,05:52 PM,11,14,15,14,44,8,80,0.0,1024,16,10,300,33,Malta
2020-02-25,16,14,0.0,8.7,5,8,07:50 AM,07:35 PM,06:38 AM,05:53 PM,12,14,15,14,27,7,81,0.0,1019,16,10,279,20,Malta
2020-02-26,16,12,0.0,8.7,4,15,08:17 AM,08:30 PM,06:37 AM,05:54 PM,12,15,15,15,39,18,76,0.0,1013,16,10,282,27,Malta
2020-02-27,14,13,0.0,8.7,3,23,08:43 AM,09:26 PM,06:35 AM,05:55 PM,7,11,14,11,53,29,63,1.1,1017,14,10,308,41,Malta
2020-02-28,15,12,0.0,5.7,3,30,09:10 AM,10:21 PM,06:34 AM,05:56 PM,9,12,14,12,35,44,70,0.1,1022,15,10,275,27,Malta
2020-02-29,17,12,0.0,8.7,5,38,09:39 AM,11:18 PM,06:33 AM,05:56 PM,12,15,15,15,22,18,79,0.0,1020,17,10,232,15,Malta
