date_time,United%20States%2C%20Oklahoma_maxtempC,United%20States%2C%20Oklahoma_mintempC,United%20States%2C%20Oklahoma_totalSnow_cm,United%20States%2C%20Oklahoma_sunHour,United%20States%2C%20Oklahoma_uvIndex,United%20States%2C%20Oklahoma_moon_illumination,United%20States%2C%20Oklahoma_moonrise,United%20States%2C%20Oklahoma_moonset,United%20States%2C%20Oklahoma_sunrise,United%20States%2C%20Oklahoma_sunset,United%20States%2C%20Oklahoma_DewPointC,United%20States%2C%20Oklahoma_FeelsLikeC,United%20States%2C%20Oklahoma_HeatIndexC,United%20States%2C%20Oklahoma_WindChillC,United%20States%2C%20Oklahoma_WindGustKmph,United%20States%2C%20Oklahoma_cloudcover,United%20States%2C%20Oklahoma_humidity,United%20States%2C%20Oklahoma_precipMM,United%20States%2C%20Oklahoma_pressure,United%20States%2C%20Oklahoma_tempC,United%20States%2C%20Oklahoma_visibility,United%20States%2C%20Oklahoma_winddirDegree,United%20States%2C%20Oklahoma_windspeedKmph,United%20States%2C%20Oklahoma_location
2020-12-04,10,-1,0.0,8.7,3,67,09:11 PM,11:06 AM,07:24 AM,05:17 PM,-2,1,4,1,20,8,67,0.0,1022,10,10,288,12,United%20States%2C%20Oklahoma
2020-12-05,13,3,0.0,8.7,3,60,10:14 PM,11:49 AM,07:25 AM,05:17 PM,0,5,8,5,18,22,64,0.0,1024,13,10,314,10,United%20States%2C%20Oklahoma
2020-12-06,11,3,0.0,8.7,3,53,11:20 PM,12:26 PM,07:26 AM,05:17 PM,0,4,6,4,20,8,67,0.0,1020,11,10,338,12,United%20States%2C%20Oklahoma
2020-12-07,15,4,0.0,8.7,3,46,No moonrise,01:01 PM,07:27 AM,05:17 PM,1,7,9,7,16,1,63,0.0,1022,15,10,294,9,United%20States%2C%20Oklahoma
2020-12-08,16,5,0.0,8.7,4,38,12:25 AM,01:33 PM,07:28 AM,05:17 PM,-1,8,10,8,18,0,47,0.0,1022,16,10,287,10,United%20States%2C%20Oklahoma
2020-12-09,19,7,0.0,8.7,4,31,01:33 AM,02:04 PM,07:28 AM,05:18 PM,-1,11,12,11,24,0,41,0.0,1018,19,10,234,13,United%20States%2C%20Oklahoma
2020-12-10,18,8,0.0,8.7,4,24,02:41 AM,02:36 PM,07:29 AM,05:18 PM,1,11,13,11,31,2,46,0.0,1012,18,10,188,18,United%20States%2C%20Oklahoma
2020-12-11,9,6,0.0,3.7,2,17,03:51 AM,03:11 PM,07:30 AM,05:18 PM,5,6,9,6,24,82,77,2.1,1010,9,7,307,17,United%20States%2C%20Oklahoma
2020-12-12,8,3,0.0,8.7,2,9,05:04 AM,03:50 PM,07:31 AM,05:18 PM,-1,1,5,1,24,12,66,0.0,1017,8,10,253,17,United%20States%2C%20Oklahoma
2020-12-13,3,-1,13.3,3.7,1,2,06:17 AM,04:35 PM,07:31 AM,05:18 PM,-0,-3,2,-3,27,89,87,16.4,1023,3,6,137,18,United%20States%2C%20Oklahoma
2020-12-14,4,-3,0.0,8.7,2,0,07:30 AM,05:28 PM,07:32 AM,05:19 PM,-4,-4,-0,-4,21,16,77,0.0,1025,4,10,236,11,United%20States%2C%20Oklahoma
2020-12-15,1,-5,2.9,3.7,1,0,08:38 AM,06:27 PM,07:33 AM,05:19 PM,-0,-4,0,-4,28,94,95,4.3,1016,1,6,136,17,United%20States%2C%20Oklahoma
2020-12-16,-0,-6,0.8,8.7,1,5,09:38 AM,07:31 PM,07:33 AM,05:19 PM,-4,-8,-4,-8,21,53,94,0.9,1022,-0,5,276,11,United%20States%2C%20Oklahoma
2020-12-17,4,-4,0.0,7.0,1,12,10:29 AM,08:36 PM,07:34 AM,05:20 PM,-2,-3,0,-3,24,25,86,0.0,1023,4,8,231,12,United%20States%2C%20Oklahoma
2020-12-18,10,2,0.0,7.0,2,20,11:11 AM,09:41 PM,07:34 AM,05:20 PM,2,2,6,2,53,74,75,0.3,1018,10,10,195,30,United%20States%2C%20Oklahoma
2020-12-19,8,2,0.0,8.7,2,27,11:47 AM,10:42 PM,07:35 AM,05:21 PM,0,2,5,2,21,23,74,0.1,1021,8,10,319,13,United%20States%2C%20Oklahoma
2020-12-20,11,2,0.0,8.7,3,34,12:17 PM,11:42 PM,07:35 AM,05:21 PM,-1,3,6,3,26,3,65,0.0,1020,11,10,276,15,United%20States%2C%20Oklahoma
2020-12-21,15,6,0.0,8.7,4,41,12:45 PM,No moonset,07:36 AM,05:22 PM,-0,7,10,7,27,1,51,0.0,1020,15,10,180,15,United%20States%2C%20Oklahoma
2020-12-22,16,7,0.0,8.7,3,49,01:11 PM,12:38 AM,07:36 AM,05:22 PM,3,9,11,9,42,11,58,0.0,1016,16,10,173,26,United%20States%2C%20Oklahoma
2020-12-23,10,3,0.0,7.0,2,56,01:36 PM,01:34 AM,07:37 AM,05:23 PM,-4,5,9,5,51,18,45,0.0,1015,10,10,292,34,United%20States%2C%20Oklahoma
2020-12-24,7,-1,0.0,8.7,2,63,02:02 PM,02:29 AM,07:37 AM,05:23 PM,-13,-2,3,-2,32,4,31,0.0,1023,7,10,304,21,United%20States%2C%20Oklahoma
2020-12-25,12,1,0.0,8.7,3,70,02:30 PM,03:26 AM,07:38 AM,05:24 PM,-5,4,6,4,17,3,45,0.0,1022,12,10,242,10,United%20States%2C%20Oklahoma
2020-12-26,15,6,0.0,8.7,4,78,03:02 PM,04:23 AM,07:38 AM,05:24 PM,-5,7,10,7,42,0,35,0.0,1015,15,10,201,24,United%20States%2C%20Oklahoma
2020-12-27,13,8,0.0,8.7,3,85,03:38 PM,05:21 AM,07:38 AM,05:25 PM,-1,7,9,7,36,9,50,0.0,1012,13,10,245,21,United%20States%2C%20Oklahoma
2020-12-28,7,4,0.0,8.7,3,92,04:19 PM,06:20 AM,07:39 AM,05:26 PM,-2,2,5,2,24,34,59,0.0,1026,7,10,62,17,United%20States%2C%20Oklahoma
2020-12-29,12,4,0.0,3.7,3,100,05:08 PM,07:18 AM,07:39 AM,05:27 PM,7,6,9,6,44,98,85,4.9,1017,12,6,143,30,United%20States%2C%20Oklahoma
2020-12-30,7,3,0.0,3.7,2,100,06:03 PM,08:12 AM,07:39 AM,05:27 PM,3,2,6,2,39,85,79,70.2,1017,7,7,121,29,United%20States%2C%20Oklahoma
2020-12-31,2,-1,0.0,7.0,1,89,07:03 PM,09:03 AM,07:39 AM,05:28 PM,-4,-6,0,-6,39,48,75,10.4,1016,2,9,29,27,United%20States%2C%20Oklahoma
2021-01-01,1,-5,0.1,3.7,1,79,08:07 PM,09:48 AM,07:40 AM,05:29 PM,0,-5,1,-5,42,98,94,44.4,1012,1,6,288,28,United%20States%2C%20Oklahoma
2021-01-02,2,-5,0.0,5.4,1,71,09:13 PM,10:28 AM,07:40 AM,05:30 PM,-2,-3,-0,-3,15,57,91,0.0,1021,2,7,289,8,United%20States%2C%20Oklahoma
2021-01-03,5,-1,0.0,8.7,2,64,10:18 PM,11:03 AM,07:40 AM,05:30 PM,0,0,1,0,9,9,90,0.0,1017,5,9,183,5,United%20States%2C%20Oklahoma
2021-01-04,9,0,0.0,8.7,3,57,11:25 PM,11:36 AM,07:40 AM,05:31 PM,1,2,5,2,20,6,79,0.0,1020,9,10,261,10,United%20States%2C%20Oklahoma
2021-01-05,12,3,0.0,8.7,3,50,No moonrise,12:06 PM,07:40 AM,05:32 PM,3,5,7,5,30,8,74,0.0,1018,12,10,182,18,United%20States%2C%20Oklahoma
2021-01-06,10,5,0.0,8.7,2,42,12:30 AM,12:37 PM,07:40 AM,05:33 PM,1,3,7,3,35,30,68,0.0,1016,10,10,291,23,United%20States%2C%20Oklahoma
2021-01-07,6,3,0.0,3.7,1,35,01:38 AM,01:10 PM,07:40 AM,05:34 PM,2,1,5,1,28,87,82,0.5,1020,6,9,242,20,United%20States%2C%20Oklahoma
2021-01-08,6,-1,0.0,8.7,1,28,02:47 AM,01:46 PM,07:40 AM,05:35 PM,-2,-0,2,-0,14,32,77,0.0,1027,6,9,64,10,United%20States%2C%20Oklahoma
2021-01-09,6,0,0.0,7.0,1,20,03:58 AM,02:26 PM,07:40 AM,05:36 PM,-3,1,3,1,11,41,69,0.0,1027,6,10,134,7,United%20States%2C%20Oklahoma
2021-01-10,5,1,0.0,3.7,1,13,05:09 AM,03:14 PM,07:40 AM,05:37 PM,-2,-0,3,-0,15,76,73,0.0,1029,5,10,111,10,United%20States%2C%20Oklahoma
2021-01-11,7,1,0.0,8.7,2,6,06:18 AM,04:08 PM,07:40 AM,05:37 PM,-1,2,4,2,10,25,70,0.0,1029,7,10,274,6,United%20States%2C%20Oklahoma
2021-01-12,9,0,0.0,8.7,2,0,07:21 AM,05:10 PM,07:40 AM,05:38 PM,-1,0,4,0,28,1,72,0.0,1026,9,10,213,16,United%20States%2C%20Oklahoma
2021-01-13,11,1,0.0,8.7,3,0,08:16 AM,06:15 PM,07:39 AM,05:39 PM,-1,2,5,2,31,3,67,0.0,1019,11,10,213,18,United%20States%2C%20Oklahoma
2021-01-14,10,5,0.0,8.7,3,1,09:03 AM,07:22 PM,07:39 AM,05:40 PM,-4,4,7,4,37,9,46,0.0,1015,10,10,299,23,United%20States%2C%20Oklahoma
2021-01-15,7,3,0.0,8.7,2,8,09:42 AM,08:25 PM,07:39 AM,05:41 PM,-10,-1,4,-1,48,16,35,0.0,1017,7,10,317,32,United%20States%2C%20Oklahoma
2021-01-16,7,-0,0.0,8.7,2,16,10:15 AM,09:27 PM,07:39 AM,05:42 PM,-8,-0,3,-0,26,28,45,0.0,1019,7,10,314,16,United%20States%2C%20Oklahoma
2021-01-17,11,2,0.0,8.7,3,23,10:44 AM,10:26 PM,07:38 AM,05:43 PM,-3,3,6,3,27,6,54,0.0,1018,11,10,303,16,United%20States%2C%20Oklahoma
2021-01-18,13,3,0.0,8.7,3,30,11:11 AM,11:23 PM,07:38 AM,05:44 PM,-1,5,8,5,27,29,54,0.5,1016,13,10,179,17,United%20States%2C%20Oklahoma
2021-01-19,7,4,0.0,3.8,2,38,11:37 AM,No moonset,07:37 AM,05:45 PM,-1,3,6,3,21,67,61,0.0,1027,7,10,88,15,United%20States%2C%20Oklahoma
2021-01-20,11,5,0.0,8.7,3,45,12:03 PM,12:19 AM,07:37 AM,05:46 PM,-1,5,7,5,27,28,56,0.0,1025,11,10,223,18,United%20States%2C%20Oklahoma
2021-01-21,14,6,0.0,7.1,3,52,12:30 PM,01:15 AM,07:37 AM,05:47 PM,5,7,10,7,28,37,77,0.0,1013,14,10,174,16,United%20States%2C%20Oklahoma
2021-01-22,9,4,0.0,8.7,3,59,01:00 PM,02:11 AM,07:36 AM,05:48 PM,-1,3,7,3,29,45,60,0.0,1018,9,10,62,21,United%20States%2C%20Oklahoma
2021-01-23,7,3,0.0,3.8,2,67,01:34 PM,03:09 AM,07:36 AM,05:49 PM,3,3,7,3,30,82,75,0.0,1017,7,10,141,21,United%20States%2C%20Oklahoma
2021-01-24,16,8,0.0,3.8,3,74,02:13 PM,04:07 AM,07:35 AM,05:50 PM,12,12,13,12,33,86,89,5.9,1008,16,10,205,22,United%20States%2C%20Oklahoma
2021-01-25,12,6,0.0,7.1,3,81,02:58 PM,05:06 AM,07:35 AM,05:51 PM,6,8,10,8,29,59,79,8.1,1002,12,9,214,20,United%20States%2C%20Oklahoma
2021-01-26,5,-1,0.0,8.7,2,88,03:51 PM,06:02 AM,07:34 AM,05:52 PM,-5,-1,2,-1,19,11,59,0.0,1013,5,10,194,14,United%20States%2C%20Oklahoma
2021-01-27,3,-3,0.0,7.1,1,96,04:50 PM,06:55 AM,07:33 AM,05:53 PM,-6,-5,0,-5,24,44,65,0.0,1027,3,10,195,19,United%20States%2C%20Oklahoma
2021-01-28,7,-2,0.0,7.1,1,100,05:54 PM,07:43 AM,07:33 AM,05:54 PM,-4,-2,2,-2,23,29,66,0.0,1034,7,10,144,15,United%20States%2C%20Oklahoma
2021-01-29,12,3,0.0,5.5,2,90,07:01 PM,08:25 AM,07:32 AM,05:55 PM,1,2,7,2,45,40,69,0.0,1020,12,10,190,30,United%20States%2C%20Oklahoma
2021-01-30,17,9,0.0,5.5,3,82,08:09 PM,09:03 AM,07:31 AM,05:56 PM,7,10,13,10,53,58,71,7.1,1004,17,10,241,36,United%20States%2C%20Oklahoma
2021-01-31,9,4,0.0,8.7,3,79,09:16 PM,09:37 AM,07:30 AM,05:57 PM,-1,2,6,2,40,3,60,0.0,1021,9,10,336,29,United%20States%2C%20Oklahoma
2021-02-01,11,1,0.0,7.1,2,63,10:23 PM,10:09 AM,07:30 AM,05:58 PM,-2,3,5,3,16,39,63,0.0,1029,11,10,275,9,United%20States%2C%20Oklahoma
2021-02-02,13,6,0.0,7.1,2,55,11:31 PM,10:40 AM,07:29 AM,05:59 PM,-1,5,8,5,30,25,53,0.0,1022,13,10,167,19,United%20States%2C%20Oklahoma
2021-02-03,14,5,0.0,10.7,3,48,No moonrise,11:12 AM,07:28 AM,06:00 PM,3,6,9,6,38,6,67,0.0,1014,14,10,165,25,United%20States%2C%20Oklahoma
2021-02-04,14,7,0.0,10.7,4,40,12:39 AM,11:46 AM,07:27 AM,06:01 PM,2,8,11,8,49,15,55,0.0,1006,14,10,254,33,United%20States%2C%20Oklahoma
2021-02-05,13,4,0.0,10.8,3,33,01:48 AM,12:24 PM,07:26 AM,06:02 PM,-5,5,8,5,21,18,40,0.0,1015,13,10,236,12,United%20States%2C%20Oklahoma
2021-02-06,7,-1,3.1,5.4,1,25,02:58 AM,01:08 PM,07:25 AM,06:03 PM,-1,0,4,0,25,100,72,10.1,1014,7,7,138,18,United%20States%2C%20Oklahoma
2021-02-07,6,-5,0.0,8.5,1,18,04:05 AM,01:59 PM,07:25 AM,06:04 PM,-4,-4,0,-4,19,46,75,0.0,1019,6,10,124,14,United%20States%2C%20Oklahoma
