date_time,Sri%20Lanka_maxtempC,Sri%20Lanka_mintempC,Sri%20Lanka_totalSnow_cm,Sri%20Lanka_sunHour,Sri%20Lanka_uvIndex,Sri%20Lanka_moon_illumination,Sri%20Lanka_moonrise,Sri%20Lanka_moonset,Sri%20Lanka_sunrise,Sri%20Lanka_sunset,Sri%20Lanka_DewPointC,Sri%20Lanka_FeelsLikeC,Sri%20Lanka_HeatIndexC,Sri%20Lanka_WindChillC,Sri%20Lanka_WindGustKmph,Sri%20Lanka_cloudcover,Sri%20Lanka_humidity,Sri%20Lanka_precipMM,Sri%20Lanka_pressure,Sri%20Lanka_tempC,Sri%20Lanka_visibility,Sri%20Lanka_winddirDegree,Sri%20Lanka_windspeedKmph,Sri%20Lanka_location
2020-08-03,30,26,0.0,7.9,6,97,06:25 PM,05:28 AM,05:58 AM,06:27 PM,22,30,30,28,36,89,71,0.3,1006,30,10,230,27,Sri%20Lanka
2020-08-04,31,25,0.0,10.6,6,100,07:13 PM,06:22 AM,05:58 AM,06:27 PM,21,30,30,28,37,65,70,0.1,1005,31,10,235,28,Sri%20Lanka
2020-08-05,32,26,0.0,12.7,7,88,07:57 PM,07:13 AM,05:58 AM,06:27 PM,21,30,30,28,34,46,68,0.0,1005,32,10,236,26,Sri%20Lanka
2020-08-06,31,26,0.0,9.2,6,81,08:37 PM,08:01 AM,05:58 AM,06:26 PM,21,30,30,28,34,69,68,0.6,1006,31,10,230,26,Sri%20Lanka
2020-08-07,32,26,0.0,12.7,7,74,09:17 PM,08:47 AM,05:58 AM,06:26 PM,21,30,30,28,31,36,68,0.0,1007,32,10,235,23,Sri%20Lanka
2020-08-08,31,26,0.0,7.9,6,67,09:54 PM,09:32 AM,05:59 AM,06:26 PM,22,30,30,28,27,86,71,0.8,1007,31,10,236,20,Sri%20Lanka
2020-08-09,31,24,0.0,7.9,6,59,10:31 PM,10:16 AM,05:59 AM,06:25 PM,23,30,30,27,23,68,80,10.8,1007,31,9,229,15,Sri%20Lanka
2020-08-10,29,25,0.0,7.9,6,52,11:10 PM,11:00 AM,05:59 AM,06:25 PM,22,30,30,27,30,85,77,0.9,1007,29,10,230,22,Sri%20Lanka
2020-08-11,32,25,0.0,9.2,6,45,11:50 PM,11:45 AM,05:59 AM,06:25 PM,22,30,30,28,28,76,72,0.3,1008,32,10,226,21,Sri%20Lanka
2020-08-12,31,25,0.0,11.9,6,38,No moonrise,12:32 PM,05:59 AM,06:24 PM,22,30,30,28,28,54,71,0.1,1009,31,10,226,21,Sri%20Lanka
2020-08-13,32,25,0.0,11.9,6,30,12:33 AM,01:22 PM,05:59 AM,06:24 PM,22,31,31,28,27,51,71,0.0,1008,32,10,223,21,Sri%20Lanka
2020-08-14,32,25,0.0,11.9,6,23,01:19 AM,02:14 PM,05:59 AM,06:24 PM,22,30,30,27,27,56,72,0.1,1007,32,10,224,20,Sri%20Lanka
2020-08-15,32,25,0.0,11.9,6,16,02:10 AM,03:09 PM,05:59 AM,06:23 PM,22,30,30,28,26,45,71,0.0,1007,32,10,224,20,Sri%20Lanka
2020-08-16,33,24,0.0,12.6,7,8,03:05 AM,04:05 PM,05:59 AM,06:23 PM,22,30,30,28,23,34,71,0.0,1007,33,10,220,18,Sri%20Lanka
2020-08-17,33,25,0.0,12.6,7,1,04:02 AM,05:01 PM,05:59 AM,06:22 PM,22,31,31,28,24,35,71,0.0,1007,33,10,217,18,Sri%20Lanka
2020-08-18,33,25,0.0,12.6,6,0,05:02 AM,05:56 PM,05:59 AM,06:22 PM,22,31,31,28,26,36,69,0.0,1007,33,10,223,20,Sri%20Lanka
2020-08-19,33,25,0.0,12.6,7,0,06:01 AM,06:49 PM,05:59 AM,06:21 PM,22,31,31,28,25,24,71,0.0,1006,33,10,222,19,Sri%20Lanka
2020-08-20,32,26,0.0,12.6,6,6,06:59 AM,07:39 PM,05:59 AM,06:21 PM,22,31,31,28,29,48,70,0.0,1006,32,10,221,22,Sri%20Lanka
2020-08-21,33,25,0.0,12.6,8,13,07:56 AM,08:27 PM,05:59 AM,06:20 PM,22,31,31,28,24,35,69,0.0,1008,33,10,221,18,Sri%20Lanka
2020-08-22,34,25,0.0,12.6,8,20,08:52 AM,09:15 PM,05:59 AM,06:20 PM,22,32,32,29,21,41,69,0.0,1009,34,10,221,16,Sri%20Lanka
2020-08-23,34,25,0.0,12.6,8,28,09:48 AM,10:02 PM,05:59 AM,06:19 PM,21,31,31,29,20,23,66,0.0,1008,34,10,223,15,Sri%20Lanka
2020-08-24,34,25,0.0,12.6,8,35,10:43 AM,10:51 PM,05:59 AM,06:19 PM,22,31,31,28,20,32,70,0.0,1008,34,10,220,15,Sri%20Lanka
2020-08-25,34,25,0.0,12.6,7,42,11:40 AM,11:42 PM,05:59 AM,06:18 PM,22,32,32,28,19,36,71,0.0,1009,34,10,221,14,Sri%20Lanka
2020-08-26,34,25,0.0,12.6,8,50,12:37 PM,No moonset,05:59 AM,06:18 PM,22,32,32,29,20,24,70,0.0,1009,34,10,214,15,Sri%20Lanka
2020-08-27,34,25,0.0,12.6,8,57,01:36 PM,12:35 AM,05:59 AM,06:17 PM,22,31,31,29,23,31,68,0.2,1007,34,10,224,17,Sri%20Lanka
2020-08-28,35,25,0.0,12.6,8,64,02:32 PM,01:30 AM,05:58 AM,06:17 PM,21,31,31,29,23,20,67,0.0,1007,35,10,223,17,Sri%20Lanka
2020-08-29,34,25,0.0,12.6,8,71,03:28 PM,02:26 AM,05:58 AM,06:16 PM,21,31,31,29,25,27,67,0.0,1007,34,10,227,19,Sri%20Lanka
2020-08-30,33,25,0.0,12.6,6,79,04:20 PM,03:22 AM,05:58 AM,06:16 PM,22,31,31,28,25,55,70,0.6,1007,33,10,227,18,Sri%20Lanka
2020-08-31,33,25,0.0,7.9,6,82,05:08 PM,04:15 AM,05:58 AM,06:15 PM,23,31,31,28,26,72,74,31.7,1007,33,8,230,17,Sri%20Lanka
2020-09-01,31,25,0.0,7.9,6,97,05:53 PM,05:07 AM,05:58 AM,06:15 PM,23,31,31,27,26,75,76,23.3,1007,31,7,219,16,Sri%20Lanka
2020-09-02,27,20,0.0,7.9,6,100,06:34 PM,05:56 AM,05:58 AM,06:14 PM,23,27,27,25,25,82,84,16.3,1008,27,10,217,17,Sri%20Lanka
2020-09-03,32,25,0.0,9.2,6,88,07:14 PM,06:42 AM,05:58 AM,06:14 PM,22,31,31,28,23,71,72,2.2,1007,32,10,216,17,Sri%20Lanka
2020-09-04,32,25,0.0,10.5,6,81,07:52 PM,07:28 AM,05:58 AM,06:13 PM,22,31,31,28,22,52,70,0.1,1007,32,10,212,16,Sri%20Lanka
2020-09-05,33,26,0.0,7.8,7,73,08:29 PM,08:11 AM,05:58 AM,06:13 PM,22,32,32,29,22,68,69,1.3,1006,33,10,217,17,Sri%20Lanka
2020-09-06,31,22,0.0,10.5,6,66,09:07 PM,08:55 AM,05:58 AM,06:12 PM,22,30,30,27,27,76,72,8.4,1007,31,10,213,19,Sri%20Lanka
2020-09-07,31,25,0.0,10.5,6,58,09:46 PM,09:40 AM,05:58 AM,06:11 PM,22,30,30,27,27,67,72,0.3,1008,31,10,229,20,Sri%20Lanka
2020-09-08,31,26,0.0,9.2,6,50,10:27 PM,10:26 AM,05:58 AM,06:11 PM,23,31,31,28,25,75,75,1.4,1008,31,10,228,18,Sri%20Lanka
2020-09-09,31,26,0.0,11.8,6,43,11:12 PM,11:14 AM,05:57 AM,06:10 PM,22,31,31,28,27,54,71,0.1,1008,31,10,219,20,Sri%20Lanka
2020-09-10,30,21,0.0,11.8,6,35,12:00 AM,12:04 PM,05:57 AM,06:10 PM,21,28,28,26,32,57,73,0.1,1007,30,10,225,24,Sri%20Lanka
2020-09-11,32,25,0.0,9.2,6,28,No moonrise,12:57 PM,05:57 AM,06:09 PM,22,31,31,28,33,76,69,0.4,1007,32,10,228,25,Sri%20Lanka
2020-09-12,32,25,0.0,11.8,6,20,12:51 AM,01:51 PM,05:57 AM,06:08 PM,21,31,31,28,31,58,69,0.0,1008,32,10,229,23,Sri%20Lanka
2020-09-13,32,26,0.0,9.2,6,13,01:47 AM,02:46 PM,05:57 AM,06:08 PM,21,30,30,28,27,68,69,1.5,1009,32,10,233,20,Sri%20Lanka
2020-09-14,30,26,0.0,7.8,6,5,02:44 AM,03:42 PM,05:57 AM,06:07 PM,22,30,30,28,27,87,71,0.3,1008,30,10,225,20,Sri%20Lanka
2020-09-15,31,26,0.0,7.8,6,0,03:44 AM,04:34 PM,05:57 AM,06:07 PM,22,31,31,28,29,85,72,1.2,1007,31,10,230,22,Sri%20Lanka
2020-09-16,32,26,0.0,7.8,6,0,04:42 AM,05:26 PM,05:57 AM,06:06 PM,22,31,31,28,29,86,71,0.8,1007,32,10,228,22,Sri%20Lanka
2020-09-17,32,26,0.0,7.8,6,0,05:41 AM,06:16 PM,05:57 AM,06:05 PM,22,31,31,28,31,85,70,0.9,1008,32,10,228,24,Sri%20Lanka
2020-09-18,32,26,0.0,9.1,6,2,06:37 AM,07:05 PM,05:56 AM,06:05 PM,22,31,31,28,34,78,70,0.4,1007,32,10,228,26,Sri%20Lanka
2020-09-19,32,26,0.0,10.5,6,10,07:35 AM,07:54 PM,05:56 AM,06:04 PM,22,31,31,28,35,79,70,0.4,1005,32,10,235,27,Sri%20Lanka
2020-09-20,31,26,0.0,7.8,6,17,08:32 AM,08:44 PM,05:56 AM,06:04 PM,22,31,31,28,39,84,70,1.9,1005,31,10,237,29,Sri%20Lanka
2020-09-21,32,26,0.0,12.5,7,25,09:31 AM,09:36 PM,05:56 AM,06:03 PM,21,31,31,28,36,38,64,0.3,1007,32,10,233,27,Sri%20Lanka
2020-09-22,32,26,0.0,11.8,6,32,10:30 AM,10:29 PM,05:56 AM,06:03 PM,21,30,30,28,32,67,67,0.2,1008,32,10,231,24,Sri%20Lanka
2020-09-23,32,26,0.0,10.5,6,40,11:30 AM,11:25 PM,05:56 AM,06:02 PM,22,31,31,28,27,66,69,0.3,1008,32,10,228,21,Sri%20Lanka
2020-09-24,32,25,0.0,9.1,6,47,12:28 PM,No moonset,05:56 AM,06:01 PM,22,31,31,28,25,67,72,4.8,1010,32,10,220,18,Sri%20Lanka
2020-09-25,29,23,0.0,7.8,6,55,01:25 PM,12:21 AM,05:56 AM,06:01 PM,22,29,29,26,23,73,77,4.2,1009,29,10,205,17,Sri%20Lanka
2020-09-26,33,25,0.0,12.4,6,62,02:17 PM,01:18 AM,05:56 AM,06:00 PM,22,31,31,28,26,47,70,0.1,1009,33,10,222,19,Sri%20Lanka
2020-09-27,34,25,0.0,12.5,7,70,03:07 PM,02:12 AM,05:55 AM,06:00 PM,22,31,31,28,22,45,71,0.0,1009,34,10,224,16,Sri%20Lanka
2020-09-28,33,25,0.0,10.2,6,78,03:52 PM,03:04 AM,05:55 AM,05:59 PM,22,31,31,28,25,56,70,0.7,1008,33,10,223,19,Sri%20Lanka
2020-09-29,32,26,0.0,7.4,6,85,04:34 PM,03:53 AM,05:55 AM,05:59 PM,22,31,31,28,30,69,69,7.1,1008,32,9,224,20,Sri%20Lanka
2020-09-30,32,25,0.0,7.4,6,93,05:14 PM,04:39 AM,05:55 AM,05:58 PM,22,31,31,28,28,64,70,0.8,1007,32,10,228,21,Sri%20Lanka
2020-10-01,33,25,0.0,10.2,6,97,05:51 PM,05:25 AM,05:55 AM,05:57 PM,21,31,31,28,27,38,68,0.0,1007,33,10,231,20,Sri%20Lanka
2020-10-02,32,25,0.0,11.6,6,100,06:28 PM,06:09 AM,05:55 AM,05:57 PM,22,31,31,28,27,42,71,0.0,1007,32,10,224,20,Sri%20Lanka
2020-10-03,33,25,0.0,8.8,6,89,07:06 PM,06:53 AM,05:55 AM,05:56 PM,22,31,31,28,29,65,71,0.1,1008,33,10,226,22,Sri%20Lanka
2020-10-04,33,25,0.0,11.6,7,82,07:45 PM,07:37 AM,05:55 AM,05:56 PM,21,30,30,28,28,27,67,0.0,1008,33,10,231,21,Sri%20Lanka
2020-10-05,34,25,0.0,11.6,8,74,08:25 PM,08:22 AM,05:55 AM,05:55 PM,21,31,31,28,25,27,67,0.0,1008,34,10,225,18,Sri%20Lanka
2020-10-06,33,24,0.0,11.6,7,67,09:08 PM,09:09 AM,05:55 AM,05:55 PM,22,31,31,28,24,27,71,0.0,1008,33,10,216,18,Sri%20Lanka
2020-10-07,33,25,0.0,11.6,7,60,09:54 PM,09:58 AM,05:55 AM,05:54 PM,21,30,30,28,23,29,70,0.3,1008,33,10,221,17,Sri%20Lanka
2020-10-08,33,25,0.0,8.8,6,53,10:43 PM,10:49 AM,05:55 AM,05:54 PM,22,31,31,28,25,58,74,9.2,1008,33,9,216,17,Sri%20Lanka
2020-10-09,33,25,0.0,8.8,6,45,11:36 PM,11:42 AM,05:55 AM,05:53 PM,21,31,31,28,26,54,68,0.2,1008,33,10,228,19,Sri%20Lanka
2020-10-10,31,25,0.0,6.0,6,38,No moonrise,12:35 PM,05:55 AM,05:53 PM,22,30,30,28,26,71,73,0.1,1007,31,10,230,19,Sri%20Lanka
2020-10-11,30,26,0.0,6.0,6,31,12:31 AM,01:29 PM,05:55 AM,05:52 PM,22,30,30,27,37,74,73,6.8,1006,30,10,234,25,Sri%20Lanka
2020-10-12,32,26,0.0,10.2,7,23,01:28 AM,02:21 PM,05:55 AM,05:52 PM,21,31,31,28,34,40,66,0.1,1005,32,10,235,25,Sri%20Lanka
2020-10-13,32,26,0.0,6.0,6,16,02:25 AM,03:13 PM,05:55 AM,05:51 PM,21,30,30,28,39,71,68,1.3,1005,32,10,233,29,Sri%20Lanka
2020-10-14,32,25,0.0,7.4,6,9,03:22 AM,04:02 PM,05:55 AM,05:51 PM,21,30,30,28,38,71,69,1.2,1006,32,10,233,28,Sri%20Lanka
2020-10-15,32,26,0.0,6.0,6,2,04:19 AM,04:51 PM,05:55 AM,05:50 PM,22,31,31,28,34,72,70,1.1,1006,32,10,233,25,Sri%20Lanka
2020-10-16,33,25,0.0,7.4,6,0,05:16 AM,05:40 PM,05:55 AM,05:50 PM,22,31,31,28,28,54,70,0.3,1006,33,10,229,21,Sri%20Lanka
2020-10-17,32,25,0.0,10.2,6,0,06:14 AM,06:30 PM,05:55 AM,05:50 PM,22,30,30,27,24,54,72,0.6,1006,32,10,225,18,Sri%20Lanka
2020-10-18,32,25,0.0,10.2,6,5,07:14 AM,07:22 PM,05:55 AM,05:49 PM,22,31,31,28,25,55,74,7.8,1007,32,10,227,17,Sri%20Lanka
2020-10-19,31,24,0.0,6.0,6,13,08:14 AM,08:17 PM,05:55 AM,05:49 PM,23,30,30,27,29,74,81,28.4,1006,31,8,222,17,Sri%20Lanka
2020-10-20,32,25,0.0,8.8,6,20,09:17 AM,09:14 PM,05:55 AM,05:48 PM,22,30,30,27,29,58,74,1.5,1006,32,10,228,21,Sri%20Lanka
2020-10-21,32,25,0.0,6.0,6,27,10:18 AM,10:12 PM,05:55 AM,05:48 PM,22,31,31,28,28,82,74,1.2,1007,32,10,228,21,Sri%20Lanka
2020-10-22,32,25,0.0,8.8,6,35,11:18 AM,11:11 PM,05:55 AM,05:48 PM,22,31,31,28,28,55,73,0.1,1007,32,10,229,21,Sri%20Lanka
2020-10-23,33,25,0.0,7.4,6,42,12:13 PM,No moonset,05:55 AM,05:47 PM,22,31,31,28,26,56,72,0.3,1007,33,10,230,19,Sri%20Lanka
2020-10-24,33,24,0.0,10.2,7,49,01:04 PM,12:07 AM,05:55 AM,05:47 PM,22,30,30,28,22,37,72,0.1,1008,33,10,225,16,Sri%20Lanka
2020-10-25,33,24,0.0,10.2,6,56,01:51 PM,01:00 AM,05:55 AM,05:47 PM,22,31,31,28,19,57,74,3.1,1009,33,10,224,13,Sri%20Lanka
2020-10-26,35,24,0.0,11.6,7,64,02:34 PM,01:51 AM,05:55 AM,05:46 PM,22,31,31,28,12,44,70,4.0,1009,35,9,223,9,Sri%20Lanka
2020-10-27,34,24,0.0,10.2,7,71,03:14 PM,02:38 AM,05:55 AM,05:46 PM,21,31,31,28,6,47,69,0.4,1009,34,10,214,5,Sri%20Lanka
2020-10-28,33,24,0.0,8.8,6,78,03:52 PM,03:23 AM,05:56 AM,05:46 PM,21,31,31,28,10,53,69,1.1,1009,33,10,233,7,Sri%20Lanka
2020-10-29,32,24,0.0,8.8,6,85,04:29 PM,04:07 AM,05:56 AM,05:45 PM,22,30,30,27,13,51,74,7.2,1010,32,9,249,8,Sri%20Lanka
2020-10-30,32,24,0.0,8.8,6,93,05:06 PM,04:51 AM,05:56 AM,05:45 PM,21,30,30,27,11,59,69,4.5,1009,32,10,272,8,Sri%20Lanka
2020-10-31,34,23,0.0,11.6,7,97,05:44 PM,05:35 AM,05:56 AM,05:45 PM,21,30,30,28,9,25,70,0.0,1010,34,9,245,6,Sri%20Lanka
2020-11-01,34,24,0.0,11.6,8,89,06:24 PM,06:19 AM,05:56 AM,05:45 PM,21,31,31,28,10,24,70,0.0,1010,34,10,244,7,Sri%20Lanka
2020-11-02,34,24,0.0,11.6,7,81,07:06 PM,07:06 AM,05:56 AM,05:44 PM,22,31,31,28,8,38,72,0.2,1011,34,9,260,6,Sri%20Lanka
2020-11-03,35,24,0.0,11.6,7,74,07:51 PM,07:55 AM,05:57 AM,05:44 PM,22,31,31,29,6,40,70,0.4,1011,35,10,195,4,Sri%20Lanka
2020-11-04,34,24,0.0,8.8,7,66,08:39 PM,08:45 AM,05:57 AM,05:44 PM,22,31,31,28,6,54,72,1.0,1010,34,10,207,4,Sri%20Lanka
2020-11-05,34,25,0.0,8.8,6,58,09:31 PM,09:38 AM,05:57 AM,05:44 PM,23,31,31,28,7,64,78,23.5,1010,34,8,184,5,Sri%20Lanka
2020-11-06,33,24,0.0,10.2,6,51,10:24 PM,10:30 AM,05:57 AM,05:44 PM,22,30,30,27,15,43,77,2.6,1011,33,9,89,10,Sri%20Lanka
2020-11-07,32,24,0.0,5.9,6,43,11:19 PM,11:23 AM,05:57 AM,05:44 PM,23,30,30,27,15,75,80,5.7,1011,32,7,72,10,Sri%20Lanka
2020-11-08,32,24,0.0,8.8,6,36,No moonrise,12:14 PM,05:58 AM,05:43 PM,23,30,30,27,10,68,82,12.0,1011,32,9,122,6,Sri%20Lanka
2020-11-09,29,22,0.0,5.9,6,28,12:14 AM,01:04 PM,05:58 AM,05:43 PM,23,28,28,25,18,71,90,40.8,1010,29,7,101,11,Sri%20Lanka
2020-11-10,26,23,0.0,5.9,6,21,01:09 AM,01:52 PM,05:58 AM,05:43 PM,23,27,27,25,16,76,93,15.2,1009,26,7,101,10,Sri%20Lanka
2020-11-11,29,23,0.0,5.9,6,13,02:04 AM,02:39 PM,05:59 AM,05:43 PM,24,29,29,26,11,74,90,24.5,1008,29,8,145,7,Sri%20Lanka
2020-11-12,30,24,0.0,8.8,6,6,02:59 AM,03:26 PM,05:59 AM,05:43 PM,24,30,30,26,14,64,89,33.4,1009,30,6,95,8,Sri%20Lanka
2020-11-13,30,23,0.0,7.3,6,0,03:55 AM,04:14 PM,05:59 AM,05:43 PM,23,29,29,26,12,68,85,6.2,1009,30,7,101,8,Sri%20Lanka
2020-11-14,30,23,0.0,5.9,6,0,04:53 AM,05:05 PM,05:59 AM,05:43 PM,24,29,29,26,17,80,89,11.6,1008,30,6,48,10,Sri%20Lanka
2020-11-15,31,24,0.0,8.7,6,0,05:53 AM,05:59 PM,06:00 AM,05:43 PM,24,30,30,27,11,60,86,12.6,1007,31,7,61,6,Sri%20Lanka
2020-11-16,31,24,0.0,10.1,6,2,06:55 AM,06:56 PM,06:00 AM,05:43 PM,23,30,30,26,14,44,84,15.8,1009,31,7,99,9,Sri%20Lanka
2020-11-17,24,23,0.0,5.7,5,9,07:59 AM,07:56 PM,06:00 AM,05:43 PM,23,26,26,23,12,98,98,85.6,1009,24,6,58,8,Sri%20Lanka
2020-11-18,28,23,0.0,4.3,6,17,09:02 AM,08:56 PM,06:01 AM,05:43 PM,23,28,28,25,12,55,88,5.7,1009,28,8,162,7,Sri%20Lanka
2020-11-19,30,23,0.0,4.3,6,24,10:02 AM,09:56 PM,06:01 AM,05:43 PM,23,29,29,26,12,57,85,0.6,1010,30,7,67,8,Sri%20Lanka
2020-11-20,28,23,0.0,4.3,6,32,10:57 AM,10:52 PM,06:02 AM,05:43 PM,23,28,28,25,15,64,87,8.4,1010,28,8,48,9,Sri%20Lanka
2020-11-21,29,22,0.0,5.8,6,39,11:47 AM,11:45 PM,06:02 AM,05:43 PM,22,27,27,25,14,49,83,1.6,1011,29,7,38,9,Sri%20Lanka
2020-11-22,27,23,0.0,5.8,6,47,12:32 PM,No moonset,06:02 AM,05:43 PM,22,28,28,25,10,65,85,1.6,1011,27,10,25,6,Sri%20Lanka
2020-11-23,28,23,0.0,7.2,6,54,01:13 PM,12:34 AM,06:03 AM,05:44 PM,23,28,28,25,15,67,88,6.6,1010,28,7,223,9,Sri%20Lanka
2020-11-24,27,24,0.0,4.3,6,62,01:52 PM,01:21 AM,06:03 AM,05:44 PM,22,27,27,25,22,74,85,3.9,1008,27,10,261,14,Sri%20Lanka
2020-11-25,27,23,0.0,4.3,6,70,02:29 PM,02:05 AM,06:04 AM,05:44 PM,23,27,27,25,28,72,89,20.2,1006,27,9,226,17,Sri%20Lanka
2020-11-26,30,19,0.0,7.2,6,77,03:06 PM,02:48 AM,06:04 AM,05:44 PM,23,28,28,25,19,49,85,0.4,1008,30,8,202,12,Sri%20Lanka
2020-11-27,30,23,0.0,8.7,7,85,03:44 PM,03:32 AM,06:05 AM,05:44 PM,22,29,29,26,11,9,80,0.0,1010,30,10,200,7,Sri%20Lanka
2020-11-28,30,23,0.0,5.8,6,92,04:22 PM,04:16 AM,06:05 AM,05:45 PM,23,28,28,25,12,51,86,5.0,1011,30,7,56,8,Sri%20Lanka
2020-11-29,29,23,0.0,5.8,6,100,05:04 PM,05:03 AM,06:05 AM,05:45 PM,23,29,29,26,13,54,86,15.7,1010,29,6,52,8,Sri%20Lanka
2020-11-30,27,23,0.0,4.3,6,100,05:48 PM,05:51 AM,06:06 AM,05:45 PM,23,27,27,25,14,80,92,7.4,1010,27,5,37,9,Sri%20Lanka
2020-12-01,26,21,0.0,4.3,5,89,06:36 PM,06:41 AM,06:06 AM,05:45 PM,23,26,26,23,17,88,94,22.7,1011,26,6,34,11,Sri%20Lanka
2020-12-02,24,19,0.0,4.3,5,82,07:27 PM,07:34 AM,06:07 AM,05:46 PM,23,25,25,22,19,95,98,296.7,1007,24,5,244,10,Sri%20Lanka
2020-12-03,28,18,0.0,5.7,6,75,08:20 PM,08:26 AM,06:07 AM,05:46 PM,23,27,27,24,21,73,89,12.7,1007,28,8,207,14,Sri%20Lanka
2020-12-04,25,23,0.0,7.2,5,67,09:15 PM,09:20 AM,06:08 AM,05:46 PM,23,27,27,24,12,66,92,9.2,1007,25,9,165,8,Sri%20Lanka
2020-12-05,29,23,0.0,4.3,6,60,10:09 PM,10:11 AM,06:08 AM,05:47 PM,24,29,29,26,15,71,89,33.2,1007,29,8,183,9,Sri%20Lanka
2020-12-06,30,23,0.0,5.7,6,53,11:03 PM,11:00 AM,06:09 AM,05:47 PM,23,29,29,26,10,52,86,7.8,1009,30,7,190,6,Sri%20Lanka
2020-12-07,29,23,0.0,4.3,6,46,11:57 PM,11:48 AM,06:09 AM,05:47 PM,24,29,29,26,8,69,90,37.2,1011,29,5,93,4,Sri%20Lanka
2020-12-08,30,23,0.0,4.3,6,38,No moonrise,12:33 PM,06:10 AM,05:48 PM,23,29,29,26,15,82,89,14.3,1011,30,5,76,9,Sri%20Lanka
2020-12-09,30,23,0.0,5.7,6,31,12:50 AM,01:19 PM,06:10 AM,05:48 PM,23,29,29,26,14,54,84,2.7,1011,30,7,74,9,Sri%20Lanka
2020-12-10,29,22,0.0,8.7,7,24,01:43 AM,02:04 PM,06:11 AM,05:48 PM,22,27,27,25,17,45,85,0.1,1011,29,7,49,11,Sri%20Lanka
2020-12-11,29,21,0.0,8.7,7,17,02:37 AM,02:52 PM,06:11 AM,05:49 PM,21,27,27,24,15,22,83,0.0,1011,29,8,49,10,Sri%20Lanka
2020-12-12,29,21,0.0,5.7,6,9,03:35 AM,03:43 PM,06:12 AM,05:49 PM,21,26,26,24,12,50,84,1.4,1011,29,7,52,8,Sri%20Lanka
2020-12-13,28,21,0.0,7.2,6,2,04:34 AM,04:37 PM,06:12 AM,05:50 PM,21,26,26,24,14,47,84,0.5,1011,28,7,35,9,Sri%20Lanka
2020-12-14,28,20,0.0,5.7,5,0,05:37 AM,05:35 PM,06:13 AM,05:50 PM,20,25,25,23,13,38,84,1.4,1010,28,7,44,9,Sri%20Lanka
2020-12-15,28,21,0.0,5.7,6,0,06:40 AM,06:36 PM,06:13 AM,05:50 PM,22,26,26,24,13,65,87,7.3,1011,28,7,33,9,Sri%20Lanka
2020-12-16,29,23,0.0,5.7,6,5,07:43 AM,07:38 PM,06:14 AM,05:51 PM,22,28,28,25,13,53,86,2.2,1011,29,7,85,8,Sri%20Lanka
2020-12-17,30,22,0.0,4.3,6,12,08:42 AM,08:37 PM,06:14 AM,05:51 PM,23,28,28,25,14,61,87,4.1,1011,30,7,65,9,Sri%20Lanka
2020-12-18,27,23,0.0,4.3,6,20,09:36 AM,09:34 PM,06:15 AM,05:52 PM,23,27,27,25,13,77,91,7.1,1010,27,7,49,8,Sri%20Lanka
2020-12-19,26,22,0.0,4.3,5,27,10:24 AM,10:25 PM,06:15 AM,05:52 PM,23,26,26,23,17,82,96,69.7,1011,26,6,45,10,Sri%20Lanka
2020-12-20,26,22,0.0,4.3,5,34,11:09 AM,11:14 PM,06:16 AM,05:53 PM,22,26,26,24,21,66,92,9.8,1011,26,6,34,12,Sri%20Lanka
2020-12-21,28,22,0.0,4.3,6,41,11:49 AM,No moonset,06:16 AM,05:53 PM,22,27,27,24,21,84,90,9.3,1011,28,7,37,13,Sri%20Lanka
2020-12-22,25,22,0.0,4.3,5,49,12:27 PM,12:00 AM,06:17 AM,05:54 PM,22,26,26,23,14,81,95,11.7,1010,25,6,53,9,Sri%20Lanka
2020-12-23,24,23,0.0,5.7,5,56,01:05 PM,12:44 AM,06:17 AM,05:54 PM,23,26,26,23,14,73,96,15.4,1009,24,9,40,9,Sri%20Lanka
2020-12-24,28,22,0.0,4.3,6,63,01:42 PM,01:28 AM,06:18 AM,05:55 PM,23,27,27,24,15,84,90,7.6,1009,28,5,38,10,Sri%20Lanka
2020-12-25,28,22,0.0,4.3,6,70,02:20 PM,02:12 AM,06:18 AM,05:55 PM,22,27,27,24,14,76,87,4.3,1010,28,8,42,9,Sri%20Lanka
2020-12-26,28,21,0.0,7.2,6,78,03:00 PM,02:57 AM,06:19 AM,05:56 PM,21,26,26,24,15,59,84,0.3,1011,28,7,28,10,Sri%20Lanka
2020-12-27,27,22,0.0,4.3,6,85,03:44 PM,03:45 AM,06:19 AM,05:56 PM,22,27,27,24,16,74,90,11.6,1010,27,8,25,10,Sri%20Lanka
2020-12-28,26,22,0.0,4.3,5,92,04:30 PM,04:34 AM,06:20 AM,05:57 PM,23,26,26,24,14,96,93,5.9,1009,26,6,27,9,Sri%20Lanka
2020-12-29,28,23,0.0,7.2,6,100,05:21 PM,05:27 AM,06:20 AM,05:57 PM,23,28,28,25,15,66,90,8.8,1009,28,9,42,9,Sri%20Lanka
2020-12-30,29,22,0.0,5.7,6,100,06:14 PM,06:20 AM,06:21 AM,05:58 PM,23,28,28,25,14,48,88,10.7,1009,29,7,65,8,Sri%20Lanka
2020-12-31,27,23,0.0,4.3,6,89,07:09 PM,07:14 AM,06:21 AM,05:58 PM,23,28,28,25,22,65,91,17.3,1009,27,9,70,13,Sri%20Lanka
