date_time,Philippines_maxtempC,Philippines_mintempC,Philippines_totalSnow_cm,Philippines_sunHour,Philippines_uvIndex,Philippines_moon_illumination,Philippines_moonrise,Philippines_moonset,Philippines_sunrise,Philippines_sunset,Philippines_DewPointC,Philippines_FeelsLikeC,Philippines_HeatIndexC,Philippines_WindChillC,Philippines_WindGustKmph,Philippines_cloudcover,Philippines_humidity,Philippines_precipMM,Philippines_pressure,Philippines_tempC,Philippines_visibility,Philippines_winddirDegree,Philippines_windspeedKmph,Philippines_location
2020-10-02,30,28,0.0,7.4,6,100,06:13 PM,05:53 AM,05:46 AM,05:45 PM,24,33,33,29,6,69,73,3.8,1008,30,10,143,4,Philippines
2020-10-03,32,28,0.0,8.8,7,89,06:48 PM,06:39 AM,05:46 AM,05:44 PM,23,34,34,30,5,69,69,7.5,1008,32,9,183,4,Philippines
2020-10-04,32,28,0.0,8.8,7,82,07:25 PM,07:25 AM,05:46 AM,05:44 PM,24,35,35,30,8,70,69,9.9,1007,32,9,163,6,Philippines
2020-10-05,33,28,0.0,7.4,7,74,08:03 PM,08:12 AM,05:46 AM,05:43 PM,23,34,34,30,10,68,68,11.3,1007,33,9,100,7,Philippines
2020-10-06,33,28,0.0,8.8,7,67,08:43 PM,09:01 AM,05:46 AM,05:42 PM,24,34,34,30,10,49,70,5.0,1007,33,10,70,8,Philippines
2020-10-07,32,28,0.0,8.8,7,60,09:28 PM,09:52 AM,05:47 AM,05:41 PM,23,34,34,30,11,51,69,0.4,1008,32,10,76,9,Philippines
2020-10-08,32,28,0.0,11.6,7,53,10:16 PM,10:43 AM,05:47 AM,05:41 PM,23,34,34,30,14,52,68,1.8,1008,32,10,67,12,Philippines
2020-10-09,29,27,0.0,6.0,6,45,11:08 PM,11:37 AM,05:47 AM,05:40 PM,23,31,31,28,11,58,74,0.8,1008,29,10,98,9,Philippines
2020-10-10,31,27,0.0,7.4,6,38,No moonrise,12:30 PM,05:47 AM,05:39 PM,23,33,33,29,8,63,73,3.9,1007,31,10,134,6,Philippines
2020-10-11,30,21,0.0,6.0,6,31,12:03 AM,01:23 PM,05:47 AM,05:39 PM,24,32,32,27,19,67,77,16.1,1006,30,9,225,12,Philippines
2020-10-12,28,25,0.0,6.0,6,23,01:01 AM,02:14 PM,05:47 AM,05:38 PM,23,29,29,26,15,79,84,46.7,1006,28,8,139,11,Philippines
2020-10-13,30,27,0.0,6.0,6,16,02:00 AM,03:03 PM,05:47 AM,05:38 PM,23,32,32,28,6,75,75,2.0,1009,30,10,152,4,Philippines
2020-10-14,30,26,0.0,10.2,6,9,03:00 AM,03:50 PM,05:47 AM,05:37 PM,24,33,33,28,10,45,77,16.0,1009,30,8,95,8,Philippines
2020-10-15,31,26,0.0,5.9,6,2,03:59 AM,04:36 PM,05:48 AM,05:36 PM,23,32,32,28,28,74,73,14.4,1007,31,8,87,19,Philippines
2020-10-16,32,27,0.0,8.8,7,0,04:59 AM,05:23 PM,05:48 AM,05:36 PM,23,33,33,29,13,58,70,8.6,1008,32,10,85,9,Philippines
2020-10-17,31,27,0.0,8.8,6,0,06:00 AM,06:09 PM,05:48 AM,05:35 PM,23,33,33,29,10,51,71,5.0,1009,31,10,77,7,Philippines
2020-10-18,28,27,0.0,5.9,6,5,07:02 AM,06:59 PM,05:48 AM,05:35 PM,23,31,31,27,8,71,77,2.4,1009,28,8,70,7,Philippines
2020-10-19,32,27,0.0,11.6,8,13,08:05 AM,07:51 PM,05:48 AM,05:34 PM,23,33,33,29,11,31,71,0.1,1008,32,9,42,9,Philippines
2020-10-20,27,20,0.0,7.3,6,20,09:09 AM,08:46 PM,05:49 AM,05:33 PM,23,29,29,26,9,65,83,70.0,1006,27,8,134,7,Philippines
2020-10-21,29,22,0.0,5.9,6,27,10:12 AM,09:44 PM,05:49 AM,05:33 PM,23,30,30,26,30,76,78,14.6,1003,29,9,187,20,Philippines
2020-10-22,32,27,0.0,11.6,7,35,11:12 AM,10:42 PM,05:49 AM,05:32 PM,24,34,34,29,14,48,72,5.2,1006,32,10,194,10,Philippines
2020-10-23,32,26,0.0,7.3,7,42,12:07 PM,11:40 PM,05:49 AM,05:32 PM,24,34,34,29,8,71,72,9.5,1008,32,9,195,6,Philippines
2020-10-24,32,27,0.0,8.8,6,49,12:58 PM,No moonset,05:49 AM,05:31 PM,23,33,33,29,9,66,72,16.6,1009,32,9,159,6,Philippines
2020-10-25,31,26,0.0,8.8,6,56,01:44 PM,12:34 AM,05:50 AM,05:31 PM,23,32,32,28,7,57,77,17.1,1009,31,9,163,6,Philippines
2020-10-26,28,25,0.0,5.9,6,64,02:25 PM,01:27 AM,05:50 AM,05:30 PM,24,30,30,26,46,84,85,63.0,1002,28,6,102,29,Philippines
2020-10-27,29,22,0.0,7.3,6,71,03:03 PM,02:16 AM,05:50 AM,05:30 PM,23,30,30,27,20,68,79,8.0,1008,29,10,103,14,Philippines
2020-10-28,30,26,0.0,8.7,6,78,03:39 PM,03:04 AM,05:51 AM,05:29 PM,24,32,32,28,10,61,78,24.4,1011,30,8,176,6,Philippines
2020-10-29,32,27,0.0,10.2,7,85,04:14 PM,03:51 AM,05:51 AM,05:29 PM,24,34,34,30,7,51,71,13.2,1012,32,9,97,5,Philippines
2020-10-30,33,27,0.0,10.2,7,93,04:49 PM,04:36 AM,05:51 AM,05:29 PM,23,34,34,30,9,35,70,0.5,1011,33,10,92,8,Philippines
2020-10-31,31,28,0.0,11.6,7,97,05:25 PM,05:23 AM,05:51 AM,05:28 PM,22,32,32,29,18,24,67,0.0,1009,31,10,64,14,Philippines
2020-11-01,25,21,0.0,5.9,5,89,06:02 PM,06:09 AM,05:52 AM,05:28 PM,22,27,27,24,37,79,83,90.8,1005,25,7,266,27,Philippines
2020-11-02,31,20,0.0,10.2,6,81,06:42 PM,06:58 AM,05:52 AM,05:28 PM,22,31,31,27,16,61,73,9.7,1008,31,9,148,11,Philippines
2020-11-03,31,28,0.0,7.3,6,74,07:26 PM,07:48 AM,05:52 AM,05:27 PM,23,33,33,29,7,70,73,12.3,1010,31,9,111,5,Philippines
2020-11-04,31,27,0.0,5.9,6,66,08:12 PM,08:39 AM,05:53 AM,05:27 PM,23,32,32,28,11,75,73,17.8,1011,31,9,110,7,Philippines
2020-11-05,30,27,0.0,5.9,6,58,09:03 PM,09:32 AM,05:53 AM,05:27 PM,23,32,32,28,8,67,76,23.1,1011,30,8,103,5,Philippines
2020-11-06,31,26,0.0,10.2,6,51,09:56 PM,10:25 AM,05:53 AM,05:26 PM,23,32,32,29,6,62,70,9.4,1012,31,9,122,5,Philippines
2020-11-07,31,27,0.0,10.2,6,43,10:52 PM,11:17 AM,05:54 AM,05:26 PM,23,32,32,28,8,57,72,4.0,1011,31,9,63,7,Philippines
2020-11-08,30,25,0.0,5.9,6,36,11:49 PM,12:07 PM,05:54 AM,05:26 PM,23,31,31,27,22,81,78,52.6,1008,30,7,76,13,Philippines
2020-11-09,32,27,0.0,11.6,7,28,No moonrise,12:55 PM,05:55 AM,05:25 PM,23,33,33,29,10,41,70,1.2,1009,32,10,60,8,Philippines
2020-11-10,32,27,0.0,11.6,8,21,12:46 AM,01:42 PM,05:55 AM,05:25 PM,23,33,33,29,11,39,68,0.9,1011,32,9,70,9,Philippines
2020-11-11,30,27,0.0,10.2,6,13,01:43 AM,02:26 PM,05:55 AM,05:25 PM,23,32,32,28,18,51,72,5.1,1008,30,10,312,13,Philippines
2020-11-12,29,24,0.0,7.3,6,6,02:40 AM,03:11 PM,05:56 AM,05:25 PM,23,30,30,26,59,75,84,258.6,1003,29,7,175,41,Philippines
2020-11-13,32,26,0.0,8.7,6,0,03:40 AM,03:56 PM,05:56 AM,05:25 PM,23,33,33,29,19,49,73,2.7,1010,32,10,95,14,Philippines
2020-11-14,31,27,0.0,10.2,6,0,04:39 AM,04:43 PM,05:57 AM,05:25 PM,23,33,33,29,13,29,71,0.1,1011,31,10,71,11,Philippines
2020-11-15,31,27,0.0,11.6,7,0,05:42 AM,05:34 PM,05:57 AM,05:24 PM,23,33,33,29,17,14,70,0.0,1012,31,10,75,14,Philippines
2020-11-16,32,27,0.0,11.6,8,2,06:46 AM,06:29 PM,05:58 AM,05:24 PM,23,34,34,29,11,12,69,0.0,1012,32,10,76,10,Philippines
2020-11-17,32,27,0.0,11.6,7,9,07:52 AM,07:27 PM,05:58 AM,05:24 PM,23,33,33,29,12,17,70,0.0,1011,32,10,74,10,Philippines
2020-11-18,32,27,0.0,11.6,8,17,08:56 AM,08:27 PM,05:59 AM,05:24 PM,23,33,33,29,11,16,70,0.0,1010,32,10,72,9,Philippines
2020-11-19,34,28,0.0,11.6,8,24,09:56 AM,09:28 PM,05:59 AM,05:24 PM,24,35,35,30,8,8,70,0.0,1010,34,10,80,7,Philippines
2020-11-20,32,27,0.0,11.6,8,32,10:51 AM,10:25 PM,05:59 AM,05:24 PM,23,34,34,29,10,15,70,0.0,1010,32,10,66,8,Philippines
2020-11-21,31,24,0.0,8.6,6,39,11:40 AM,11:21 PM,06:00 AM,05:24 PM,23,32,32,28,16,29,69,0.1,1011,31,10,69,13,Philippines
2020-11-22,30,25,0.0,7.1,6,47,12:23 PM,No moonset,06:00 AM,05:24 PM,22,30,30,28,16,42,69,0.3,1012,30,10,54,13,Philippines
2020-11-23,30,26,0.0,8.7,7,54,01:03 PM,12:12 AM,06:01 AM,05:24 PM,20,29,29,27,23,26,66,0.0,1012,30,10,56,18,Philippines
2020-11-24,30,26,0.0,7.2,6,62,01:40 PM,01:01 AM,06:01 AM,05:24 PM,21,30,30,28,26,59,67,0.5,1012,30,10,55,20,Philippines
2020-11-25,30,26,0.0,8.7,6,70,02:15 PM,01:48 AM,06:02 AM,05:24 PM,21,29,29,27,24,31,67,0.0,1011,30,10,58,18,Philippines
2020-11-26,30,26,0.0,7.2,6,77,02:50 PM,02:33 AM,06:03 AM,05:24 PM,21,30,30,27,18,50,68,0.1,1011,30,10,42,14,Philippines
2020-11-27,30,27,0.0,8.7,6,85,03:25 PM,03:19 AM,06:03 AM,05:25 PM,23,32,32,29,19,49,70,0.2,1011,30,10,59,15,Philippines
2020-11-28,30,27,0.0,4.2,6,92,04:02 PM,04:06 AM,06:04 AM,05:25 PM,23,32,32,28,22,53,71,4.3,1011,30,10,67,16,Philippines
2020-11-29,29,27,0.0,5.7,6,100,04:41 PM,04:54 AM,06:04 AM,05:25 PM,22,31,31,28,27,53,70,0.5,1011,29,10,62,20,Philippines
2020-11-30,28,26,0.0,8.7,6,100,05:24 PM,05:44 AM,06:05 AM,05:25 PM,21,29,29,27,27,27,67,0.2,1012,28,10,57,20,Philippines
2020-12-01,30,23,0.0,8.7,7,89,06:09 PM,06:35 AM,06:05 AM,05:25 PM,19,29,29,27,12,6,62,0.0,1012,30,10,49,10,Philippines
2020-12-02,30,26,0.0,8.7,6,82,06:59 PM,07:28 AM,06:06 AM,05:25 PM,21,30,30,28,7,46,68,0.2,1009,30,10,170,5,Philippines
2020-12-03,29,27,0.0,4.2,6,75,07:52 PM,08:21 AM,06:06 AM,05:26 PM,23,31,31,28,9,71,75,6.0,1008,29,10,129,7,Philippines
2020-12-04,31,27,0.0,4.2,6,67,08:47 PM,09:14 AM,06:07 AM,05:26 PM,23,32,32,29,9,70,70,6.7,1008,31,10,105,6,Philippines
2020-12-05,31,27,0.0,7.2,6,60,09:43 PM,10:05 AM,06:07 AM,05:26 PM,23,32,32,29,10,45,71,0.9,1009,31,10,74,8,Philippines
2020-12-06,31,27,0.0,7.2,6,53,10:39 PM,10:53 AM,06:08 AM,05:26 PM,23,33,33,29,13,39,70,0.2,1010,31,10,77,10,Philippines
2020-12-07,31,27,0.0,4.2,6,46,11:35 PM,11:39 AM,06:09 AM,05:27 PM,23,32,32,29,12,70,71,0.7,1011,31,10,48,9,Philippines
2020-12-08,32,27,0.0,8.7,7,38,No moonrise,12:22 PM,06:09 AM,05:27 PM,23,32,32,29,13,35,70,0.0,1011,32,10,73,11,Philippines
2020-12-09,32,27,0.0,8.7,8,31,12:30 AM,01:05 PM,06:10 AM,05:27 PM,23,34,34,29,7,16,68,0.0,1010,32,10,100,6,Philippines
2020-12-10,30,27,0.0,5.7,6,24,01:26 AM,01:48 PM,06:10 AM,05:28 PM,23,32,32,28,15,73,71,2.8,1010,30,10,62,11,Philippines
2020-12-11,32,28,0.0,8.7,8,17,02:23 AM,02:32 PM,06:11 AM,05:28 PM,23,34,34,30,7,14,69,0.0,1010,32,10,109,6,Philippines
2020-12-12,32,27,0.0,7.2,7,9,03:23 AM,03:20 PM,06:11 AM,05:28 PM,23,33,33,29,8,42,68,7.8,1010,32,9,130,6,Philippines
2020-12-13,31,28,0.0,7.2,6,2,04:24 AM,04:11 PM,06:12 AM,05:29 PM,23,33,33,29,8,47,71,0.7,1010,31,10,89,7,Philippines
2020-12-14,32,27,0.0,8.7,8,0,05:29 AM,05:07 PM,06:12 AM,05:29 PM,22,33,33,29,12,21,68,0.3,1011,32,10,83,9,Philippines
2020-12-15,31,27,0.0,8.7,7,0,06:34 AM,06:07 PM,06:13 AM,05:30 PM,22,31,31,28,17,20,68,0.0,1012,31,10,65,14,Philippines
2020-12-16,31,27,0.0,8.7,7,5,07:37 AM,07:09 PM,06:13 AM,05:30 PM,22,31,31,28,17,12,67,0.0,1012,31,10,61,14,Philippines
2020-12-17,30,27,0.0,8.7,7,12,08:36 AM,08:10 PM,06:14 AM,05:31 PM,22,31,31,28,18,23,67,0.0,1011,30,10,59,14,Philippines
2020-12-18,29,27,0.0,7.2,6,20,09:30 AM,09:08 PM,06:15 AM,05:31 PM,22,30,30,28,22,43,69,0.8,1010,29,10,53,17,Philippines
2020-12-19,26,24,0.0,4.2,6,27,10:17 AM,10:02 PM,06:15 AM,05:31 PM,22,28,28,26,28,83,77,20.4,1009,26,6,38,18,Philippines
2020-12-20,26,21,0.0,4.2,6,34,10:59 AM,10:53 PM,06:16 AM,05:32 PM,22,28,28,25,17,87,82,17.9,1009,26,9,29,12,Philippines
2020-12-21,28,25,0.0,4.2,6,41,11:38 AM,11:42 PM,06:16 AM,05:32 PM,22,29,29,26,14,74,78,3.6,1010,28,9,60,10,Philippines
2020-12-22,31,27,0.0,5.7,6,49,12:14 PM,No moonset,06:17 AM,05:33 PM,23,32,32,28,10,43,72,0.5,1010,31,10,86,8,Philippines
2020-12-23,31,26,0.0,8.7,7,56,12:49 PM,12:28 AM,06:17 AM,05:33 PM,22,32,32,28,14,19,69,0.0,1010,31,10,74,12,Philippines
2020-12-24,33,27,0.0,8.7,8,63,01:24 PM,01:15 AM,06:18 AM,05:34 PM,23,33,33,29,7,10,69,0.0,1010,33,10,130,5,Philippines
2020-12-25,31,27,0.0,8.7,7,70,02:00 PM,02:00 AM,06:18 AM,05:35 PM,23,33,33,29,12,3,69,0.0,1010,31,10,74,10,Philippines
2020-12-26,30,27,0.0,8.7,6,78,02:38 PM,02:48 AM,06:18 AM,05:35 PM,22,31,31,28,15,37,71,1.1,1010,30,10,59,12,Philippines
2020-12-27,28,27,0.0,4.2,6,85,03:19 PM,03:37 AM,06:19 AM,05:36 PM,22,30,30,27,11,65,75,2.1,1009,28,9,50,9,Philippines
2020-12-28,30,21,0.0,8.7,6,92,04:04 PM,04:27 AM,06:19 AM,05:36 PM,23,30,30,27,7,44,73,0.8,1007,30,10,171,5,Philippines
2020-12-29,31,27,0.0,7.2,6,100,04:53 PM,05:21 AM,06:20 AM,05:37 PM,23,33,33,29,7,48,72,2.9,1009,31,10,123,6,Philippines
2020-12-30,32,27,0.0,8.7,6,100,05:46 PM,06:15 AM,06:20 AM,05:37 PM,23,33,33,29,9,35,70,2.1,1010,32,10,63,7,Philippines
2020-12-31,28,26,0.0,8.7,7,89,06:41 PM,07:09 AM,06:21 AM,05:38 PM,20,28,28,27,24,47,66,0.1,1012,28,10,55,18,Philippines
2021-01-01,29,25,0.0,8.7,7,79,07:38 PM,08:01 AM,06:21 AM,05:38 PM,20,29,29,27,19,33,68,0.0,1012,29,10,48,15,Philippines
2021-01-02,29,24,0.0,7.2,6,71,08:35 PM,08:51 AM,06:21 AM,05:39 PM,21,29,29,26,19,45,72,0.0,1012,29,10,49,15,Philippines
2021-01-03,29,26,0.0,5.7,6,64,09:31 PM,09:38 AM,06:22 AM,05:40 PM,21,30,30,27,21,64,71,1.0,1012,29,10,56,16,Philippines
2021-01-04,30,26,0.0,7.2,6,57,10:26 PM,10:21 AM,06:22 AM,05:40 PM,22,31,31,28,16,31,71,0.1,1012,30,10,63,13,Philippines
2021-01-05,30,26,0.0,5.7,6,50,11:21 PM,11:04 AM,06:22 AM,05:41 PM,22,31,31,28,13,37,72,0.9,1012,30,10,63,11,Philippines
2021-01-06,31,26,0.0,8.7,7,42,No moonrise,11:46 AM,06:23 AM,05:41 PM,22,31,31,28,13,16,69,0.0,1011,31,10,67,10,Philippines
2021-01-07,30,26,0.0,8.7,7,35,12:16 AM,12:28 PM,06:23 AM,05:42 PM,21,30,30,28,13,18,68,0.0,1010,30,10,61,10,Philippines
2021-01-08,29,26,0.0,8.7,7,28,01:12 AM,01:13 PM,06:23 AM,05:42 PM,20,29,29,27,17,32,68,0.0,1011,29,10,58,14,Philippines
2021-01-09,28,25,0.0,8.7,7,20,02:11 AM,02:01 PM,06:23 AM,05:43 PM,19,28,28,26,18,32,65,0.0,1011,28,10,51,14,Philippines
2021-01-10,27,23,0.0,4.2,6,13,03:12 AM,02:53 PM,06:24 AM,05:44 PM,19,27,27,25,14,86,69,0.0,1012,27,10,55,12,Philippines
2021-01-11,28,23,0.0,8.7,6,6,04:15 AM,03:50 PM,06:24 AM,05:44 PM,19,27,27,25,13,39,68,0.0,1013,28,10,48,10,Philippines
2021-01-12,29,23,0.0,7.2,6,0,05:18 AM,04:50 PM,06:24 AM,05:45 PM,18,27,27,25,13,55,66,0.0,1012,29,10,51,10,Philippines
2021-01-13,28,24,0.0,4.2,6,0,06:19 AM,05:51 PM,06:24 AM,05:45 PM,20,28,28,26,12,55,70,0.0,1012,28,10,61,9,Philippines
2021-01-14,29,24,0.0,4.2,6,1,07:15 AM,06:51 PM,06:24 AM,05:46 PM,21,28,28,26,9,67,73,0.0,1011,29,10,92,7,Philippines
2021-01-15,29,25,0.0,4.2,6,8,08:06 AM,07:49 PM,06:25 AM,05:46 PM,21,29,29,27,9,57,72,0.0,1009,29,10,56,7,Philippines
2021-01-16,30,25,0.0,8.7,7,16,08:51 AM,08:42 PM,06:25 AM,05:47 PM,21,29,29,27,11,37,69,0.0,1009,30,10,73,9,Philippines
2021-01-17,29,25,0.0,7.2,6,23,09:33 AM,09:33 PM,06:25 AM,05:48 PM,20,28,28,26,15,57,68,0.9,1010,29,9,46,11,Philippines
2021-01-18,28,25,0.0,8.7,6,30,10:10 AM,10:21 PM,06:25 AM,05:48 PM,20,28,28,26,22,58,69,1.0,1011,28,9,55,17,Philippines
2021-01-19,27,25,0.0,4.2,6,38,10:46 AM,11:08 PM,06:25 AM,05:49 PM,21,28,28,26,22,78,76,5.0,1010,27,10,49,16,Philippines
2021-01-20,29,26,0.0,4.2,6,45,11:22 AM,11:54 PM,06:25 AM,05:49 PM,23,30,30,27,7,64,78,8.6,1009,29,10,76,5,Philippines
2021-01-21,32,21,0.0,8.7,6,52,11:57 AM,No moonset,06:25 AM,05:50 PM,23,31,31,27,11,50,75,3.4,1009,32,10,97,8,Philippines
2021-01-22,31,27,0.0,4.2,6,59,12:34 PM,12:40 AM,06:25 AM,05:50 PM,23,32,32,28,15,65,74,12.2,1009,31,9,152,9,Philippines
2021-01-23,31,27,0.0,8.7,6,67,01:14 PM,01:29 AM,06:25 AM,05:51 PM,23,32,32,29,7,58,73,9.0,1010,31,9,146,5,Philippines
2021-01-24,31,27,0.0,8.7,6,74,01:57 PM,02:18 AM,06:25 AM,05:51 PM,23,32,32,29,9,52,73,14.7,1011,31,9,118,6,Philippines
2021-01-25,31,27,0.0,8.7,7,81,02:44 PM,03:10 AM,06:25 AM,05:52 PM,23,32,32,28,10,31,72,0.0,1012,31,10,76,8,Philippines
2021-01-26,31,26,0.0,8.7,6,88,03:35 PM,04:04 AM,06:25 AM,05:52 PM,22,32,32,28,10,40,71,2.1,1011,31,10,76,8,Philippines
2021-01-27,27,26,0.0,4.2,6,96,04:30 PM,04:58 AM,06:25 AM,05:53 PM,22,29,29,26,11,55,76,4.1,1011,27,10,73,9,Philippines
2021-01-28,29,25,0.0,7.2,6,100,05:28 PM,05:52 AM,06:25 AM,05:53 PM,21,28,28,26,14,41,71,0.0,1013,29,10,77,11,Philippines
2021-01-29,27,22,0.0,7.2,6,90,06:25 PM,06:44 AM,06:25 AM,05:54 PM,18,26,26,25,24,49,67,0.2,1014,27,10,72,19,Philippines
2021-01-30,27,23,0.0,7.2,6,82,07:24 PM,07:33 AM,06:24 AM,05:54 PM,18,26,26,25,23,35,66,0.2,1015,27,10,68,18,Philippines
2021-01-31,27,24,0.0,8.7,7,79,08:20 PM,08:19 AM,06:24 AM,05:55 PM,18,26,26,25,16,10,64,0.0,1015,27,10,58,13,Philippines
2021-02-01,30,23,0.0,7.2,6,63,09:17 PM,09:03 AM,06:24 AM,05:55 PM,19,28,28,26,14,36,67,0.2,1014,30,10,69,11,Philippines
2021-02-02,29,24,0.0,8.7,7,55,10:12 PM,09:46 AM,06:24 AM,05:56 PM,20,28,28,26,11,32,68,0.0,1014,29,10,54,9,Philippines
2021-02-03,30,25,0.0,8.7,7,48,11:08 PM,10:27 AM,06:24 AM,05:56 PM,20,29,29,27,13,21,67,0.0,1014,30,10,66,11,Philippines
2021-02-04,29,25,0.0,8.7,7,40,No moonrise,11:11 AM,06:24 AM,05:56 PM,20,29,29,27,18,32,66,0.0,1014,29,10,62,14,Philippines
2021-02-05,29,26,0.0,5.7,6,33,12:05 AM,11:57 AM,06:23 AM,05:57 PM,21,29,29,27,19,60,69,0.7,1013,29,10,58,15,Philippines
2021-02-06,31,25,0.0,8.7,7,25,01:04 AM,12:47 PM,06:23 AM,05:57 PM,21,30,30,28,12,34,68,0.0,1013,31,10,59,10,Philippines
2021-02-07,32,26,0.0,8.7,7,18,02:05 AM,01:41 PM,06:23 AM,05:58 PM,22,32,32,29,14,7,68,0.0,1012,32,10,69,12,Philippines
