date_time,Kyrgyz%20Republic_maxtempC,Kyrgyz%20Republic_mintempC,Kyrgyz%20Republic_totalSnow_cm,Kyrgyz%20Republic_sunHour,Kyrgyz%20Republic_uvIndex,Kyrgyz%20Republic_moon_illumination,Kyrgyz%20Republic_moonrise,Kyrgyz%20Republic_moonset,Kyrgyz%20Republic_sunrise,Kyrgyz%20Republic_sunset,Kyrgyz%20Republic_DewPointC,Kyrgyz%20Republic_FeelsLikeC,Kyrgyz%20Republic_HeatIndexC,Kyrgyz%20Republic_WindChillC,Kyrgyz%20Republic_WindGustKmph,Kyrgyz%20Republic_cloudcover,Kyrgyz%20Republic_humidity,Kyrgyz%20Republic_precipMM,Kyrgyz%20Republic_pressure,Kyrgyz%20Republic_tempC,Kyrgyz%20Republic_visibility,Kyrgyz%20Republic_winddirDegree,Kyrgyz%20Republic_windspeedKmph,Kyrgyz%20Republic_location
2020-09-07,38,23,0.0,11.6,8,58,08:47 PM,09:43 AM,05:13 AM,05:55 PM,13,31,31,30,12,0,40,0.0,1009,38,10,247,9,Kyrgyz%20Republic
2020-09-08,39,26,0.0,11.6,8,50,09:19 PM,10:40 AM,05:13 AM,05:53 PM,14,33,33,32,13,0,37,0.0,1010,39,10,258,9,Kyrgyz%20Republic
2020-09-09,41,26,0.0,11.6,9,43,09:55 PM,11:38 AM,05:14 AM,05:52 PM,14,35,35,34,9,0,38,0.0,1008,41,10,275,7,Kyrgyz%20Republic
2020-09-10,42,27,0.0,11.6,9,35,10:36 PM,12:36 PM,05:15 AM,05:50 PM,8,34,34,34,8,0,24,0.0,1005,42,10,151,6,Kyrgyz%20Republic
2020-09-11,40,27,0.0,11.6,8,28,11:25 PM,01:34 PM,05:16 AM,05:49 PM,8,33,33,32,13,27,28,0.0,1005,40,10,136,9,Kyrgyz%20Republic
2020-09-12,37,24,0.0,11.6,8,20,No moonrise,02:29 PM,05:16 AM,05:47 PM,17,31,31,30,16,8,48,0.0,1009,37,10,254,11,Kyrgyz%20Republic
2020-09-13,34,24,0.0,11.6,8,13,12:21 AM,03:21 PM,05:17 AM,05:46 PM,17,30,30,28,15,0,57,0.0,1012,34,10,253,12,Kyrgyz%20Republic
2020-09-14,35,22,0.0,11.6,8,5,01:25 AM,04:08 PM,05:18 AM,05:44 PM,18,29,29,28,10,0,61,0.0,1012,35,10,261,7,Kyrgyz%20Republic
2020-09-15,37,24,0.0,11.6,8,0,02:33 AM,04:50 PM,05:19 AM,05:43 PM,18,31,31,30,10,0,56,0.0,1011,37,10,228,8,Kyrgyz%20Republic
2020-09-16,36,24,0.0,11.6,8,0,03:44 AM,05:29 PM,05:20 AM,05:41 PM,18,31,31,29,13,0,56,0.0,1009,36,10,253,10,Kyrgyz%20Republic
2020-09-17,35,24,0.0,11.6,8,0,04:56 AM,06:04 PM,05:20 AM,05:40 PM,17,30,30,29,16,0,54,0.0,1010,35,10,256,12,Kyrgyz%20Republic
2020-09-18,35,24,0.0,11.6,8,2,06:09 AM,06:37 PM,05:21 AM,05:39 PM,19,30,30,28,18,0,61,0.0,1011,35,10,256,14,Kyrgyz%20Republic
2020-09-19,33,23,0.0,11.6,7,10,07:22 AM,07:12 PM,05:22 AM,05:37 PM,19,29,29,27,21,9,66,0.0,1010,33,10,248,17,Kyrgyz%20Republic
2020-09-20,32,21,0.0,11.6,7,17,08:34 AM,07:48 PM,05:23 AM,05:36 PM,17,27,27,26,17,13,63,0.0,1009,32,10,255,13,Kyrgyz%20Republic
2020-09-21,32,21,0.0,11.6,7,25,09:47 AM,08:27 PM,05:23 AM,05:34 PM,17,26,26,25,13,5,64,0.0,1010,32,10,256,10,Kyrgyz%20Republic
2020-09-22,32,22,0.0,11.6,7,32,10:58 AM,09:11 PM,05:24 AM,05:33 PM,19,28,28,26,15,3,68,0.0,1012,32,10,262,12,Kyrgyz%20Republic
2020-09-23,32,22,0.0,11.6,7,40,12:05 PM,10:00 PM,05:25 AM,05:31 PM,19,28,28,26,18,2,70,0.0,1011,32,10,261,14,Kyrgyz%20Republic
2020-09-24,32,20,0.0,11.6,7,47,01:08 PM,10:55 PM,05:26 AM,05:30 PM,18,26,26,25,21,2,70,0.0,1011,32,10,258,15,Kyrgyz%20Republic
2020-09-25,30,20,0.0,11.6,7,55,02:03 PM,11:53 PM,05:27 AM,05:28 PM,19,26,26,25,21,5,73,0.0,1010,30,10,252,15,Kyrgyz%20Republic
2020-09-26,30,17,0.0,10.2,6,62,02:50 PM,No moonset,05:27 AM,05:27 PM,17,24,24,23,18,33,68,0.5,1009,30,10,259,12,Kyrgyz%20Republic
2020-09-27,34,16,0.0,11.6,7,70,03:31 PM,12:53 AM,05:28 AM,05:25 PM,19,29,29,26,12,0,64,0.0,1013,34,10,261,9,Kyrgyz%20Republic
2020-09-28,36,22,0.0,11.6,8,78,04:05 PM,01:54 AM,05:29 AM,05:24 PM,16,29,29,28,14,0,53,0.0,1014,36,10,264,8,Kyrgyz%20Republic
2020-09-29,38,23,0.0,11.6,8,85,04:36 PM,02:53 AM,05:30 AM,05:22 PM,12,30,30,30,14,0,36,0.0,1011,38,10,259,9,Kyrgyz%20Republic
2020-09-30,32,23,0.0,11.6,6,93,05:04 PM,03:52 AM,05:30 AM,05:21 PM,18,29,29,27,17,13,59,0.1,1007,32,10,245,14,Kyrgyz%20Republic
2020-10-01,28,20,0.0,11.6,6,97,05:30 PM,04:48 AM,05:31 AM,05:19 PM,17,24,24,23,21,19,70,0.1,1008,28,10,239,16,Kyrgyz%20Republic
2020-10-02,30,20,0.0,11.6,7,100,05:55 PM,05:45 AM,05:32 AM,05:18 PM,16,24,24,23,10,2,65,0.0,1013,30,10,252,7,Kyrgyz%20Republic
2020-10-03,32,16,0.0,11.6,7,89,06:21 PM,06:40 AM,05:33 AM,05:16 PM,14,23,23,23,11,7,60,0.0,1014,32,10,240,7,Kyrgyz%20Republic
2020-10-04,32,17,0.0,11.6,7,82,06:49 PM,07:37 AM,05:34 AM,05:15 PM,14,23,23,23,16,1,62,0.0,1014,32,10,270,10,Kyrgyz%20Republic
2020-10-05,33,18,0.0,11.6,7,74,07:19 PM,08:33 AM,05:35 AM,05:14 PM,10,24,24,24,12,0,46,0.0,1014,33,10,294,7,Kyrgyz%20Republic
2020-10-06,34,19,0.0,11.6,7,67,07:53 PM,09:31 AM,05:35 AM,05:12 PM,6,25,25,25,11,1,32,0.0,1013,34,10,230,7,Kyrgyz%20Republic
2020-10-07,36,18,0.0,11.6,7,60,08:31 PM,10:28 AM,05:36 AM,05:11 PM,8,26,26,26,11,3,34,0.0,1013,36,10,275,6,Kyrgyz%20Republic
2020-10-08,33,19,0.0,11.6,6,53,09:17 PM,11:26 AM,05:37 AM,05:09 PM,-1,26,26,26,11,24,22,0.0,1014,33,10,67,7,Kyrgyz%20Republic
2020-10-09,34,22,0.0,11.6,7,45,10:08 PM,12:21 PM,05:38 AM,05:08 PM,-4,26,26,27,20,3,13,0.0,1015,34,10,67,13,Kyrgyz%20Republic
2020-10-10,32,20,0.0,11.6,7,38,11:07 PM,01:13 PM,05:39 AM,05:07 PM,2,25,25,25,18,5,22,0.0,1014,32,10,121,10,Kyrgyz%20Republic
2020-10-11,31,21,0.0,11.6,7,31,No moonrise,02:00 PM,05:40 AM,05:05 PM,16,26,26,25,9,0,61,0.0,1014,31,10,233,6,Kyrgyz%20Republic
2020-10-12,32,20,0.0,11.6,7,23,12:12 AM,02:43 PM,05:40 AM,05:04 PM,16,25,25,24,8,1,64,0.0,1014,32,10,227,5,Kyrgyz%20Republic
2020-10-13,30,18,0.0,10.2,5,16,01:20 AM,03:22 PM,05:41 AM,05:02 PM,16,23,23,23,9,16,67,0.0,1013,30,10,223,7,Kyrgyz%20Republic
2020-10-14,28,19,0.0,11.6,6,9,02:30 AM,03:58 PM,05:42 AM,05:01 PM,17,23,23,22,17,5,73,0.0,1015,28,10,262,12,Kyrgyz%20Republic
2020-10-15,27,15,0.0,10.1,5,2,03:42 AM,04:31 PM,05:43 AM,05:00 PM,17,23,23,22,20,24,75,0.2,1015,27,10,254,14,Kyrgyz%20Republic
2020-10-16,28,17,0.0,11.1,6,0,04:55 AM,05:05 PM,05:44 AM,04:58 PM,17,22,22,22,15,0,73,0.0,1015,28,10,265,9,Kyrgyz%20Republic
2020-10-17,29,16,0.0,11.1,6,0,06:08 AM,05:41 PM,05:45 AM,04:57 PM,15,22,22,21,11,8,67,0.0,1014,29,10,255,7,Kyrgyz%20Republic
2020-10-18,30,21,0.0,8.6,6,5,07:23 AM,06:19 PM,05:46 AM,04:56 PM,15,25,25,24,7,36,63,0.0,1014,30,10,193,4,Kyrgyz%20Republic
2020-10-19,30,20,0.0,11.1,6,13,08:38 AM,07:02 PM,05:47 AM,04:55 PM,15,25,25,24,10,16,61,0.1,1016,30,10,239,7,Kyrgyz%20Republic
2020-10-20,29,20,0.0,11.1,6,20,09:50 AM,07:51 PM,05:47 AM,04:53 PM,17,25,25,23,15,24,69,0.4,1016,29,10,248,11,Kyrgyz%20Republic
2020-10-21,30,19,0.0,11.0,6,27,10:58 AM,08:45 PM,05:48 AM,04:52 PM,15,24,24,23,8,27,63,0.2,1017,30,10,240,6,Kyrgyz%20Republic
2020-10-22,30,20,0.0,11.0,7,35,11:58 AM,09:45 PM,05:49 AM,04:51 PM,11,25,25,24,11,2,46,0.0,1018,30,10,266,8,Kyrgyz%20Republic
2020-10-23,33,20,0.0,11.0,7,42,12:49 PM,10:45 PM,05:50 AM,04:50 PM,11,25,25,25,6,1,42,0.0,1017,33,10,144,4,Kyrgyz%20Republic
2020-10-24,33,21,0.0,11.0,7,49,01:32 PM,11:47 PM,05:51 AM,04:49 PM,1,25,25,25,11,9,22,0.0,1013,33,10,128,7,Kyrgyz%20Republic
2020-10-25,32,19,0.0,11.0,7,56,02:08 PM,No moonset,05:52 AM,04:47 PM,0,23,23,24,9,16,22,0.0,1012,32,10,125,5,Kyrgyz%20Republic
2020-10-26,32,19,0.0,10.9,7,64,02:40 PM,12:47 AM,05:53 AM,04:46 PM,3,24,24,25,6,8,24,0.0,1014,32,10,150,4,Kyrgyz%20Republic
2020-10-27,32,20,0.0,10.9,7,71,03:08 PM,01:46 AM,05:54 AM,04:45 PM,0,24,24,25,14,1,21,0.0,1014,32,10,87,9,Kyrgyz%20Republic
2020-10-28,29,21,0.0,10.9,7,78,03:35 PM,02:43 AM,05:55 AM,04:44 PM,6,23,23,24,8,8,36,0.0,1015,29,10,149,6,Kyrgyz%20Republic
2020-10-29,29,19,0.0,10.9,6,85,04:00 PM,03:39 AM,05:56 AM,04:43 PM,15,23,23,23,10,0,66,0.0,1017,29,10,263,7,Kyrgyz%20Republic
2020-10-30,28,17,0.0,10.9,6,93,04:25 PM,04:34 AM,05:57 AM,04:42 PM,11,22,22,22,7,7,52,0.0,1016,28,10,244,5,Kyrgyz%20Republic
2020-10-31,27,18,0.0,10.8,6,97,04:52 PM,05:31 AM,05:58 AM,04:41 PM,14,22,22,21,9,10,65,0.0,1014,27,10,273,6,Kyrgyz%20Republic
2020-11-01,27,18,0.0,10.8,6,89,05:21 PM,06:27 AM,05:59 AM,04:40 PM,15,22,22,21,6,3,71,0.0,1014,27,10,190,5,Kyrgyz%20Republic
2020-11-02,26,17,0.0,10.1,5,81,05:53 PM,07:25 AM,05:59 AM,04:39 PM,14,20,20,20,9,39,72,0.4,1016,26,10,263,6,Kyrgyz%20Republic
2020-11-03,23,16,0.0,5.2,5,74,06:30 PM,08:22 AM,06:00 AM,04:38 PM,15,19,19,19,9,72,77,7.2,1017,23,9,184,6,Kyrgyz%20Republic
2020-11-04,18,15,0.0,3.9,4,66,07:13 PM,09:21 AM,06:01 AM,04:37 PM,14,17,17,17,13,73,83,31.3,1012,18,8,217,8,Kyrgyz%20Republic
2020-11-05,19,14,0.0,3.9,4,58,08:02 PM,10:16 AM,06:02 AM,04:36 PM,13,16,16,16,15,76,82,18.0,1008,19,9,37,11,Kyrgyz%20Republic
2020-11-06,21,10,0.0,8.7,4,51,08:58 PM,11:09 AM,06:03 AM,04:35 PM,12,17,18,17,5,38,69,0.1,1013,21,10,129,4,Kyrgyz%20Republic
2020-11-07,22,17,0.0,8.7,5,43,09:59 PM,11:57 AM,06:04 AM,04:34 PM,10,19,20,19,10,16,57,0.0,1016,22,10,46,7,Kyrgyz%20Republic
2020-11-08,22,16,0.0,8.7,5,36,11:03 PM,12:40 PM,06:05 AM,04:33 PM,6,18,19,18,17,6,46,0.0,1018,22,10,54,12,Kyrgyz%20Republic
2020-11-09,22,15,0.0,8.7,5,28,No moonrise,01:19 PM,06:06 AM,04:32 PM,6,18,19,18,14,30,45,0.0,1019,22,10,61,9,Kyrgyz%20Republic
2020-11-10,23,17,0.0,8.7,6,21,12:10 AM,01:54 PM,06:07 AM,04:32 PM,8,20,20,20,7,7,47,0.0,1017,23,10,91,5,Kyrgyz%20Republic
2020-11-11,24,19,0.0,8.7,6,13,01:19 AM,02:27 PM,06:08 AM,04:31 PM,11,21,21,21,3,6,54,0.0,1017,24,10,114,3,Kyrgyz%20Republic
2020-11-12,23,18,0.0,8.7,6,6,02:29 AM,03:00 PM,06:09 AM,04:30 PM,10,20,20,20,4,7,54,0.0,1020,23,10,138,3,Kyrgyz%20Republic
2020-11-13,24,17,0.0,8.7,6,0,03:41 AM,03:33 PM,06:10 AM,04:29 PM,9,20,20,20,4,4,50,0.0,1021,24,10,107,3,Kyrgyz%20Republic
2020-11-14,21,15,0.0,8.7,5,0,04:54 AM,04:09 PM,06:11 AM,04:29 PM,5,17,18,17,14,12,46,0.0,1018,21,10,56,10,Kyrgyz%20Republic
2020-11-15,17,13,0.0,3.8,4,0,06:09 AM,04:50 PM,06:12 AM,04:28 PM,6,15,15,15,12,63,56,3.8,1015,17,10,87,9,Kyrgyz%20Republic
2020-11-16,20,12,0.0,8.7,5,2,07:25 AM,05:36 PM,06:13 AM,04:27 PM,8,16,16,16,3,7,61,0.0,1018,20,10,72,3,Kyrgyz%20Republic
2020-11-17,21,13,0.0,8.7,5,9,08:37 AM,06:29 PM,06:14 AM,04:27 PM,6,17,17,17,5,4,51,0.0,1022,21,10,49,4,Kyrgyz%20Republic
2020-11-18,19,12,0.0,8.7,5,17,09:43 AM,07:29 PM,06:15 AM,04:26 PM,5,16,16,16,9,15,50,0.0,1020,19,10,58,7,Kyrgyz%20Republic
2020-11-19,18,9,0.0,8.7,4,24,10:40 AM,08:31 PM,06:16 AM,04:26 PM,5,14,15,14,18,25,50,0.1,1015,18,10,63,14,Kyrgyz%20Republic
2020-11-20,14,12,0.0,3.8,3,32,11:29 AM,09:36 PM,06:17 AM,04:25 PM,7,12,13,12,21,85,68,14.4,1011,14,9,51,18,Kyrgyz%20Republic
2020-11-21,17,12,0.0,7.1,3,39,12:09 PM,10:38 PM,06:18 AM,04:25 PM,10,14,14,14,6,58,79,5.9,1014,17,8,123,5,Kyrgyz%20Republic
2020-11-22,20,14,0.0,8.7,4,47,12:42 PM,11:38 PM,06:19 AM,04:24 PM,9,16,17,16,4,18,64,0.0,1020,20,10,251,3,Kyrgyz%20Republic
2020-11-23,20,14,0.0,8.7,5,54,01:12 PM,No moonset,06:20 AM,04:24 PM,7,17,17,17,4,0,56,0.0,1020,20,10,137,3,Kyrgyz%20Republic
2020-11-24,18,12,0.0,8.7,5,62,01:39 PM,12:36 AM,06:21 AM,04:23 PM,2,14,14,14,9,6,43,0.0,1018,18,10,81,7,Kyrgyz%20Republic
2020-11-25,17,11,0.0,8.7,3,70,02:04 PM,01:33 AM,06:22 AM,04:23 PM,1,13,14,13,18,32,42,0.0,1012,17,10,62,13,Kyrgyz%20Republic
2020-11-26,11,9,0.0,3.8,3,77,02:29 PM,02:28 AM,06:23 AM,04:23 PM,8,9,11,9,18,87,84,15.3,1014,11,8,40,16,Kyrgyz%20Republic
2020-11-27,15,9,0.0,7.0,3,85,02:55 PM,03:24 AM,06:24 AM,04:22 PM,4,11,11,11,12,46,62,0.0,1018,15,10,65,8,Kyrgyz%20Republic
2020-11-28,15,7,0.0,8.7,4,92,03:24 PM,04:20 AM,06:25 AM,04:22 PM,4,9,10,9,19,31,64,0.0,1020,15,10,62,12,Kyrgyz%20Republic
2020-11-29,17,8,0.0,8.7,4,100,03:55 PM,05:18 AM,06:26 AM,04:22 PM,5,11,11,11,7,10,67,0.0,1020,17,10,93,4,Kyrgyz%20Republic
2020-11-30,17,9,0.0,7.0,3,100,04:30 PM,06:16 AM,06:27 AM,04:22 PM,6,12,12,12,12,50,66,0.2,1017,17,10,73,8,Kyrgyz%20Republic
2020-12-01,16,12,0.0,5.4,3,89,05:11 PM,07:15 AM,06:28 AM,04:22 PM,8,13,14,13,19,65,71,0.2,1016,16,10,41,15,Kyrgyz%20Republic
2020-12-02,17,12,0.0,8.7,4,82,05:59 PM,08:12 AM,06:29 AM,04:22 PM,8,13,14,13,21,35,71,0.1,1019,17,10,55,16,Kyrgyz%20Republic
2020-12-03,17,11,0.0,8.7,4,75,06:53 PM,09:06 AM,06:29 AM,04:21 PM,6,12,13,12,16,8,61,0.0,1021,17,10,67,10,Kyrgyz%20Republic
2020-12-04,17,8,0.0,8.7,4,67,07:52 PM,09:56 AM,06:30 AM,04:21 PM,3,10,11,10,19,13,57,0.0,1018,17,10,62,10,Kyrgyz%20Republic
2020-12-05,17,8,0.0,8.7,4,60,08:55 PM,10:40 AM,06:31 AM,04:21 PM,3,11,11,11,13,9,58,0.0,1017,17,10,59,8,Kyrgyz%20Republic
2020-12-06,19,10,0.0,8.7,5,53,10:00 PM,11:20 AM,06:32 AM,04:21 PM,7,15,15,15,3,4,63,0.0,1017,19,10,181,2,Kyrgyz%20Republic
2020-12-07,17,11,0.0,8.7,3,46,11:06 PM,11:55 AM,06:33 AM,04:21 PM,8,14,14,14,7,30,69,0.1,1018,17,10,145,5,Kyrgyz%20Republic
2020-12-08,15,8,0.0,8.7,3,38,No moonrise,12:27 PM,06:34 AM,04:21 PM,4,10,12,10,23,31,59,1.6,1019,15,10,58,15,Kyrgyz%20Republic
2020-12-09,16,7,0.0,8.7,4,31,12:13 AM,12:58 PM,06:34 AM,04:22 PM,5,10,11,10,10,30,69,0.2,1021,16,10,118,6,Kyrgyz%20Republic
2020-12-10,16,7,0.0,8.7,4,24,01:21 AM,01:30 PM,06:35 AM,04:22 PM,5,10,10,10,8,8,72,0.0,1021,16,10,76,5,Kyrgyz%20Republic
2020-12-11,15,9,0.0,8.7,4,17,02:31 AM,02:03 PM,06:36 AM,04:22 PM,6,10,11,10,15,16,68,0.0,1018,15,10,57,9,Kyrgyz%20Republic
2020-12-12,14,7,0.0,8.7,4,9,03:43 AM,02:40 PM,06:37 AM,04:22 PM,3,8,10,8,26,13,62,0.0,1017,14,10,62,15,Kyrgyz%20Republic
2020-12-13,12,8,0.0,8.7,3,2,04:57 AM,03:23 PM,06:37 AM,04:22 PM,5,8,10,8,27,45,74,0.1,1015,12,10,61,16,Kyrgyz%20Republic
2020-12-14,15,6,0.0,3.7,3,0,06:10 AM,04:12 PM,06:38 AM,04:23 PM,9,10,12,10,24,85,81,34.5,1010,15,9,56,19,Kyrgyz%20Republic
2020-12-15,15,8,0.0,3.7,3,0,07:21 AM,05:09 PM,06:39 AM,04:23 PM,10,12,12,12,13,85,82,7.6,1010,15,7,58,10,Kyrgyz%20Republic
2020-12-16,14,12,0.0,3.7,3,5,08:24 AM,06:11 PM,06:39 AM,04:23 PM,10,10,12,10,25,88,85,8.8,1013,14,8,56,20,Kyrgyz%20Republic
2020-12-17,16,12,0.0,7.0,3,12,09:18 AM,07:17 PM,06:40 AM,04:24 PM,9,13,14,13,13,45,74,1.5,1018,16,9,47,10,Kyrgyz%20Republic
2020-12-18,17,12,0.0,8.7,5,20,10:03 AM,08:22 PM,06:41 AM,04:24 PM,10,15,15,15,2,4,72,0.0,1021,17,10,151,2,Kyrgyz%20Republic
2020-12-19,15,12,0.0,8.7,3,27,10:40 AM,09:25 PM,06:41 AM,04:25 PM,9,13,13,13,2,30,77,0.1,1023,15,10,136,2,Kyrgyz%20Republic
2020-12-20,15,9,0.0,8.7,4,34,11:13 AM,10:25 PM,06:42 AM,04:25 PM,8,11,12,11,11,19,77,0.0,1023,15,10,42,7,Kyrgyz%20Republic
2020-12-21,14,10,0.0,8.7,3,41,11:41 AM,11:23 PM,06:42 AM,04:25 PM,6,10,11,10,15,27,72,0.0,1022,14,10,61,11,Kyrgyz%20Republic
2020-12-22,14,10,0.0,8.7,4,49,12:07 PM,No moonset,06:43 AM,04:26 PM,7,11,11,11,10,33,76,0.0,1019,14,10,62,8,Kyrgyz%20Republic
2020-12-23,15,10,0.0,7.0,3,56,12:32 PM,12:19 AM,06:43 AM,04:27 PM,7,12,12,12,4,69,74,1.7,1016,15,9,246,3,Kyrgyz%20Republic
2020-12-24,13,6,0.0,8.7,3,63,12:58 PM,01:15 AM,06:44 AM,04:27 PM,-2,9,9,9,7,15,47,0.0,1020,13,10,85,5,Kyrgyz%20Republic
2020-12-25,12,5,0.0,8.7,3,70,01:25 PM,02:11 AM,06:44 AM,04:28 PM,-4,7,7,7,10,3,44,0.0,1023,12,10,53,6,Kyrgyz%20Republic
2020-12-26,10,3,0.0,8.7,3,78,01:55 PM,03:08 AM,06:44 AM,04:28 PM,-5,3,5,3,25,3,47,0.0,1025,10,10,64,14,Kyrgyz%20Republic
2020-12-27,11,2,0.0,8.7,3,85,02:28 PM,04:06 AM,06:45 AM,04:29 PM,-5,3,6,3,24,1,47,0.0,1024,11,10,71,14,Kyrgyz%20Republic
2020-12-28,12,4,0.0,8.7,3,92,03:08 PM,05:05 AM,06:45 AM,04:30 PM,-3,5,7,5,27,13,48,0.0,1023,12,10,66,16,Kyrgyz%20Republic
2020-12-29,12,4,0.0,8.7,3,100,03:53 PM,06:03 AM,06:45 AM,04:30 PM,-2,6,8,6,17,6,51,0.0,1023,12,10,68,10,Kyrgyz%20Republic
2020-12-30,14,6,0.0,8.7,3,100,04:46 PM,07:00 AM,06:46 AM,04:31 PM,-3,7,8,7,16,2,46,0.0,1021,14,10,65,9,Kyrgyz%20Republic
2020-12-31,14,6,0.0,8.7,4,89,05:45 PM,07:52 AM,06:46 AM,04:32 PM,-1,7,9,7,19,3,51,0.0,1020,14,10,64,11,Kyrgyz%20Republic
2021-01-01,15,6,0.0,8.7,4,79,06:48 PM,08:39 AM,06:46 AM,04:33 PM,1,8,9,8,19,14,54,0.0,1020,15,10,63,11,Kyrgyz%20Republic
2021-01-02,16,7,0.0,8.7,4,71,07:53 PM,09:21 AM,06:46 AM,04:33 PM,2,9,10,9,20,28,57,0.0,1021,16,10,58,12,Kyrgyz%20Republic
2021-01-03,15,7,0.0,8.7,4,64,08:59 PM,09:57 AM,06:46 AM,04:34 PM,3,8,10,8,20,23,63,0.0,1021,15,10,65,11,Kyrgyz%20Republic
2021-01-04,15,7,0.0,8.7,4,57,10:05 PM,10:30 AM,06:46 AM,04:35 PM,3,9,10,9,17,18,62,0.0,1021,15,10,64,10,Kyrgyz%20Republic
2021-01-05,15,7,0.0,8.7,4,50,11:12 PM,11:01 AM,06:47 AM,04:36 PM,2,9,10,9,21,24,56,0.0,1021,15,10,61,12,Kyrgyz%20Republic
2021-01-06,15,7,0.0,8.7,4,42,No moonrise,11:32 AM,06:47 AM,04:37 PM,2,9,10,9,14,10,58,0.0,1023,15,10,59,8,Kyrgyz%20Republic
2021-01-07,16,7,0.0,8.7,4,35,12:19 AM,12:03 PM,06:47 AM,04:38 PM,4,11,11,11,13,27,59,0.0,1022,16,10,60,7,Kyrgyz%20Republic
2021-01-08,15,9,0.0,8.7,3,28,01:28 AM,12:36 PM,06:47 AM,04:39 PM,4,10,11,10,17,24,61,0.0,1021,15,10,58,9,Kyrgyz%20Republic
2021-01-09,16,7,0.0,8.7,4,20,02:38 AM,01:15 PM,06:46 AM,04:39 PM,3,10,11,10,17,7,58,0.0,1021,16,10,61,11,Kyrgyz%20Republic
2021-01-10,16,10,0.0,8.7,4,13,03:50 AM,02:00 PM,06:46 AM,04:40 PM,3,12,12,12,9,17,53,0.0,1022,16,10,92,6,Kyrgyz%20Republic
2021-01-11,15,7,0.0,8.7,3,6,05:00 AM,02:52 PM,06:46 AM,04:41 PM,1,11,11,11,5,27,48,0.0,1024,15,10,103,2,Kyrgyz%20Republic
2021-01-12,20,10,0.0,8.7,5,0,06:05 AM,03:51 PM,06:46 AM,04:42 PM,4,14,14,14,6,26,51,0.0,1022,20,10,89,4,Kyrgyz%20Republic
2021-01-13,16,12,0.0,8.7,3,0,07:04 AM,04:55 PM,06:46 AM,04:43 PM,6,13,14,13,15,47,60,5.1,1012,16,9,91,11,Kyrgyz%20Republic
2021-01-14,13,10,0.0,3.7,3,1,07:53 AM,06:02 PM,06:46 AM,04:44 PM,9,10,12,10,21,88,85,18.3,1006,13,9,226,14,Kyrgyz%20Republic
2021-01-15,15,10,0.0,5.4,3,8,08:35 AM,07:07 PM,06:45 AM,04:45 PM,8,10,11,10,24,58,78,2.9,1011,15,10,247,17,Kyrgyz%20Republic
2021-01-16,12,7,0.0,3.8,3,16,09:10 AM,08:10 PM,06:45 AM,04:46 PM,9,10,10,10,8,84,90,11.3,1011,12,9,151,5,Kyrgyz%20Republic
2021-01-17,13,7,0.0,3.8,3,23,09:40 AM,09:10 PM,06:45 AM,04:47 PM,9,9,11,9,23,83,86,45.7,1006,13,8,246,15,Kyrgyz%20Republic
2021-01-18,11,8,0.0,5.4,2,30,10:07 AM,10:08 PM,06:44 AM,04:48 PM,4,7,9,7,24,65,72,1.9,1013,11,10,249,18,Kyrgyz%20Republic
2021-01-19,7,5,0.0,3.8,2,38,10:33 AM,11:05 PM,06:44 AM,04:49 PM,5,5,6,5,10,81,89,27.7,1014,7,8,91,8,Kyrgyz%20Republic
2021-01-20,8,2,0.0,5.4,2,45,10:59 AM,No moonset,06:44 AM,04:50 PM,1,3,5,3,11,60,74,7.1,1018,8,8,187,8,Kyrgyz%20Republic
2021-01-21,11,3,0.0,8.7,2,52,11:25 AM,12:01 AM,06:43 AM,04:51 PM,-3,6,6,6,4,17,55,0.0,1029,11,10,215,3,Kyrgyz%20Republic
2021-01-22,8,-0,0.0,8.7,2,59,11:54 AM,12:57 AM,06:43 AM,04:52 PM,-3,1,4,1,17,13,61,0.0,1029,8,10,60,10,Kyrgyz%20Republic
2021-01-23,9,1,0.0,8.7,3,67,12:25 PM,01:54 AM,06:42 AM,04:53 PM,-3,1,4,1,22,19,59,0.0,1025,9,10,67,12,Kyrgyz%20Republic
2021-01-24,9,1,0.0,8.7,2,74,01:02 PM,02:53 AM,06:42 AM,04:55 PM,-3,2,4,2,22,13,59,0.0,1023,9,10,68,13,Kyrgyz%20Republic
2021-01-25,9,3,0.0,5.4,2,81,01:45 PM,03:51 AM,06:41 AM,04:56 PM,-2,4,6,4,12,26,58,0.0,1023,9,10,59,8,Kyrgyz%20Republic
2021-01-26,10,3,0.0,8.7,3,88,02:35 PM,04:48 AM,06:40 AM,04:57 PM,-2,5,6,5,14,12,58,0.0,1022,10,10,56,8,Kyrgyz%20Republic
2021-01-27,12,4,0.0,3.8,2,96,03:32 PM,05:43 AM,06:40 AM,04:58 PM,0,5,8,5,30,46,60,0.0,1015,12,10,57,18,Kyrgyz%20Republic
2021-01-28,13,6,0.0,3.8,3,100,04:34 PM,06:33 AM,06:39 AM,04:59 PM,5,8,10,8,15,82,73,3.6,1013,13,10,211,11,Kyrgyz%20Republic
2021-01-29,7,5,0.0,4.0,2,90,05:41 PM,07:17 AM,06:38 AM,05:00 PM,5,5,6,5,10,92,90,39.2,1012,7,8,116,8,Kyrgyz%20Republic
