date_time,Venezuela_maxtempC,Venezuela_mintempC,Venezuela_totalSnow_cm,Venezuela_sunHour,Venezuela_uvIndex,Venezuela_moon_illumination,Venezuela_moonrise,Venezuela_moonset,Venezuela_sunrise,Venezuela_sunset,Venezuela_DewPointC,Venezuela_FeelsLikeC,Venezuela_HeatIndexC,Venezuela_WindChillC,Venezuela_WindGustKmph,Venezuela_cloudcover,Venezuela_humidity,Venezuela_precipMM,Venezuela_pressure,Venezuela_tempC,Venezuela_visibility,Venezuela_winddirDegree,Venezuela_windspeedKmph,Venezuela_location
2020-02-03,23,14,0.0,8.8,4,64,01:28 PM,01:30 AM,06:50 AM,06:32 PM,15,18,19,18,11,31,81,0.2,1014,23,10,102,6,Venezuela
2020-02-04,22,15,0.0,11.6,5,72,02:16 PM,02:21 AM,06:50 AM,06:33 PM,14,18,18,18,13,13,78,0.0,1015,22,10,101,7,Venezuela
2020-02-05,23,15,0.0,8.8,4,79,03:09 PM,03:16 AM,06:50 AM,06:33 PM,14,18,19,18,13,43,79,0.4,1014,23,9,103,7,Venezuela
2020-02-06,24,16,0.0,11.6,5,87,04:06 PM,04:14 AM,06:50 AM,06:33 PM,15,20,21,20,12,31,76,0.2,1013,24,10,117,7,Venezuela
2020-02-07,24,16,0.0,11.6,6,95,05:08 PM,05:13 AM,06:50 AM,06:33 PM,14,19,20,19,10,10,73,0.0,1014,24,10,120,6,Venezuela
2020-02-08,25,16,0.0,11.6,5,100,06:10 PM,06:11 AM,06:50 AM,06:34 PM,16,20,20,20,11,36,78,0.2,1014,25,10,92,8,Venezuela
2020-02-09,21,15,0.0,7.3,4,100,07:12 PM,07:08 AM,06:49 AM,06:34 PM,15,18,18,18,11,55,85,2.4,1014,21,9,79,6,Venezuela
2020-02-10,23,16,0.0,10.2,5,83,08:12 PM,08:01 AM,06:49 AM,06:34 PM,15,19,20,19,11,45,79,0.3,1015,23,8,103,6,Venezuela
2020-02-11,23,15,0.0,11.6,4,75,09:10 PM,08:51 AM,06:49 AM,06:35 PM,14,18,19,18,12,26,77,0.1,1014,23,10,113,7,Venezuela
2020-02-12,22,16,0.0,8.8,4,68,10:07 PM,09:40 AM,06:49 AM,06:35 PM,16,18,19,18,14,52,85,2.0,1013,22,8,97,7,Venezuela
2020-02-13,22,13,0.0,8.8,4,60,11:03 PM,10:27 AM,06:48 AM,06:35 PM,15,17,18,17,15,59,84,3.2,1013,22,9,98,8,Venezuela
2020-02-14,25,16,0.0,5.9,5,53,11:59 PM,11:14 AM,06:48 AM,06:35 PM,18,20,21,20,11,74,85,7.4,1013,25,6,100,7,Venezuela
2020-02-15,23,16,0.0,10.2,5,45,No moonrise,12:02 PM,06:48 AM,06:36 PM,17,20,21,20,10,52,81,0.3,1013,23,7,111,7,Venezuela
2020-02-16,25,15,0.0,11.6,6,38,12:54 AM,12:51 PM,06:48 AM,06:36 PM,17,23,23,21,9,7,76,0.0,1012,25,10,103,6,Venezuela
2020-02-17,23,16,0.0,11.6,5,30,01:51 AM,01:42 PM,06:47 AM,06:36 PM,16,20,21,20,11,27,81,0.1,1011,23,10,104,7,Venezuela
2020-02-18,21,17,0.0,7.4,4,22,02:46 AM,02:34 PM,06:47 AM,06:36 PM,17,19,19,19,14,70,90,6.4,1013,21,9,94,7,Venezuela
2020-02-19,21,17,0.0,7.4,4,15,03:41 AM,03:28 PM,06:47 AM,06:36 PM,17,19,19,19,12,69,88,4.1,1012,21,9,87,6,Venezuela
2020-02-20,23,17,0.0,8.8,5,7,04:32 AM,04:21 PM,06:46 AM,06:36 PM,16,19,20,19,11,62,84,2.1,1012,23,9,91,6,Venezuela
2020-02-21,24,14,0.0,10.2,5,0,05:22 AM,05:13 PM,06:46 AM,06:37 PM,18,20,22,20,7,43,81,0.2,1012,24,10,93,6,Venezuela
2020-02-22,27,14,0.0,11.6,6,0,06:08 AM,06:02 PM,06:45 AM,06:37 PM,18,22,22,21,6,19,80,0.0,1013,27,10,68,5,Venezuela
2020-02-23,23,15,0.0,10.2,5,0,06:50 AM,06:50 PM,06:45 AM,06:37 PM,17,19,20,19,5,26,80,0.7,1013,23,10,62,4,Venezuela
2020-02-24,23,15,0.0,10.2,5,0,07:31 AM,07:37 PM,06:45 AM,06:37 PM,17,20,20,20,6,44,85,0.7,1013,23,10,46,4,Venezuela
2020-02-25,24,16,0.0,10.2,5,8,08:09 AM,08:21 PM,06:44 AM,06:37 PM,15,19,19,19,9,49,81,0.6,1012,24,10,56,5,Venezuela
2020-02-26,25,15,0.0,10.2,5,15,08:46 AM,09:06 PM,06:44 AM,06:37 PM,15,20,21,20,7,28,77,0.4,1012,25,10,76,4,Venezuela
2020-02-27,23,16,0.0,8.8,5,23,09:23 AM,09:50 PM,06:43 AM,06:37 PM,16,19,20,19,10,40,79,0.5,1013,23,10,83,6,Venezuela
2020-02-28,23,14,0.0,10.2,5,30,10:01 AM,10:35 PM,06:43 AM,06:38 PM,15,19,19,19,8,36,79,0.5,1013,23,9,72,6,Venezuela
2020-02-29,25,16,0.0,8.8,5,38,10:40 AM,11:23 PM,06:42 AM,06:38 PM,17,20,21,20,7,37,81,1.1,1014,25,9,80,5,Venezuela
2020-03-01,24,15,0.0,11.6,6,44,11:22 AM,No moonset,06:42 AM,06:38 PM,15,20,20,20,7,7,74,0.0,1014,24,10,63,5,Venezuela
2020-03-02,23,15,0.0,10.2,5,51,12:07 PM,12:12 AM,06:41 AM,06:38 PM,14,19,19,19,9,24,76,0.2,1013,23,10,71,6,Venezuela
2020-03-03,24,14,0.0,11.6,5,58,12:56 PM,01:04 AM,06:41 AM,06:38 PM,16,20,21,20,9,30,78,0.1,1013,24,10,85,7,Venezuela
2020-03-04,23,15,0.0,8.8,5,65,01:50 PM,01:59 AM,06:40 AM,06:38 PM,16,20,21,20,10,38,77,0.3,1014,23,10,89,7,Venezuela
2020-03-05,24,15,0.0,11.6,6,73,02:48 PM,02:56 AM,06:40 AM,06:38 PM,15,19,20,19,12,28,77,0.2,1014,24,10,102,7,Venezuela
2020-03-06,27,16,0.0,10.2,5,80,03:49 PM,03:53 AM,06:39 AM,06:38 PM,18,23,23,22,9,44,79,0.3,1014,27,10,96,7,Venezuela
2020-03-07,28,16,0.0,10.2,5,87,04:50 PM,04:50 AM,06:39 AM,06:38 PM,18,25,25,23,6,26,75,0.2,1012,28,10,88,5,Venezuela
2020-03-08,26,16,0.0,6.0,5,95,05:52 PM,05:45 AM,06:38 AM,06:38 PM,18,22,22,21,9,49,80,0.5,1013,26,10,56,7,Venezuela
2020-03-09,22,14,0.0,8.8,4,100,06:52 PM,06:37 AM,06:38 AM,06:38 PM,13,18,18,18,15,55,75,0.2,1014,22,10,70,9,Venezuela
2020-03-10,23,15,0.0,10.2,5,100,07:51 PM,07:27 AM,06:37 AM,06:38 PM,17,20,21,20,10,36,82,0.2,1014,23,10,86,7,Venezuela
2020-03-11,24,14,0.0,8.8,5,84,08:49 PM,08:16 AM,06:37 AM,06:38 PM,17,22,22,21,7,54,78,0.5,1012,24,10,74,5,Venezuela
2020-03-12,24,14,0.0,10.2,5,76,09:48 PM,09:05 AM,06:36 AM,06:38 PM,15,19,20,19,7,29,78,0.4,1010,24,10,71,5,Venezuela
2020-03-13,22,16,0.0,7.4,5,69,10:45 PM,09:54 AM,06:35 AM,06:38 PM,16,19,20,19,7,44,82,0.8,1012,22,10,57,5,Venezuela
2020-03-14,25,15,0.0,11.6,6,62,11:44 PM,10:45 AM,06:35 AM,06:38 PM,15,19,20,19,9,13,77,0.0,1014,25,10,38,6,Venezuela
2020-03-15,23,13,0.0,8.8,5,55,No moonrise,11:37 AM,06:34 AM,06:38 PM,15,18,20,18,9,42,79,1.0,1013,23,10,155,6,Venezuela
2020-03-16,25,16,0.0,11.6,6,47,12:41 AM,12:30 PM,06:34 AM,06:38 PM,14,20,20,20,8,12,74,0.0,1013,25,10,112,5,Venezuela
2020-03-17,22,15,0.0,6.0,4,40,01:37 AM,01:24 PM,06:33 AM,06:38 PM,14,18,18,18,9,59,83,0.7,1013,22,10,10,5,Venezuela
2020-03-18,21,15,0.0,7.4,5,33,02:30 AM,02:17 PM,06:32 AM,06:38 PM,15,19,20,19,7,43,78,0.8,1014,21,10,39,4,Venezuela
2020-03-19,24,15,0.0,11.6,6,25,03:20 AM,03:09 PM,06:32 AM,06:38 PM,14,19,20,19,11,22,75,0.1,1014,24,9,51,7,Venezuela
2020-03-20,23,15,0.0,11.6,5,18,04:06 AM,03:59 PM,06:31 AM,06:38 PM,14,19,20,19,11,39,78,0.3,1015,23,10,46,7,Venezuela
2020-03-21,23,15,0.0,8.8,5,11,04:50 AM,04:47 PM,06:31 AM,06:38 PM,15,19,21,19,8,41,77,0.5,1014,23,10,38,5,Venezuela
2020-03-22,23,14,0.0,7.4,5,4,05:31 AM,05:34 PM,06:30 AM,06:38 PM,17,19,20,19,8,57,80,2.8,1014,23,10,50,6,Venezuela
