date_time,Slovenia_maxtempC,Slovenia_mintempC,Slovenia_totalSnow_cm,Slovenia_sunHour,Slovenia_uvIndex,Slovenia_moon_illumination,Slovenia_moonrise,Slovenia_moonset,Slovenia_sunrise,Slovenia_sunset,Slovenia_DewPointC,Slovenia_FeelsLikeC,Slovenia_HeatIndexC,Slovenia_WindChillC,Slovenia_WindGustKmph,Slovenia_cloudcover,Slovenia_humidity,Slovenia_precipMM,Slovenia_pressure,Slovenia_tempC,Slovenia_visibility,Slovenia_winddirDegree,Slovenia_windspeedKmph,Slovenia_location
2020-02-03,9,2,0.0,8.7,2,64,11:50 AM,01:49 AM,07:23 AM,05:09 PM,4,4,6,4,14,55,88,0.0,1015,9,7,278,8,Slovenia
2020-02-04,10,2,0.0,7.0,2,72,12:23 PM,02:55 AM,07:22 AM,05:11 PM,2,7,7,7,11,59,72,0.3,1008,10,9,225,7,Slovenia
2020-02-05,4,-2,0.0,8.7,2,79,01:05 PM,04:01 AM,07:20 AM,05:12 PM,-6,-2,1,-2,19,9,59,0.0,1017,4,10,314,11,Slovenia
2020-02-06,5,-3,0.0,8.7,2,87,01:57 PM,05:05 AM,07:19 AM,05:14 PM,-8,1,1,1,5,4,50,0.0,1028,5,10,268,3,Slovenia
2020-02-07,6,-2,0.0,8.7,2,95,03:00 PM,06:04 AM,07:18 AM,05:15 PM,-6,2,2,2,3,7,58,0.0,1027,6,10,139,2,Slovenia
2020-02-08,8,-1,0.0,8.7,2,100,04:12 PM,06:55 AM,07:16 AM,05:17 PM,-2,3,3,3,2,0,71,0.0,1028,8,10,145,2,Slovenia
2020-02-09,7,-2,0.0,8.7,1,100,05:31 PM,07:38 AM,07:15 AM,05:18 PM,-1,0,2,0,15,46,80,0.0,1028,7,10,252,9,Slovenia
2020-02-10,10,4,0.0,3.8,2,83,06:51 PM,08:13 AM,07:13 AM,05:20 PM,5,4,7,4,27,91,84,0.9,1016,10,8,255,19,Slovenia
2020-02-11,9,3,0.0,7.1,2,75,08:11 PM,08:44 AM,07:12 AM,05:21 PM,4,5,6,5,8,65,86,2.0,1011,9,8,191,4,Slovenia
2020-02-12,5,1,0.0,5.4,1,68,09:31 PM,09:12 AM,07:10 AM,05:23 PM,2,3,4,3,6,75,87,0.0,1018,5,10,82,4,Slovenia
