date_time,Aruba_maxtempC,Aruba_mintempC,Aruba_totalSnow_cm,Aruba_sunHour,Aruba_uvIndex,Aruba_moon_illumination,Aruba_moonrise,Aruba_moonset,Aruba_sunrise,Aruba_sunset,Aruba_DewPointC,Aruba_FeelsLikeC,Aruba_HeatIndexC,Aruba_WindChillC,Aruba_WindGustKmph,Aruba_cloudcover,Aruba_humidity,Aruba_precipMM,Aruba_pressure,Aruba_tempC,Aruba_visibility,Aruba_winddirDegree,Aruba_windspeedKmph,Aruba_location
2020-02-04,27,24,0.0,10.1,6,72,02:25 PM,02:37 AM,07:05 AM,06:43 PM,22,28,28,26,54,46,78,0.3,1014,27,10,94,38,Aruba
2020-02-05,26,22,0.0,7.2,6,79,03:18 PM,03:33 AM,07:05 AM,06:43 PM,22,28,28,26,56,72,79,1.4,1014,26,10,89,40,Aruba
2020-02-06,27,23,0.0,11.4,6,87,04:16 PM,04:30 AM,07:05 AM,06:43 PM,23,28,28,26,57,41,80,0.3,1012,27,10,97,40,Aruba
2020-02-07,26,24,0.0,11.4,6,95,05:17 PM,05:30 AM,07:05 AM,06:44 PM,23,28,28,26,56,28,81,0.2,1013,26,10,95,39,Aruba
2020-02-08,26,26,0.0,8.6,6,100,06:20 PM,06:27 AM,07:05 AM,06:44 PM,22,28,28,26,51,54,80,0.8,1014,26,10,90,36,Aruba
2020-02-09,26,25,0.0,10.1,6,100,07:23 PM,07:24 AM,07:04 AM,06:44 PM,22,28,28,26,42,35,81,3.2,1014,26,10,88,30,Aruba
2020-02-10,26,20,0.0,10.1,6,83,08:23 PM,08:16 AM,07:04 AM,06:45 PM,23,28,28,25,55,41,82,0.2,1014,26,10,89,38,Aruba
2020-02-11,26,24,0.0,10.1,6,75,09:23 PM,09:06 AM,07:04 AM,06:45 PM,22,28,28,26,58,26,80,0.1,1013,26,10,89,41,Aruba
2020-02-12,26,26,0.0,10.1,6,68,10:20 PM,09:53 AM,07:03 AM,06:45 PM,23,29,29,26,56,51,82,0.6,1013,26,10,87,39,Aruba
2020-02-13,26,20,0.0,8.7,6,60,11:17 PM,10:39 AM,07:03 AM,06:46 PM,23,28,28,25,56,65,83,0.7,1013,26,10,87,39,Aruba
2020-02-14,26,26,0.0,8.7,6,53,No moonrise,11:25 AM,07:03 AM,06:46 PM,23,29,29,26,53,62,82,1.3,1013,26,10,83,37,Aruba
2020-02-15,26,26,0.0,11.4,6,45,12:13 AM,12:12 PM,07:02 AM,06:46 PM,23,29,29,26,51,29,84,0.1,1012,26,10,85,35,Aruba
2020-02-16,26,26,0.0,10.1,6,38,01:10 AM,01:01 PM,07:02 AM,06:47 PM,23,29,29,26,48,53,85,0.4,1011,26,10,88,33,Aruba
2020-02-17,26,23,0.0,11.5,6,30,02:07 AM,01:52 PM,07:02 AM,06:47 PM,23,28,28,25,55,34,81,0.2,1010,26,10,90,38,Aruba
2020-02-18,26,22,0.0,11.5,6,22,03:03 AM,02:44 PM,07:01 AM,06:47 PM,23,28,28,26,59,53,84,1.6,1011,26,10,89,40,Aruba
2020-02-19,27,26,0.0,5.7,6,15,03:57 AM,03:37 PM,07:01 AM,06:47 PM,23,29,29,26,54,76,84,1.2,1012,27,10,82,37,Aruba
2020-02-20,26,25,0.0,7.2,6,7,04:49 AM,04:30 PM,07:00 AM,06:47 PM,23,29,29,26,50,57,84,1.2,1012,26,10,84,35,Aruba
2020-02-21,26,26,0.0,10.1,6,0,05:38 AM,05:22 PM,07:00 AM,06:48 PM,23,29,29,26,44,49,81,0.5,1012,26,10,86,31,Aruba
2020-02-22,26,25,0.0,8.8,6,0,06:23 AM,06:12 PM,06:59 AM,06:48 PM,22,28,28,26,33,45,80,0.3,1013,26,10,83,24,Aruba
2020-02-23,26,25,0.0,11.6,6,0,07:06 AM,07:01 PM,06:59 AM,06:48 PM,21,28,28,25,31,37,79,0.5,1013,26,10,79,22,Aruba
2020-02-24,26,25,0.0,11.6,6,0,07:45 AM,07:48 PM,06:59 AM,06:48 PM,21,27,27,25,36,30,77,0.0,1013,26,10,79,26,Aruba
