date_time,Myanmar_maxtempC,Myanmar_mintempC,Myanmar_totalSnow_cm,Myanmar_sunHour,Myanmar_uvIndex,Myanmar_moon_illumination,Myanmar_moonrise,Myanmar_moonset,Myanmar_sunrise,Myanmar_sunset,Myanmar_DewPointC,Myanmar_FeelsLikeC,Myanmar_HeatIndexC,Myanmar_WindChillC,Myanmar_WindGustKmph,Myanmar_cloudcover,Myanmar_humidity,Myanmar_precipMM,Myanmar_pressure,Myanmar_tempC,Myanmar_visibility,Myanmar_winddirDegree,Myanmar_windspeedKmph,Myanmar_location
2020-05-12,41,31,0.0,12.9,9,62,11:25 PM,09:56 AM,05:36 AM,06:28 PM,20,39,39,36,13,20,45,0.4,1008,41,10,228,10,Myanmar
2020-05-13,40,31,0.0,12.9,9,55,No moonrise,10:51 AM,05:35 AM,06:28 PM,21,38,38,35,13,35,48,0.2,1007,40,10,240,11,Myanmar
2020-05-14,40,31,0.0,12.9,9,48,12:13 AM,11:46 AM,05:35 AM,06:29 PM,21,38,38,34,13,9,48,0.1,1007,40,10,224,11,Myanmar
2020-05-15,39,31,0.0,12.9,9,40,12:56 AM,12:36 PM,05:35 AM,06:29 PM,21,38,38,34,16,10,50,0.0,1005,39,10,232,13,Myanmar
2020-05-16,39,31,0.0,13.0,9,33,01:35 AM,01:26 PM,05:34 AM,06:29 PM,21,38,38,34,16,18,50,0.0,1004,39,10,205,13,Myanmar
2020-05-17,34,23,0.0,9.4,7,26,02:11 AM,02:13 PM,05:34 AM,06:30 PM,23,34,34,30,19,69,65,13.3,1004,34,9,171,13,Myanmar
2020-05-18,36,27,0.0,11.9,7,19,02:46 AM,03:00 PM,05:34 AM,06:30 PM,23,36,36,32,25,64,61,12.6,1003,36,9,165,18,Myanmar
2020-05-19,31,27,0.0,9.4,6,11,03:21 AM,03:47 PM,05:33 AM,06:30 PM,24,34,34,30,23,68,70,12.0,1005,31,10,165,17,Myanmar
2020-05-20,34,28,0.0,9.4,7,4,03:56 AM,04:34 PM,05:33 AM,06:31 PM,24,36,36,31,28,61,66,27.1,1005,34,8,180,17,Myanmar
2020-05-21,36,29,0.0,13.0,7,0,04:31 AM,05:23 PM,05:33 AM,06:31 PM,23,37,37,32,17,55,63,0.7,1006,36,10,204,13,Myanmar
2020-05-22,39,29,0.0,13.0,8,0,05:10 AM,06:14 PM,05:33 AM,06:32 PM,23,37,37,33,14,37,59,0.1,1006,39,10,259,11,Myanmar
2020-05-23,39,29,0.0,13.0,8,3,05:52 AM,07:07 PM,05:33 AM,06:32 PM,22,37,37,33,18,40,57,0.3,1007,39,10,247,14,Myanmar
2020-05-24,37,29,0.0,13.0,8,10,06:37 AM,08:01 PM,05:32 AM,06:32 PM,23,37,37,32,21,27,59,0.0,1007,37,10,233,17,Myanmar
