date_time,United%20Kingdom_maxtempC,United%20Kingdom_mintempC,United%20Kingdom_totalSnow_cm,United%20Kingdom_sunHour,United%20Kingdom_uvIndex,United%20Kingdom_moon_illumination,United%20Kingdom_moonrise,United%20Kingdom_moonset,United%20Kingdom_sunrise,United%20Kingdom_sunset,United%20Kingdom_DewPointC,United%20Kingdom_FeelsLikeC,United%20Kingdom_HeatIndexC,United%20Kingdom_WindChillC,United%20Kingdom_WindGustKmph,United%20Kingdom_cloudcover,United%20Kingdom_humidity,United%20Kingdom_precipMM,United%20Kingdom_pressure,United%20Kingdom_tempC,United%20Kingdom_visibility,United%20Kingdom_winddirDegree,United%20Kingdom_windspeedKmph,United%20Kingdom_location
2020-01-31,5,-1,0.1,3.8,1,37,10:54 AM,11:58 PM,07:16 AM,05:28 PM,1,-1,2,-1,15,97,94,0.2,1020,5,5,207,10,United%20Kingdom
2020-02-01,6,0,0.2,5.4,1,49,11:20 AM,No moonset,07:15 AM,05:29 PM,0,-1,2,-1,18,55,89,0.8,1018,6,6,263,11,United%20Kingdom
2020-02-02,14,3,0.0,8.7,3,57,11:49 AM,12:57 AM,07:14 AM,05:30 PM,4,6,9,6,28,3,78,0.0,1011,14,10,241,15,United%20Kingdom
2020-02-03,15,6,0.0,7.1,3,64,12:22 PM,01:57 AM,07:13 AM,05:31 PM,6,8,10,8,27,64,78,0.3,1004,15,9,177,14,United%20Kingdom
2020-02-04,3,-3,1.8,3.8,1,72,01:02 PM,02:59 AM,07:12 AM,05:32 PM,0,-3,2,-3,29,99,88,3.5,1012,3,7,30,21,United%20Kingdom
2020-02-05,-2,-3,11.6,3.8,1,79,01:50 PM,04:02 AM,07:11 AM,05:34 PM,-4,-8,-2,-8,27,98,89,13.7,1014,-2,5,80,20,United%20Kingdom
2020-02-06,-2,-5,0.8,3.8,1,87,02:45 PM,05:04 AM,07:10 AM,05:35 PM,-4,-8,-3,-8,19,94,93,2.0,1006,-2,7,316,14,United%20Kingdom
2020-02-07,0,-8,0.3,5.5,1,95,03:50 PM,06:01 AM,07:09 AM,05:36 PM,-5,-7,-4,-7,13,48,88,0.5,1010,0,8,247,8,United%20Kingdom
2020-02-08,1,-8,0.0,8.7,2,100,05:01 PM,06:53 AM,07:08 AM,05:37 PM,-6,-8,-4,-8,18,14,85,0.0,1022,1,10,254,11,United%20Kingdom
2020-02-09,6,-3,0.0,3.9,1,100,06:15 PM,07:38 AM,07:07 AM,05:38 PM,1,-2,2,-2,28,76,92,11.8,1016,6,9,210,15,United%20Kingdom
2020-02-10,2,-3,0.0,5.5,1,83,07:31 PM,08:17 AM,07:06 AM,05:39 PM,-3,-5,-1,-5,17,69,85,0.0,1023,2,10,116,12,United%20Kingdom
2020-02-11,4,-2,0.1,8.7,1,75,08:44 PM,08:52 AM,07:04 AM,05:41 PM,-3,-2,1,-2,13,46,80,0.2,1023,4,9,289,9,United%20Kingdom
2020-02-12,1,0,1.4,3.9,1,68,09:57 PM,09:25 AM,07:03 AM,05:42 PM,-0,-2,1,-2,15,77,92,14.0,1014,1,8,161,9,United%20Kingdom
2020-02-13,-11,-15,1.0,3.9,1,60,11:08 PM,09:57 AM,07:02 AM,05:43 PM,-12,-18,-10,-18,26,74,84,1.5,1025,-11,8,317,20,United%20Kingdom
2020-02-14,-6,-17,0.0,8.7,2,53,No moonrise,10:29 AM,07:01 AM,05:44 PM,-15,-16,-12,-16,13,4,78,0.0,1036,-6,10,197,8,United%20Kingdom
2020-02-15,4,-6,0.0,5.5,1,45,12:18 AM,11:04 AM,07:00 AM,05:45 PM,-4,-6,-1,-6,30,46,80,0.0,1023,4,9,208,17,United%20Kingdom
2020-02-16,7,-2,0.0,8.7,1,38,01:27 AM,11:43 AM,06:58 AM,05:46 PM,0,0,2,0,13,48,88,0.0,1019,7,7,120,7,United%20Kingdom
2020-02-17,10,2,0.0,4.1,2,30,02:32 AM,12:25 PM,06:57 AM,05:47 PM,6,4,6,4,21,90,97,5.3,1011,10,5,164,11,United%20Kingdom
2020-02-18,4,-0,0.0,5.6,1,22,03:34 AM,01:13 PM,06:56 AM,05:48 PM,0,-1,3,-1,23,65,84,0.2,1022,4,9,271,16,United%20Kingdom
2020-02-19,3,-5,0.0,8.7,2,15,04:30 AM,02:06 PM,06:55 AM,05:49 PM,-7,-6,-1,-6,18,37,68,0.0,1035,3,10,36,13,United%20Kingdom
2020-02-20,-1,-5,0.0,7.2,1,7,05:20 AM,03:03 PM,06:53 AM,05:51 PM,-11,-8,-3,-8,20,49,58,0.0,1039,-1,10,23,15,United%20Kingdom
2020-02-21,4,-7,0.0,8.7,2,0,06:02 AM,04:02 PM,06:52 AM,05:52 PM,-15,-5,-2,-5,13,0,38,0.0,1037,4,10,183,9,United%20Kingdom
2020-02-22,10,-3,0.0,8.7,2,0,06:39 AM,05:02 PM,06:51 AM,05:53 PM,-5,-1,3,-1,25,6,61,0.0,1027,10,10,211,15,United%20Kingdom
2020-02-23,9,1,0.0,5.7,2,0,07:12 AM,06:01 PM,06:49 AM,05:54 PM,2,2,5,2,19,59,85,5.5,1018,9,8,195,11,United%20Kingdom
2020-02-24,8,4,0.0,4.2,2,0,07:40 AM,06:59 PM,06:48 AM,05:55 PM,6,4,6,4,18,100,96,35.5,1007,8,7,132,13,United%20Kingdom
2020-02-25,4,1,0.1,4.2,1,8,08:06 AM,07:56 PM,06:46 AM,05:56 PM,2,-1,3,-1,22,100,93,0.5,1010,4,7,305,16,United%20Kingdom
2020-02-26,1,-3,0.0,5.7,1,15,08:31 AM,08:53 PM,06:45 AM,05:57 PM,-7,-7,-1,-7,30,64,64,0.0,1019,1,10,310,23,United%20Kingdom
2020-02-27,2,-5,0.0,8.7,2,23,08:56 AM,09:50 PM,06:44 AM,05:58 PM,-13,-7,-2,-7,18,36,45,0.0,1023,2,10,303,13,United%20Kingdom
2020-02-28,0,-6,0.0,8.7,2,30,09:22 AM,10:47 PM,06:42 AM,05:59 PM,-15,-8,-4,-8,17,24,42,0.0,1028,0,10,330,12,United%20Kingdom
2020-02-29,12,-2,0.0,11.6,3,38,09:49 AM,11:47 PM,06:41 AM,06:00 PM,-0,2,4,2,17,6,75,0.0,1022,12,10,222,11,United%20Kingdom
2020-03-01,13,7,0.0,7.3,3,44,10:20 AM,No moonset,06:39 AM,06:01 PM,7,8,10,8,31,75,82,0.6,1010,13,10,194,18,United%20Kingdom
2020-03-02,9,4,0.0,8.7,2,51,10:56 AM,12:46 AM,06:38 AM,06:02 PM,4,5,8,5,16,74,78,0.7,1009,9,9,97,12,United%20Kingdom
2020-03-03,12,3,0.0,11.6,3,58,11:38 AM,01:48 AM,06:36 AM,06:03 PM,0,5,7,5,21,5,65,0.0,1011,12,10,254,13,United%20Kingdom
2020-03-04,12,6,0.0,8.7,2,65,12:28 PM,02:48 AM,06:35 AM,06:04 PM,1,6,8,6,24,37,62,0.0,1017,12,10,237,14,United%20Kingdom
2020-03-05,13,4,0.0,11.6,3,73,01:28 PM,03:46 AM,06:33 AM,06:05 PM,1,5,8,5,29,14,65,0.0,1020,13,10,251,18,United%20Kingdom
2020-03-06,9,-0,0.0,11.6,2,80,02:34 PM,04:39 AM,06:32 AM,06:06 PM,-4,1,4,1,20,3,60,0.0,1031,9,10,281,13,United%20Kingdom
2020-03-07,14,0,0.0,8.7,2,87,03:47 PM,05:27 AM,06:30 AM,06:07 PM,-1,4,7,4,25,35,61,0.0,1030,14,10,171,15,United%20Kingdom
2020-03-08,16,6,0.0,11.6,4,95,05:02 PM,06:08 AM,06:29 AM,06:08 PM,3,8,10,8,35,20,60,0.0,1022,16,10,194,22,United%20Kingdom
2020-03-09,15,10,0.0,5.9,3,100,06:18 PM,06:46 AM,06:27 AM,06:09 PM,10,11,13,11,38,93,85,28.1,1015,15,8,209,24,United%20Kingdom
2020-03-10,11,4,0.0,8.8,2,100,07:34 PM,07:20 AM,06:26 AM,06:10 PM,4,5,7,5,17,66,80,1.3,1022,11,10,261,12,United%20Kingdom
2020-03-11,16,7,0.0,7.4,3,84,08:48 PM,07:53 AM,06:24 AM,06:11 PM,9,10,11,10,12,70,84,15.2,1014,16,9,201,7,United%20Kingdom
2020-03-12,20,10,0.0,5.9,4,76,10:02 PM,08:26 AM,06:23 AM,06:12 PM,10,14,15,14,22,56,81,1.0,1009,20,9,231,14,United%20Kingdom
2020-03-13,10,3,0.0,11.6,3,69,11:14 PM,09:01 AM,06:21 AM,06:13 PM,-0,5,7,5,17,26,63,0.0,1025,10,10,166,11,United%20Kingdom
2020-03-14,3,-3,7.3,6.0,1,62,No moonrise,09:40 AM,06:20 AM,06:14 PM,1,-3,2,-3,30,91,93,35.6,1031,3,6,74,20,United%20Kingdom
2020-03-15,7,-2,0.0,7.4,1,55,12:23 AM,10:22 AM,06:18 AM,06:15 PM,1,-0,3,-0,20,80,87,0.0,1033,7,10,70,14,United%20Kingdom
2020-03-16,8,2,0.0,6.0,2,47,01:29 AM,11:09 AM,06:17 AM,06:16 PM,3,3,5,3,11,80,89,1.0,1026,8,6,148,8,United%20Kingdom
2020-03-17,12,5,0.0,6.0,2,40,02:27 AM,12:01 PM,06:15 AM,06:17 PM,7,8,9,8,11,98,90,2.3,1023,12,9,139,8,United%20Kingdom
2020-03-18,18,9,0.0,7.4,3,33,03:19 AM,12:58 PM,06:13 AM,06:18 PM,11,11,13,11,23,85,92,27.7,1016,18,7,167,14,United%20Kingdom
2020-03-19,21,8,0.0,7.4,4,25,04:03 AM,01:56 PM,06:12 AM,06:19 PM,14,15,16,15,36,81,89,25.0,1009,21,4,172,20,United%20Kingdom
2020-03-20,9,2,0.0,10.2,2,18,04:41 AM,02:55 PM,06:10 AM,06:20 PM,1,4,7,4,33,30,67,0.2,1021,9,10,243,22,United%20Kingdom
2020-03-21,9,-1,0.0,11.6,2,11,05:15 AM,03:54 PM,06:09 AM,06:21 PM,-3,1,3,1,15,10,67,0.0,1033,9,10,66,10,United%20Kingdom
2020-03-22,5,-4,0.0,6.1,1,4,05:44 AM,04:52 PM,06:07 AM,06:22 PM,1,-0,3,-0,18,96,83,11.0,1025,5,7,120,12,United%20Kingdom
2020-03-23,12,3,0.0,7.5,2,0,06:10 AM,05:50 PM,06:06 AM,06:23 PM,7,7,8,7,12,81,92,0.4,1018,12,5,132,8,United%20Kingdom
2020-03-24,14,7,0.0,6.1,3,0,06:35 AM,06:47 PM,06:04 AM,06:24 PM,9,9,11,9,32,92,93,35.2,1009,14,7,191,21,United%20Kingdom
2020-03-25,17,5,0.0,10.2,3,3,07:00 AM,07:44 PM,06:03 AM,06:25 PM,8,10,11,10,14,61,84,0.0,1012,17,6,197,9,United%20Kingdom
2020-03-26,22,11,0.0,8.9,4,11,07:25 AM,08:41 PM,06:01 AM,06:26 PM,13,16,17,16,21,48,84,0.2,1006,22,7,204,13,United%20Kingdom
2020-03-27,17,12,0.0,7.9,4,18,07:51 AM,09:40 PM,05:59 AM,06:27 PM,15,15,16,15,18,77,95,13.7,1006,17,6,97,11,United%20Kingdom
2020-03-28,23,16,0.0,10.6,4,25,08:20 AM,10:39 PM,05:58 AM,06:28 PM,13,19,20,19,38,58,75,6.0,1000,23,9,206,24,United%20Kingdom
2020-03-29,15,9,0.0,12.7,3,32,08:54 AM,11:40 PM,05:56 AM,06:29 PM,4,9,11,9,40,21,62,0.0,1010,15,10,266,29,United%20Kingdom
2020-03-30,18,7,0.0,12.8,4,40,09:33 AM,No moonset,05:55 AM,06:30 PM,5,11,12,11,13,14,64,0.0,1020,18,10,141,8,United%20Kingdom
2020-03-31,14,8,0.0,10.6,3,44,10:19 AM,12:39 AM,05:53 AM,06:31 PM,4,8,10,8,18,55,69,0.6,1017,14,9,46,13,United%20Kingdom
2020-04-01,16,3,0.0,12.8,4,56,11:13 AM,01:36 AM,05:52 AM,06:32 PM,4,8,9,8,16,8,73,0.0,1017,16,10,131,10,United%20Kingdom
2020-04-02,19,10,0.0,11.9,4,64,12:15 PM,02:29 AM,05:50 AM,06:33 PM,9,13,15,13,29,54,76,3.2,1015,19,10,168,19,United%20Kingdom
2020-04-03,16,11,0.0,8.0,3,71,01:23 PM,03:18 AM,05:49 AM,06:34 PM,10,13,14,13,25,87,85,12.8,1015,16,9,215,16,United%20Kingdom
2020-04-04,12,3,0.0,10.6,2,79,02:35 PM,04:01 AM,05:47 AM,06:35 PM,4,4,7,4,18,76,80,1.7,1020,12,7,111,13,United%20Kingdom
2020-04-05,14,6,0.0,8.1,3,87,03:50 PM,04:39 AM,05:46 AM,06:36 PM,6,9,10,9,13,79,75,0.0,1019,14,9,107,8,United%20Kingdom
2020-04-06,21,12,0.0,8.1,4,94,05:05 PM,05:14 AM,05:44 AM,06:37 PM,13,15,16,15,24,75,85,0.8,1015,21,9,182,15,United%20Kingdom
