date_time,Taiwan_maxtempC,Taiwan_mintempC,Taiwan_totalSnow_cm,Taiwan_sunHour,Taiwan_uvIndex,Taiwan_moon_illumination,Taiwan_moonrise,Taiwan_moonset,Taiwan_sunrise,Taiwan_sunset,Taiwan_DewPointC,Taiwan_FeelsLikeC,Taiwan_HeatIndexC,Taiwan_WindChillC,Taiwan_WindGustKmph,Taiwan_cloudcover,Taiwan_humidity,Taiwan_precipMM,Taiwan_pressure,Taiwan_tempC,Taiwan_visibility,Taiwan_winddirDegree,Taiwan_windspeedKmph,Taiwan_location
2020-02-03,23,18,0.0,8.7,6,64,12:19 PM,12:50 AM,06:39 AM,05:48 PM,10,20,21,20,10,9,53,0.0,1021,23,10,185,8,Taiwan
2020-02-04,23,18,0.0,8.7,6,72,01:02 PM,01:44 AM,06:38 AM,05:48 PM,14,20,21,20,17,19,67,0.0,1021,23,10,90,14,Taiwan
2020-02-05,23,17,0.0,8.7,6,79,01:49 PM,02:41 AM,06:38 AM,05:49 PM,12,20,21,20,25,13,63,0.0,1020,23,10,137,20,Taiwan
2020-02-06,24,17,0.0,8.7,6,87,02:43 PM,03:40 AM,06:37 AM,05:50 PM,12,21,21,21,14,12,61,0.0,1020,24,10,171,11,Taiwan
2020-02-07,25,18,0.0,8.7,6,95,03:42 PM,04:39 AM,06:37 AM,05:50 PM,14,21,21,21,29,15,67,0.0,1020,25,10,166,23,Taiwan
2020-02-08,23,17,0.0,8.7,6,100,04:46 PM,05:37 AM,06:36 AM,05:51 PM,10,20,20,20,26,11,56,0.0,1023,23,10,136,21,Taiwan
2020-02-09,20,15,0.0,8.7,5,100,05:53 PM,06:31 AM,06:36 AM,05:51 PM,9,17,17,17,26,25,57,0.0,1024,20,10,137,21,Taiwan
2020-02-10,22,16,0.0,8.7,5,83,06:59 PM,07:21 AM,06:35 AM,05:52 PM,11,18,19,18,12,26,60,0.0,1023,22,10,167,10,Taiwan
2020-02-11,23,19,0.0,5.7,5,75,08:04 PM,08:07 AM,06:35 AM,05:53 PM,13,21,22,21,9,41,60,0.0,1023,23,10,201,8,Taiwan
2020-02-12,27,19,0.0,8.7,6,68,09:08 PM,08:51 AM,06:34 AM,05:53 PM,13,23,23,23,10,29,56,0.0,1020,27,10,166,8,Taiwan
2020-02-13,29,23,0.0,8.7,6,60,10:10 PM,09:33 AM,06:33 AM,05:54 PM,16,27,27,26,22,23,57,0.6,1016,29,10,140,18,Taiwan
2020-02-14,29,23,0.0,5.7,6,53,11:12 PM,10:13 AM,06:33 AM,05:54 PM,20,27,27,25,20,70,72,10.0,1015,29,9,168,14,Taiwan
2020-02-15,28,24,0.0,5.7,6,45,No moonrise,10:55 AM,06:32 AM,05:55 PM,20,28,28,26,16,60,71,7.9,1015,28,9,169,12,Taiwan
2020-02-16,24,16,0.0,7.2,5,38,12:13 AM,11:39 AM,06:31 AM,05:55 PM,16,23,23,22,27,62,69,3.6,1018,24,9,204,21,Taiwan
2020-02-17,18,14,0.0,5.7,4,30,01:13 AM,12:25 PM,06:31 AM,05:56 PM,5,15,16,15,32,77,51,0.0,1023,18,10,94,27,Taiwan
2020-02-18,21,14,0.0,8.7,5,22,02:12 AM,01:15 PM,06:30 AM,05:57 PM,3,17,18,17,16,20,39,0.0,1025,21,10,105,13,Taiwan
