date_time,Greenland_maxtempC,Greenland_mintempC,Greenland_totalSnow_cm,Greenland_sunHour,Greenland_uvIndex,Greenland_moon_illumination,Greenland_moonrise,Greenland_moonset,Greenland_sunrise,Greenland_sunset,Greenland_DewPointC,Greenland_FeelsLikeC,Greenland_HeatIndexC,Greenland_WindChillC,Greenland_WindGustKmph,Greenland_cloudcover,Greenland_humidity,Greenland_precipMM,Greenland_pressure,Greenland_tempC,Greenland_visibility,Greenland_winddirDegree,Greenland_windspeedKmph,Greenland_location
2020-02-02,-7,-14,0.0,1.8,1,57,10:49 AM,02:17 AM,09:06 AM,04:16 PM,-14,-12,-9,-12,12,86,62,0.0,999,-7,10,102,10,Greenland
2020-02-03,-3,-9,1.6,1.8,1,64,10:54 AM,03:47 AM,09:03 AM,04:19 PM,-9,-11,-5,-11,26,93,73,2.0,1002,-3,6,108,21,Greenland
2020-02-04,0,-6,2.0,2.7,1,72,11:03 AM,05:20 AM,09:00 AM,04:23 PM,-6,-7,-2,-7,23,87,71,2.4,985,0,9,77,16,Greenland
2020-02-05,-0,-6,1.0,2.9,1,79,11:22 AM,06:52 AM,08:57 AM,04:26 PM,-7,-6,-1,-6,32,92,62,1.2,980,-0,7,73,19,Greenland
2020-02-06,-4,-9,0.3,2.9,1,87,12:03 PM,08:10 AM,08:53 AM,04:29 PM,-9,-13,-6,-13,28,90,79,0.7,971,-4,7,232,22,Greenland
2020-02-07,-8,-9,2.0,2.9,1,95,01:19 PM,09:00 AM,08:50 AM,04:33 PM,-10,-16,-8,-16,26,100,86,2.6,982,-8,3,328,22,Greenland
2020-02-08,-13,-14,0.0,3.0,1,100,03:00 PM,09:24 AM,08:47 AM,04:36 PM,-16,-23,-13,-23,35,86,80,0.2,976,-13,8,20,28,Greenland
2020-02-09,-12,-14,0.7,3.0,1,100,04:51 PM,09:36 AM,08:44 AM,04:39 PM,-14,-22,-13,-22,34,100,87,3.3,980,-12,4,304,28,Greenland
2020-02-10,-11,-16,0.9,3.0,1,83,06:42 PM,09:42 AM,08:40 AM,04:43 PM,-16,-18,-12,-18,17,80,70,1.7,994,-11,9,114,12,Greenland
2020-02-11,-9,-13,5.4,3.0,1,75,08:31 PM,09:46 AM,08:37 AM,04:46 PM,-15,-16,-10,-16,16,91,67,6.3,998,-9,7,121,12,Greenland
