date_time,Oman_maxtempC,Oman_mintempC,Oman_totalSnow_cm,Oman_sunHour,Oman_uvIndex,Oman_moon_illumination,Oman_moonrise,Oman_moonset,Oman_sunrise,Oman_sunset,Oman_DewPointC,Oman_FeelsLikeC,Oman_HeatIndexC,Oman_WindChillC,Oman_WindGustKmph,Oman_cloudcover,Oman_humidity,Oman_precipMM,Oman_pressure,Oman_tempC,Oman_visibility,Oman_winddirDegree,Oman_windspeedKmph,Oman_location
2020-05-20,36,32,0.0,13.2,8,4,03:56 AM,04:44 PM,05:22 AM,06:43 PM,19,36,36,34,29,26,41,0.0,1004,36,10,133,17,Oman
2020-05-21,35,31,0.0,13.2,8,0,04:29 AM,05:37 PM,05:21 AM,06:43 PM,20,36,36,33,23,15,46,0.0,1005,35,10,134,14,Oman
2020-05-22,34,30,0.0,13.2,8,0,05:06 AM,06:30 PM,05:21 AM,06:44 PM,22,36,36,32,15,3,54,0.0,1006,34,10,160,10,Oman
2020-05-23,33,29,0.0,13.2,8,3,05:46 AM,07:25 PM,05:21 AM,06:44 PM,23,36,36,31,13,4,63,0.0,1006,33,10,143,9,Oman
2020-05-24,33,29,0.0,13.3,8,10,06:29 AM,08:21 PM,05:20 AM,06:45 PM,24,37,37,31,14,3,65,0.0,1007,33,10,131,10,Oman
2020-05-25,33,31,0.0,13.3,8,17,07:19 AM,09:18 PM,05:20 AM,06:45 PM,25,38,38,32,9,6,66,0.0,1008,33,10,149,6,Oman
2020-05-26,36,31,0.0,13.3,8,25,08:13 AM,10:11 PM,05:20 AM,06:46 PM,22,38,38,33,14,6,52,0.0,1008,36,10,144,8,Oman
2020-05-27,37,32,0.0,13.3,9,32,09:11 AM,11:03 PM,05:20 AM,06:46 PM,20,37,37,34,20,3,43,0.0,1007,37,10,264,11,Oman
2020-05-28,36,31,0.0,13.3,8,39,10:11 AM,11:50 PM,05:19 AM,06:47 PM,19,36,36,33,27,2,43,0.0,1005,36,10,271,16,Oman
2020-05-29,37,30,0.0,13.3,9,47,11:12 AM,No moonset,05:19 AM,06:47 PM,20,37,37,33,18,22,43,0.0,1003,37,10,213,10,Oman
2020-05-30,37,31,0.0,13.3,9,54,12:13 PM,12:34 AM,05:19 AM,06:48 PM,21,38,38,34,29,4,44,0.0,1003,37,10,261,16,Oman
2020-05-31,37,31,0.0,13.3,9,58,01:15 PM,01:16 AM,05:19 AM,06:48 PM,21,38,38,34,28,37,44,0.0,1005,37,10,214,15,Oman
