date_time,Dominican%20Republic_maxtempC,Dominican%20Republic_mintempC,Dominican%20Republic_totalSnow_cm,Dominican%20Republic_sunHour,Dominican%20Republic_uvIndex,Dominican%20Republic_moon_illumination,Dominican%20Republic_moonrise,Dominican%20Republic_moonset,Dominican%20Republic_sunrise,Dominican%20Republic_sunset,Dominican%20Republic_DewPointC,Dominican%20Republic_FeelsLikeC,Dominican%20Republic_HeatIndexC,Dominican%20Republic_WindChillC,Dominican%20Republic_WindGustKmph,Dominican%20Republic_cloudcover,Dominican%20Republic_humidity,Dominican%20Republic_precipMM,Dominican%20Republic_pressure,Dominican%20Republic_tempC,Dominican%20Republic_visibility,Dominican%20Republic_winddirDegree,Dominican%20Republic_windspeedKmph,Dominican%20Republic_location
2020-02-22,27,22,0.0,10.1,6,0,06:31 AM,06:04 PM,07:04 AM,06:43 PM,20,26,26,24,9,55,78,0.6,1015,27,10,199,7,Dominican%20Republic
2020-02-23,26,21,0.0,7.2,5,0,07:12 AM,06:55 PM,07:03 AM,06:43 PM,20,26,26,23,13,68,84,10.4,1015,26,9,66,9,Dominican%20Republic
2020-02-24,26,21,0.0,8.7,5,0,07:50 AM,07:44 PM,07:02 AM,06:44 PM,19,24,24,23,25,55,80,1.0,1016,26,9,23,18,Dominican%20Republic
2020-02-25,28,20,0.0,10.1,5,8,08:25 AM,08:31 PM,07:02 AM,06:44 PM,19,24,24,23,21,31,77,0.1,1016,28,10,33,15,Dominican%20Republic
2020-02-26,29,21,0.0,11.4,6,15,08:59 AM,09:19 PM,07:01 AM,06:44 PM,20,26,26,24,15,29,78,0.1,1016,29,10,54,10,Dominican%20Republic
2020-02-27,28,22,0.0,10.1,6,23,09:33 AM,10:06 PM,07:00 AM,06:45 PM,21,27,27,24,12,43,81,0.2,1016,28,10,74,9,Dominican%20Republic
2020-02-28,30,22,0.0,10.1,6,30,10:08 AM,10:54 PM,07:00 AM,06:45 PM,21,28,28,25,12,41,79,0.5,1016,30,10,79,9,Dominican%20Republic
2020-02-29,30,21,0.0,11.6,7,38,10:44 AM,11:44 PM,06:59 AM,06:45 PM,20,27,27,25,13,12,78,0.7,1018,30,10,55,10,Dominican%20Republic
2020-03-01,26,21,0.0,10.2,5,44,11:24 AM,No moonset,06:58 AM,06:46 PM,20,26,26,23,25,61,81,2.6,1018,26,10,11,18,Dominican%20Republic
2020-03-02,26,21,0.0,8.8,5,51,12:06 PM,12:36 AM,06:57 AM,06:46 PM,20,25,25,23,25,68,83,2.6,1017,26,10,21,18,Dominican%20Republic
2020-03-03,26,22,0.0,8.8,5,58,12:54 PM,01:30 AM,06:57 AM,06:46 PM,21,26,26,24,18,64,84,2.9,1017,26,10,52,13,Dominican%20Republic
2020-03-04,28,22,0.0,8.8,6,65,01:47 PM,02:26 AM,06:56 AM,06:47 PM,21,27,27,24,16,51,82,4.7,1018,28,10,48,11,Dominican%20Republic
2020-03-05,29,22,0.0,11.6,6,73,02:45 PM,03:24 AM,06:55 AM,06:47 PM,21,27,27,24,17,44,80,0.5,1018,29,10,61,12,Dominican%20Republic
2020-03-06,28,22,0.0,11.6,6,80,03:47 PM,04:20 AM,06:54 AM,06:47 PM,20,27,27,25,12,35,78,0.2,1017,28,10,71,9,Dominican%20Republic
2020-03-07,28,22,0.0,10.2,6,87,04:51 PM,05:15 AM,06:54 AM,06:47 PM,19,27,27,25,8,31,72,0.1,1016,28,10,218,6,Dominican%20Republic
2020-03-08,24,20,0.0,7.4,5,95,05:56 PM,06:07 AM,06:53 AM,06:48 PM,19,24,24,22,31,67,82,1.6,1017,24,10,98,22,Dominican%20Republic
2020-03-09,24,19,0.0,6.0,5,100,07:00 PM,06:56 AM,06:52 AM,06:48 PM,18,21,22,21,35,66,81,1.3,1020,24,9,16,26,Dominican%20Republic
2020-03-10,22,20,0.0,6.0,5,100,08:03 PM,07:42 AM,06:51 AM,06:48 PM,19,21,22,21,30,73,88,14.6,1019,22,9,7,20,Dominican%20Republic
2020-03-11,28,20,0.0,11.6,5,84,09:05 PM,08:27 AM,06:50 AM,06:48 PM,18,24,24,23,19,38,77,0.5,1016,28,10,33,13,Dominican%20Republic
2020-03-12,27,21,0.0,7.4,6,76,10:07 PM,09:12 AM,06:50 AM,06:49 PM,20,25,25,24,12,60,79,3.5,1014,27,10,104,8,Dominican%20Republic
2020-03-13,29,21,0.0,11.6,6,69,11:08 PM,09:58 AM,06:49 AM,06:49 PM,20,26,26,24,14,35,78,3.4,1016,29,10,85,10,Dominican%20Republic
2020-03-14,28,21,0.0,10.2,6,62,No moonrise,10:46 AM,06:48 AM,06:49 PM,20,26,26,24,22,31,79,1.0,1018,28,10,23,16,Dominican%20Republic
2020-03-15,28,20,0.0,11.6,6,55,12:09 AM,11:36 AM,06:47 AM,06:49 PM,18,25,25,23,26,24,74,0.2,1017,28,10,22,19,Dominican%20Republic
2020-03-16,28,20,0.0,11.6,6,47,01:08 AM,12:27 PM,06:46 AM,06:50 PM,17,24,24,23,30,1,71,0.0,1017,28,10,14,22,Dominican%20Republic
2020-03-17,28,20,0.0,11.6,6,40,02:05 AM,01:21 PM,06:46 AM,06:50 PM,17,25,25,23,30,11,70,0.0,1017,28,10,98,22,Dominican%20Republic
2020-03-18,27,20,0.0,10.2,5,33,02:58 AM,02:15 PM,06:45 AM,06:50 PM,18,25,25,23,30,30,75,0.7,1018,27,10,57,21,Dominican%20Republic
2020-03-19,28,21,0.0,10.2,5,25,03:47 AM,03:08 PM,06:44 AM,06:50 PM,19,25,25,24,27,55,78,1.2,1019,28,10,26,19,Dominican%20Republic
2020-03-20,28,20,0.0,10.2,5,18,04:31 AM,04:00 PM,06:43 AM,06:51 PM,18,24,24,24,29,45,75,0.5,1020,28,10,28,20,Dominican%20Republic
2020-03-21,28,19,0.0,11.6,5,11,05:12 AM,04:51 PM,06:42 AM,06:51 PM,18,24,24,23,27,47,75,0.8,1019,28,10,25,18,Dominican%20Republic
2020-03-22,28,19,0.0,10.2,5,4,05:50 AM,05:40 PM,06:41 AM,06:51 PM,18,24,24,23,23,60,74,1.7,1019,28,10,32,16,Dominican%20Republic
2020-03-23,26,21,0.0,7.4,5,0,06:26 AM,06:28 PM,06:41 AM,06:51 PM,19,25,25,23,23,67,80,5.7,1020,26,10,34,15,Dominican%20Republic
2020-03-24,29,21,0.0,11.6,6,0,07:00 AM,07:16 PM,06:40 AM,06:52 PM,19,25,25,24,21,45,76,1.5,1018,29,10,46,16,Dominican%20Republic
2020-03-25,29,21,0.0,11.6,7,3,07:34 AM,08:03 PM,06:39 AM,06:52 PM,19,26,26,24,15,14,75,0.0,1016,29,10,65,12,Dominican%20Republic
2020-03-26,28,22,0.0,11.6,6,11,08:08 AM,08:51 PM,06:38 AM,06:52 PM,20,27,27,25,9,41,78,0.8,1014,28,10,86,7,Dominican%20Republic
2020-03-27,27,22,0.0,6.1,5,18,08:44 AM,09:40 PM,06:37 AM,06:52 PM,20,26,26,24,14,64,80,6.1,1014,27,10,46,10,Dominican%20Republic
2020-03-28,28,21,0.0,10.2,5,25,09:22 AM,10:31 PM,06:36 AM,06:52 PM,19,26,26,24,23,23,76,1.7,1015,28,10,31,16,Dominican%20Republic
2020-03-29,27,21,0.0,7.5,6,32,10:03 AM,11:24 PM,06:36 AM,06:53 PM,20,27,27,24,23,77,81,3.9,1017,27,10,42,16,Dominican%20Republic
2020-03-30,30,22,0.0,11.6,6,40,10:48 AM,No moonset,06:35 AM,06:53 PM,19,27,27,25,21,39,74,0.4,1017,30,10,44,15,Dominican%20Republic
2020-03-31,29,21,0.0,11.6,7,44,11:38 AM,12:18 AM,06:34 AM,06:53 PM,19,27,27,25,14,14,72,0.0,1014,29,10,74,11,Dominican%20Republic
2020-04-01,29,22,0.0,11.6,7,56,12:32 PM,01:13 AM,06:33 AM,06:53 PM,20,28,28,25,8,18,74,0.0,1012,29,10,209,7,Dominican%20Republic
2020-04-02,29,23,0.0,11.6,7,64,01:31 PM,02:08 AM,06:32 AM,06:54 PM,21,28,28,26,9,2,73,0.0,1013,29,10,229,8,Dominican%20Republic
2020-04-03,29,23,0.0,11.6,7,71,02:32 PM,03:02 AM,06:32 AM,06:54 PM,19,27,27,25,8,16,68,0.0,1013,29,10,233,7,Dominican%20Republic
2020-04-04,29,23,0.0,8.9,6,79,03:35 PM,03:54 AM,06:31 AM,06:54 PM,20,27,27,25,9,52,75,3.0,1013,29,10,166,7,Dominican%20Republic
2020-04-05,28,23,0.0,8.9,6,87,04:38 PM,04:42 AM,06:30 AM,06:54 PM,21,27,27,25,15,65,79,1.3,1014,28,10,45,12,Dominican%20Republic
2020-04-06,29,21,0.0,11.6,6,94,05:41 PM,05:29 AM,06:29 AM,06:55 PM,19,27,27,25,15,35,72,0.2,1016,29,10,61,11,Dominican%20Republic
2020-04-07,29,22,0.0,10.2,6,100,06:43 PM,06:14 AM,06:28 AM,06:55 PM,19,27,27,25,20,52,70,0.1,1016,29,10,39,15,Dominican%20Republic
2020-04-08,29,22,0.0,10.2,6,100,07:47 PM,07:00 AM,06:28 AM,06:55 PM,21,27,27,25,15,59,79,1.3,1015,29,10,63,12,Dominican%20Republic
2020-04-09,29,23,0.0,10.2,6,83,08:50 PM,07:46 AM,06:27 AM,06:55 PM,22,28,28,26,11,59,81,2.1,1013,29,10,88,9,Dominican%20Republic
2020-04-10,29,24,0.0,11.6,7,76,09:53 PM,08:34 AM,06:26 AM,06:56 PM,22,29,29,26,10,37,80,0.2,1013,29,10,155,8,Dominican%20Republic
2020-04-11,31,24,0.0,11.6,7,68,10:56 PM,09:25 AM,06:25 AM,06:56 PM,22,30,30,27,7,26,78,0.0,1015,31,10,163,6,Dominican%20Republic
2020-04-12,30,24,0.0,11.6,6,61,11:56 PM,10:18 AM,06:24 AM,06:56 PM,22,29,29,26,15,33,77,0.1,1017,30,10,69,11,Dominican%20Republic
2020-04-13,30,23,0.0,10.2,6,53,No moonrise,11:13 AM,06:24 AM,06:56 PM,21,28,28,26,18,52,77,0.6,1018,30,10,61,13,Dominican%20Republic
2020-04-14,30,23,0.0,7.5,6,46,12:52 AM,12:08 PM,06:23 AM,06:57 PM,21,28,28,26,19,69,78,2.1,1017,30,9,56,14,Dominican%20Republic
2020-04-15,30,22,0.0,10.2,6,38,01:44 AM,01:03 PM,06:22 AM,06:57 PM,21,28,28,25,16,42,77,0.8,1016,30,10,69,11,Dominican%20Republic
2020-04-16,29,23,0.0,8.9,6,30,02:30 AM,01:56 PM,06:21 AM,06:57 PM,21,28,28,26,14,54,78,0.7,1017,29,10,78,11,Dominican%20Republic
2020-04-17,30,23,0.0,8.9,6,23,03:13 AM,02:47 PM,06:21 AM,06:57 PM,21,28,28,26,15,45,75,1.6,1018,30,10,56,11,Dominican%20Republic
2020-04-18,30,22,0.0,11.6,7,15,03:51 AM,03:37 PM,06:20 AM,06:58 PM,21,29,29,26,15,17,74,0.1,1017,30,10,61,11,Dominican%20Republic
2020-04-19,30,24,0.0,11.6,7,8,04:27 AM,04:25 PM,06:19 AM,06:58 PM,21,29,29,26,10,13,73,0.0,1016,30,10,157,8,Dominican%20Republic
2020-04-20,30,23,0.0,11.6,7,0,05:02 AM,05:13 PM,06:19 AM,06:58 PM,21,28,28,26,12,19,75,0.0,1016,30,10,81,9,Dominican%20Republic
2020-04-21,29,24,0.0,8.9,6,0,05:36 AM,06:00 PM,06:18 AM,06:58 PM,21,28,28,26,12,53,75,0.6,1016,29,10,113,9,Dominican%20Republic
2020-04-22,30,24,0.0,11.6,7,0,06:09 AM,06:48 PM,06:17 AM,06:59 PM,20,28,28,26,9,14,70,0.0,1015,30,10,81,7,Dominican%20Republic
2020-04-23,29,23,0.0,8.9,6,0,06:45 AM,07:37 PM,06:17 AM,06:59 PM,21,28,28,26,16,43,78,0.9,1016,29,10,62,12,Dominican%20Republic
2020-04-24,29,24,0.0,10.3,6,7,07:22 AM,08:27 PM,06:16 AM,06:59 PM,22,29,29,26,14,51,77,2.3,1016,29,10,75,11,Dominican%20Republic
