date_time,Italy_maxtempC,Italy_mintempC,Italy_totalSnow_cm,Italy_sunHour,Italy_uvIndex,Italy_moon_illumination,Italy_moonrise,Italy_moonset,Italy_sunrise,Italy_sunset,Italy_DewPointC,Italy_FeelsLikeC,Italy_HeatIndexC,Italy_WindChillC,Italy_WindGustKmph,Italy_cloudcover,Italy_humidity,Italy_precipMM,Italy_pressure,Italy_tempC,Italy_visibility,Italy_winddirDegree,Italy_windspeedKmph,Italy_location
2020-02-05,11,7,0.0,8.7,3,79,01:28 PM,03:55 AM,07:19 AM,05:30 PM,-9,5,9,5,40,1,27,0.0,1017,11,10,278,27,Italy
2020-02-06,11,4,0.0,8.7,3,87,02:20 PM,04:58 AM,07:18 AM,05:31 PM,-8,4,7,4,32,6,34,0.0,1026,11,10,138,22,Italy
2020-02-07,12,4,0.0,8.7,3,95,03:24 PM,05:57 AM,07:17 AM,05:32 PM,-2,7,9,7,11,4,48,0.0,1027,12,10,163,8,Italy
2020-02-08,15,6,0.0,8.7,4,100,04:34 PM,06:49 AM,07:16 AM,05:34 PM,0,10,10,10,8,5,51,0.0,1027,15,10,106,5,Italy
2020-02-09,13,8,0.0,8.7,3,100,05:50 PM,07:35 AM,07:15 AM,05:35 PM,3,9,10,9,11,57,63,0.0,1031,13,10,124,8,Italy
2020-02-10,13,10,0.0,3.8,3,83,07:07 PM,08:14 AM,07:13 AM,05:36 PM,8,10,12,10,18,90,79,2.0,1025,13,10,165,12,Italy
2020-02-11,17,12,0.0,8.7,5,75,08:23 PM,08:48 AM,07:12 AM,05:37 PM,9,14,14,14,11,27,73,0.0,1017,17,10,225,7,Italy
2020-02-12,16,10,0.0,3.9,3,68,09:39 PM,09:19 AM,07:11 AM,05:39 PM,4,13,13,13,6,65,57,0.0,1017,16,10,146,3,Italy
2020-02-13,14,9,0.0,8.7,4,60,10:52 PM,09:49 AM,07:10 AM,05:40 PM,5,10,11,10,16,31,63,0.0,1020,14,10,123,11,Italy
2020-02-14,16,10,0.0,5.5,3,53,No moonrise,10:19 AM,07:08 AM,05:41 PM,6,12,13,12,21,55,63,3.9,1018,16,10,210,14,Italy
2020-02-15,19,10,0.0,8.7,5,45,12:05 AM,10:51 AM,07:07 AM,05:42 PM,3,14,14,14,8,1,48,0.0,1026,19,10,132,5,Italy
2020-02-16,17,11,0.0,8.7,4,38,01:16 AM,11:26 AM,07:05 AM,05:44 PM,6,14,14,14,5,1,61,0.0,1028,17,10,152,4,Italy
2020-02-17,16,9,0.0,8.7,3,30,02:24 AM,12:06 PM,07:04 AM,05:45 PM,6,12,12,12,5,32,68,0.0,1027,16,10,132,4,Italy
2020-02-18,12,11,0.0,5.5,3,22,03:29 AM,12:51 PM,07:03 AM,05:46 PM,7,11,12,11,6,35,75,0.1,1024,12,10,121,4,Italy
2020-02-19,13,9,0.0,3.9,3,15,04:26 AM,01:43 PM,07:01 AM,05:47 PM,7,11,11,11,7,56,80,0.8,1022,13,10,132,5,Italy
2020-02-20,15,8,0.0,8.7,4,7,05:18 AM,02:39 PM,07:00 AM,05:49 PM,5,11,11,11,9,3,68,0.0,1022,15,10,144,6,Italy
2020-02-21,16,9,0.0,8.7,4,0,06:02 AM,03:39 PM,06:58 AM,05:50 PM,5,12,12,12,6,2,62,0.0,1025,16,10,170,5,Italy
2020-02-22,16,8,0.0,8.7,4,0,06:39 AM,04:39 PM,06:57 AM,05:51 PM,4,12,12,12,8,8,57,0.0,1030,16,10,157,5,Italy
