date_time,Mali_maxtempC,Mali_mintempC,Mali_totalSnow_cm,Mali_sunHour,Mali_uvIndex,Mali_moon_illumination,Mali_moonrise,Mali_moonset,Mali_sunrise,Mali_sunset,Mali_DewPointC,Mali_FeelsLikeC,Mali_HeatIndexC,Mali_WindChillC,Mali_WindGustKmph,Mali_cloudcover,Mali_humidity,Mali_precipMM,Mali_pressure,Mali_tempC,Mali_visibility,Mali_winddirDegree,Mali_windspeedKmph,Mali_location
2020-03-30,40,29,0.0,11.6,9,40,10:43 AM,11:50 PM,06:29 AM,06:43 PM,8,33,33,34,11,14,22,0.0,1007,40,10,179,8,Mali
2020-03-31,41,26,0.0,11.6,9,44,11:33 AM,No moonset,06:29 AM,06:43 PM,3,34,34,34,18,1,15,0.0,1007,41,10,67,12,Mali
2020-04-01,42,27,0.0,11.6,9,56,12:26 PM,12:45 AM,06:28 AM,06:43 PM,2,34,34,35,21,2,14,0.0,1008,42,10,68,15,Mali
2020-04-02,42,26,0.0,11.6,9,64,01:24 PM,01:40 AM,06:27 AM,06:43 PM,0,34,34,35,14,0,13,0.0,1008,42,10,74,10,Mali
2020-04-03,43,27,0.0,11.6,9,71,02:23 PM,02:35 AM,06:27 AM,06:43 PM,-1,35,35,35,12,2,11,0.0,1006,43,10,132,8,Mali
2020-04-04,42,27,0.0,11.6,9,79,03:24 PM,03:29 AM,06:26 AM,06:44 PM,-1,34,34,35,15,4,11,0.0,1007,42,10,96,9,Mali
2020-04-05,43,26,0.0,11.6,9,87,04:25 PM,04:20 AM,06:25 AM,06:44 PM,-2,35,35,35,17,0,11,0.0,1008,43,10,137,12,Mali
2020-04-06,43,27,0.0,11.6,9,94,05:25 PM,05:10 AM,06:25 AM,06:44 PM,-3,34,34,35,15,0,9,0.0,1008,43,10,139,11,Mali
2020-04-07,42,26,0.0,11.6,9,100,06:24 PM,05:58 AM,06:24 AM,06:44 PM,7,34,34,34,14,5,21,0.0,1007,42,10,150,10,Mali
2020-04-08,42,27,0.0,11.6,9,100,07:25 PM,06:46 AM,06:23 AM,06:44 PM,3,35,35,35,14,0,17,0.0,1007,42,10,127,8,Mali
2020-04-09,41,25,0.0,11.6,8,83,08:25 PM,07:35 AM,06:23 AM,06:44 PM,8,34,34,33,16,7,27,0.0,1007,41,10,143,10,Mali
2020-04-10,41,26,0.0,11.6,9,76,09:26 PM,08:25 AM,06:22 AM,06:44 PM,9,34,34,34,15,1,25,0.0,1007,41,10,194,9,Mali
2020-04-11,39,26,0.0,11.6,8,68,10:27 PM,09:18 AM,06:22 AM,06:44 PM,13,34,34,33,17,14,33,0.3,1009,39,10,196,12,Mali
2020-04-12,37,28,0.0,11.6,7,61,11:27 PM,10:12 AM,06:21 AM,06:44 PM,14,32,32,32,15,42,34,3.7,1009,37,10,198,10,Mali
2020-04-13,36,28,0.0,10.2,7,53,No moonrise,11:07 AM,06:20 AM,06:44 PM,16,33,33,32,17,61,41,3.5,1009,36,10,204,13,Mali
2020-04-14,37,27,0.0,10.2,7,46,12:23 AM,12:02 PM,06:20 AM,06:44 PM,16,32,32,32,11,58,42,3.2,1009,37,10,136,8,Mali
2020-04-15,32,25,0.0,10.2,6,38,01:16 AM,12:57 PM,06:19 AM,06:44 PM,17,29,29,28,22,51,51,1.9,1012,32,10,64,18,Mali
2020-04-16,39,28,0.0,10.2,7,30,02:05 AM,01:49 PM,06:19 AM,06:44 PM,12,32,32,33,15,42,28,0.2,1010,39,10,109,11,Mali
2020-04-17,41,30,0.0,11.6,9,23,02:49 AM,02:39 PM,06:18 AM,06:45 PM,11,35,35,35,17,26,25,0.1,1007,41,10,143,12,Mali
2020-04-18,42,29,0.0,11.6,9,15,03:31 AM,03:27 PM,06:18 AM,06:45 PM,1,35,35,36,12,8,12,0.0,1006,42,10,159,7,Mali
2020-04-19,39,29,0.0,11.6,9,8,04:09 AM,04:13 PM,06:17 AM,06:45 PM,7,33,33,35,18,3,18,0.0,1009,39,10,298,13,Mali
2020-04-20,39,32,0.0,11.6,9,0,04:46 AM,04:58 PM,06:17 AM,06:45 PM,10,34,34,35,11,10,22,0.0,1009,39,10,155,8,Mali
2020-04-21,37,30,0.0,11.6,8,0,05:22 AM,05:43 PM,06:16 AM,06:45 PM,16,34,34,33,11,34,36,0.7,1009,37,10,153,8,Mali
2020-04-22,39,30,0.0,10.2,7,0,05:58 AM,06:28 PM,06:15 AM,06:45 PM,13,34,34,34,7,60,29,0.9,1007,39,10,218,5,Mali
2020-04-23,38,29,0.0,11.6,8,0,06:35 AM,07:15 PM,06:15 AM,06:45 PM,17,35,35,34,20,27,38,0.5,1008,38,10,181,16,Mali
2020-04-24,35,26,0.0,11.6,7,7,07:14 AM,08:04 PM,06:14 AM,06:45 PM,18,31,31,30,26,48,51,0.4,1010,35,10,226,21,Mali
2020-04-25,38,29,0.0,11.6,8,15,07:56 AM,08:54 PM,06:14 AM,06:46 PM,11,33,33,34,12,24,27,0.0,1009,38,10,296,8,Mali
2020-04-26,41,30,0.0,11.6,9,22,08:40 AM,09:47 PM,06:14 AM,06:46 PM,6,34,34,35,11,11,17,0.0,1008,41,10,215,7,Mali
2020-04-27,41,29,0.0,11.6,9,30,09:29 AM,10:40 PM,06:13 AM,06:46 PM,5,34,34,35,21,0,16,0.0,1009,41,10,135,15,Mali
2020-04-28,42,30,0.0,11.6,9,37,10:21 AM,11:35 PM,06:13 AM,06:46 PM,4,35,35,36,22,2,14,0.0,1009,42,10,67,16,Mali
2020-04-29,42,30,0.0,11.6,9,45,11:17 AM,No moonset,06:12 AM,06:46 PM,8,36,36,36,13,4,19,0.0,1009,42,10,157,10,Mali
2020-04-30,41,30,0.0,11.6,9,52,12:14 PM,12:28 AM,06:12 AM,06:46 PM,14,36,36,36,19,9,29,0.0,1010,41,10,210,14,Mali
2020-05-01,41,30,0.0,11.6,9,58,01:12 PM,01:21 AM,06:11 AM,06:47 PM,14,36,36,36,17,14,28,0.1,1009,41,10,164,12,Mali
2020-05-02,42,31,0.0,11.6,9,65,02:11 PM,02:11 AM,06:11 AM,06:47 PM,14,37,37,37,13,10,27,0.0,1009,42,10,190,10,Mali
2020-05-03,41,28,0.0,11.6,9,72,03:09 PM,03:00 AM,06:11 AM,06:47 PM,13,36,36,35,16,2,29,0.0,1008,41,10,197,12,Mali
2020-05-04,41,29,0.0,11.6,9,80,04:07 PM,03:47 AM,06:10 AM,06:47 PM,14,36,36,36,14,7,31,0.0,1007,41,10,210,10,Mali
2020-05-05,41,29,0.0,11.6,9,87,05:06 PM,04:34 AM,06:10 AM,06:47 PM,15,35,35,35,17,13,33,0.2,1008,41,10,214,13,Mali
2020-05-06,40,30,0.0,11.6,9,94,06:05 PM,05:21 AM,06:09 AM,06:48 PM,15,35,35,35,15,16,31,0.0,1009,40,10,194,12,Mali
2020-05-07,41,30,0.0,11.6,9,100,07:06 PM,06:10 AM,06:09 AM,06:48 PM,14,35,35,35,17,21,30,0.0,1007,41,10,168,13,Mali
2020-05-08,40,29,0.0,11.6,9,100,08:08 PM,07:02 AM,06:09 AM,06:48 PM,14,35,35,35,17,5,32,0.0,1007,40,10,205,12,Mali
2020-05-09,41,28,0.0,11.6,9,84,09:10 PM,07:56 AM,06:08 AM,06:48 PM,15,35,35,34,21,6,34,0.0,1008,41,10,219,16,Mali
2020-05-10,40,29,0.0,11.6,9,77,10:10 PM,08:53 AM,06:08 AM,06:49 PM,16,35,35,34,21,16,35,0.1,1008,40,10,210,16,Mali
2020-05-11,39,28,0.0,11.6,8,70,11:07 PM,09:50 AM,06:08 AM,06:49 PM,17,34,34,33,20,30,42,1.2,1010,39,10,213,17,Mali
2020-05-12,38,28,0.0,11.6,7,62,11:59 PM,10:46 AM,06:08 AM,06:49 PM,18,34,34,33,16,48,43,2.0,1010,38,10,208,13,Mali
2020-05-13,40,28,0.0,11.6,9,55,No moonrise,11:41 AM,06:07 AM,06:49 PM,17,35,35,34,14,36,39,1.7,1010,40,10,199,11,Mali
2020-05-14,40,30,0.0,11.6,8,48,12:46 AM,12:33 PM,06:07 AM,06:49 PM,16,36,36,35,13,13,33,1.6,1009,40,10,211,10,Mali
2020-05-15,39,31,0.0,11.6,9,40,01:29 AM,01:22 PM,06:07 AM,06:50 PM,16,36,36,35,14,27,34,0.1,1009,39,10,251,11,Mali
2020-05-16,37,26,0.0,11.6,7,33,02:09 AM,02:09 PM,06:07 AM,06:50 PM,17,33,33,32,22,34,44,1.7,1009,37,10,206,17,Mali
2020-05-17,39,30,0.0,11.6,9,26,02:46 AM,02:55 PM,06:07 AM,06:50 PM,16,35,35,35,16,12,34,0.0,1009,39,10,245,12,Mali
2020-05-18,41,31,0.0,11.6,9,19,03:23 AM,03:40 PM,06:06 AM,06:51 PM,14,36,36,36,17,15,30,0.6,1009,41,10,195,13,Mali
2020-05-19,40,29,0.0,11.6,9,11,03:58 AM,04:25 PM,06:06 AM,06:51 PM,13,36,36,35,18,4,31,0.0,1010,40,10,197,14,Mali
2020-05-20,41,29,0.0,11.6,9,4,04:35 AM,05:12 PM,06:06 AM,06:51 PM,10,36,36,36,12,3,23,0.0,1009,41,10,206,9,Mali
2020-05-21,40,31,0.0,11.6,9,0,05:13 AM,05:59 PM,06:06 AM,06:51 PM,14,36,36,36,18,6,29,0.0,1009,40,10,174,14,Mali
2020-05-22,40,27,0.0,11.6,9,0,05:54 AM,06:49 PM,06:06 AM,06:52 PM,14,34,34,34,16,2,33,0.0,1009,40,10,192,11,Mali
2020-05-23,40,27,0.0,11.6,8,3,06:38 AM,07:42 PM,06:06 AM,06:52 PM,13,33,33,33,16,2,33,0.0,1009,40,10,221,12,Mali
2020-05-24,40,27,0.0,11.6,8,10,07:26 AM,08:36 PM,06:05 AM,06:52 PM,13,33,33,33,12,7,34,0.0,1010,40,10,249,9,Mali
2020-05-25,41,27,0.0,11.6,9,17,08:17 AM,09:31 PM,06:05 AM,06:53 PM,11,34,34,34,15,5,28,0.0,1009,41,10,216,10,Mali
2020-05-26,39,26,0.0,11.6,8,25,09:13 AM,10:25 PM,06:05 AM,06:53 PM,12,34,34,34,19,12,31,0.0,1010,39,10,201,14,Mali
2020-05-27,28,26,0.0,7.6,6,32,10:09 AM,11:19 PM,06:05 AM,06:53 PM,20,29,29,27,16,56,64,4.2,1013,28,10,137,13,Mali
2020-05-28,35,27,0.0,11.6,8,39,11:07 AM,No moonset,06:05 AM,06:53 PM,17,32,32,31,18,27,42,0.1,1012,35,10,127,14,Mali
2020-05-29,37,29,0.0,11.6,8,47,12:04 PM,12:09 AM,06:05 AM,06:54 PM,17,35,35,33,14,22,40,0.6,1009,37,10,174,11,Mali
2020-05-30,35,27,0.0,10.3,7,54,01:01 PM,12:56 AM,06:05 AM,06:54 PM,18,33,33,31,16,32,46,0.6,1009,35,10,218,13,Mali
2020-05-31,36,26,0.0,10.3,7,58,01:57 PM,01:43 AM,06:05 AM,06:54 PM,19,33,33,31,9,53,52,5.8,1011,36,10,189,6,Mali
2020-06-01,36,26,0.0,10.3,7,71,02:53 PM,02:27 AM,06:05 AM,06:55 PM,20,33,33,30,16,55,58,6.7,1012,36,10,225,13,Mali
2020-06-02,37,26,0.0,11.6,7,79,03:50 PM,03:13 AM,06:05 AM,06:55 PM,18,34,34,32,13,25,45,0.4,1012,37,10,185,10,Mali
2020-06-03,39,30,0.0,11.6,9,86,04:49 PM,03:59 AM,06:05 AM,06:55 PM,15,36,36,34,20,8,33,0.0,1009,39,10,223,14,Mali
2020-06-04,38,28,0.0,11.6,7,94,05:50 PM,04:48 AM,06:05 AM,06:56 PM,18,34,34,33,23,25,43,0.1,1009,38,10,225,17,Mali
