date_time,United%20States%2C%20Michigan_maxtempC,United%20States%2C%20Michigan_mintempC,United%20States%2C%20Michigan_totalSnow_cm,United%20States%2C%20Michigan_sunHour,United%20States%2C%20Michigan_uvIndex,United%20States%2C%20Michigan_moon_illumination,United%20States%2C%20Michigan_moonrise,United%20States%2C%20Michigan_moonset,United%20States%2C%20Michigan_sunrise,United%20States%2C%20Michigan_sunset,United%20States%2C%20Michigan_DewPointC,United%20States%2C%20Michigan_FeelsLikeC,United%20States%2C%20Michigan_HeatIndexC,United%20States%2C%20Michigan_WindChillC,United%20States%2C%20Michigan_WindGustKmph,United%20States%2C%20Michigan_cloudcover,United%20States%2C%20Michigan_humidity,United%20States%2C%20Michigan_precipMM,United%20States%2C%20Michigan_pressure,United%20States%2C%20Michigan_tempC,United%20States%2C%20Michigan_visibility,United%20States%2C%20Michigan_winddirDegree,United%20States%2C%20Michigan_windspeedKmph,United%20States%2C%20Michigan_location
2020-12-04,3,1,0.0,3.6,1,67,08:55 PM,11:33 AM,07:50 AM,05:05 PM,-2,-3,2,-3,27,86,77,0.0,1015,3,10,245,19,United%20States%2C%20Michigan
2020-12-05,2,-2,0.0,8.7,2,60,10:02 PM,12:12 PM,07:51 AM,05:05 PM,-5,-4,0,-4,19,20,68,0.0,1019,2,10,341,14,United%20States%2C%20Michigan
2020-12-06,2,-1,0.0,5.3,1,53,11:12 PM,12:46 PM,07:52 AM,05:05 PM,-6,-1,-0,-1,5,62,66,0.0,1018,2,10,214,4,United%20States%2C%20Michigan
2020-12-07,2,-2,0.0,8.7,2,46,No moonrise,01:16 PM,07:53 AM,05:05 PM,-7,-2,-0,-2,7,14,62,0.0,1017,2,10,269,5,United%20States%2C%20Michigan
2020-12-08,2,-2,0.0,8.7,1,38,12:23 AM,01:44 PM,07:54 AM,05:05 PM,-3,-4,-0,-4,18,36,79,0.0,1017,2,10,274,12,United%20States%2C%20Michigan
2020-12-09,5,-2,0.0,8.7,2,31,01:35 AM,02:10 PM,07:55 AM,05:05 PM,-0,-1,2,-1,22,34,83,0.0,1011,5,10,269,14,United%20States%2C%20Michigan
2020-12-10,5,1,0.0,7.0,1,24,02:48 AM,02:37 PM,07:56 AM,05:05 PM,-0,0,2,0,15,25,85,0.0,1018,5,10,212,9,United%20States%2C%20Michigan
2020-12-11,5,-0,0.0,3.6,1,17,04:04 AM,03:07 PM,07:57 AM,05:05 PM,3,2,4,2,17,79,92,0.1,1015,5,7,183,10,United%20States%2C%20Michigan
2020-12-12,10,5,0.0,3.6,2,9,05:22 AM,03:41 PM,07:57 AM,05:05 PM,6,4,7,4,33,96,93,26.8,1006,10,7,144,21,United%20States%2C%20Michigan
2020-12-13,2,-0,0.0,3.6,1,2,06:40 AM,04:21 PM,07:58 AM,05:06 PM,-2,-4,1,-4,27,67,77,0.0,1016,2,10,279,20,United%20States%2C%20Michigan
2020-12-14,1,-4,0.0,5.3,1,0,07:57 AM,05:11 PM,07:59 AM,05:06 PM,-6,-5,-1,-5,21,46,69,0.0,1019,1,10,286,17,United%20States%2C%20Michigan
2020-12-15,-3,-5,0.0,8.7,1,0,09:06 AM,06:08 PM,08:00 AM,05:06 PM,-13,-8,-4,-8,14,34,48,0.0,1028,-3,10,155,11,United%20States%2C%20Michigan
2020-12-16,-1,-3,2.9,3.4,1,5,10:06 AM,07:13 PM,08:00 AM,05:06 PM,-5,-7,-2,-7,25,98,78,3.4,1020,-1,7,85,19,United%20States%2C%20Michigan
2020-12-17,-0,-3,2.4,3.4,1,12,10:55 AM,08:21 PM,08:01 AM,05:07 PM,-3,-4,-2,-4,11,100,94,2.8,1019,-0,4,126,8,United%20States%2C%20Michigan
2020-12-18,-0,-3,0.0,8.7,1,20,11:34 AM,09:30 PM,08:01 AM,05:07 PM,-4,-5,-2,-5,14,48,83,0.0,1026,-0,10,231,10,United%20States%2C%20Michigan
2020-12-19,1,-3,0.3,3.4,1,27,12:05 PM,10:36 PM,08:02 AM,05:08 PM,-1,-5,-0,-5,29,97,92,2.8,1020,1,8,196,18,United%20States%2C%20Michigan
2020-12-20,1,-3,0.2,3.4,1,34,12:32 PM,11:40 PM,08:03 AM,05:08 PM,-0,-3,0,-3,20,92,94,0.6,1013,1,7,223,13,United%20States%2C%20Michigan
2020-12-21,1,-4,1.6,3.4,1,41,12:56 PM,No moonset,08:03 AM,05:09 PM,-1,-4,0,-4,22,85,92,1.9,1006,1,8,236,15,United%20States%2C%20Michigan
2020-12-22,2,-1,0.6,5.2,1,49,01:18 PM,12:41 AM,08:03 AM,05:09 PM,-1,-3,0,-3,20,77,90,1.1,1016,2,8,279,14,United%20States%2C%20Michigan
2020-12-23,8,-3,0.0,8.7,2,56,01:39 PM,01:41 AM,08:04 AM,05:10 PM,-0,-1,4,-1,48,48,74,1.6,1011,8,10,182,31,United%20States%2C%20Michigan
2020-12-24,1,-7,0.9,3.4,1,63,02:01 PM,02:40 AM,08:04 AM,05:10 PM,-6,-8,-2,-8,31,92,69,1.8,1003,1,7,257,25,United%20States%2C%20Michigan
2020-12-25,-5,-8,0.0,3.4,1,70,02:25 PM,03:41 AM,08:05 AM,05:11 PM,-14,-14,-7,-14,24,92,60,0.1,1009,-5,10,289,19,United%20States%2C%20Michigan
2020-12-26,-3,-7,0.1,3.4,1,78,02:53 PM,04:42 AM,08:05 AM,05:12 PM,-9,-11,-5,-11,29,80,70,0.2,1012,-3,9,273,23,United%20States%2C%20Michigan
2020-12-27,2,-4,0.0,5.2,1,85,03:25 PM,05:44 AM,08:05 AM,05:12 PM,-3,-6,-2,-6,25,63,87,0.5,1012,2,10,199,16,United%20States%2C%20Michigan
2020-12-28,-0,-3,0.0,3.4,1,92,04:03 PM,06:45 AM,08:06 AM,05:13 PM,-4,-7,-1,-7,33,90,80,0.8,1018,-0,8,279,24,United%20States%2C%20Michigan
2020-12-29,-2,-5,0.1,6.9,1,100,04:50 PM,07:46 AM,08:06 AM,05:14 PM,-9,-7,-3,-7,18,62,64,0.1,1032,-2,10,238,13,United%20States%2C%20Michigan
2020-12-30,6,-2,3.1,3.4,1,100,05:45 PM,08:41 AM,08:06 AM,05:15 PM,-0,-4,2,-4,42,93,89,15.8,1016,6,6,201,27,United%20States%2C%20Michigan
2020-12-31,-0,-3,0.0,6.9,1,89,06:47 PM,09:31 AM,08:06 AM,05:15 PM,-5,-5,-2,-5,16,69,76,0.0,1024,-0,10,253,12,United%20States%2C%20Michigan
2021-01-01,-1,-5,0.0,5.2,1,79,07:54 PM,10:13 AM,08:06 AM,05:16 PM,-3,-6,-2,-6,24,58,87,23.0,1022,-1,8,96,16,United%20States%2C%20Michigan
2021-01-02,0,-7,1.3,6.9,1,71,09:04 PM,10:49 AM,08:06 AM,05:17 PM,-1,-4,-1,-4,15,67,96,6.2,1016,0,6,233,10,United%20States%2C%20Michigan
2021-01-03,1,-4,6.5,3.4,1,64,10:14 PM,11:20 AM,08:06 AM,05:18 PM,0,-3,0,-3,13,100,98,9.5,1014,1,2,158,9,United%20States%2C%20Michigan
2021-01-04,-0,-4,0.0,5.2,1,57,11:25 PM,11:48 AM,08:06 AM,05:19 PM,-2,-6,-2,-6,19,79,95,0.1,1016,-0,7,243,13,United%20States%2C%20Michigan
2021-01-05,1,-5,0.3,3.4,1,50,No moonrise,12:14 PM,08:06 AM,05:20 PM,-0,-4,-0,-4,22,95,95,0.9,1015,1,7,287,15,United%20States%2C%20Michigan
2021-01-06,0,-1,0.4,3.4,1,42,12:36 AM,12:40 PM,08:06 AM,05:21 PM,-1,-3,-0,-3,13,96,94,0.6,1025,0,9,166,9,United%20States%2C%20Michigan
2021-01-07,-1,-3,0.1,3.4,1,35,01:49 AM,01:08 PM,08:06 AM,05:22 PM,-3,-5,-2,-5,16,95,90,0.3,1028,-1,10,29,11,United%20States%2C%20Michigan
2021-01-08,-1,-4,0.0,3.4,1,28,03:03 AM,01:39 PM,08:06 AM,05:23 PM,-4,-8,-3,-8,21,78,90,0.0,1025,-1,10,23,15,United%20States%2C%20Michigan
2021-01-09,-2,-6,0.0,8.7,2,20,04:18 AM,02:14 PM,08:05 AM,05:24 PM,-6,-9,-4,-9,16,22,88,0.0,1024,-2,10,318,11,United%20States%2C%20Michigan
2021-01-10,-1,-5,0.0,3.5,1,13,05:34 AM,02:58 PM,08:05 AM,05:25 PM,-5,-6,-3,-6,10,68,88,0.0,1027,-1,8,303,7,United%20States%2C%20Michigan
2021-01-11,-1,-4,0.0,5.2,1,6,06:45 AM,03:51 PM,08:05 AM,05:26 PM,-4,-6,-3,-6,14,46,88,0.0,1025,-1,10,240,10,United%20States%2C%20Michigan
2021-01-12,-0,-4,0.0,3.5,1,0,07:50 AM,04:52 PM,08:05 AM,05:28 PM,-4,-8,-2,-8,27,89,87,0.0,1019,-0,10,245,19,United%20States%2C%20Michigan
2021-01-13,2,-2,0.0,3.5,1,0,08:43 AM,05:59 PM,08:04 AM,05:29 PM,-2,-5,-0,-5,27,98,89,0.0,1013,2,10,234,18,United%20States%2C%20Michigan
2021-01-14,1,-3,0.2,5.2,1,1,09:27 AM,07:09 PM,08:04 AM,05:30 PM,-1,-4,0,-4,25,79,92,0.2,1005,1,10,202,16,United%20States%2C%20Michigan
2021-01-15,1,-1,0.9,3.5,1,8,10:03 AM,08:17 PM,08:03 AM,05:31 PM,-1,-4,0,-4,18,94,93,3.3,999,1,6,193,13,United%20States%2C%20Michigan
2021-01-16,1,-2,0.2,8.7,1,16,10:32 AM,09:24 PM,08:03 AM,05:32 PM,-3,-3,-0,-3,15,44,83,0.2,1002,1,9,278,11,United%20States%2C%20Michigan
2021-01-17,0,-4,1.0,3.5,1,23,10:57 AM,10:27 PM,08:02 AM,05:33 PM,-2,-5,-1,-5,20,98,90,1.2,1005,0,7,261,15,United%20States%2C%20Michigan
2021-01-18,-1,-3,0.7,3.5,1,30,11:20 AM,11:28 PM,08:02 AM,05:35 PM,-3,-6,-2,-6,19,95,89,1.7,1010,-1,6,278,14,United%20States%2C%20Michigan
2021-01-19,-3,-5,0.0,5.2,1,38,11:42 AM,No moonset,08:01 AM,05:36 PM,-7,-10,-3,-10,27,83,75,0.3,1018,-3,10,268,22,United%20States%2C%20Michigan
2021-01-20,-3,-6,1.0,3.5,1,45,12:03 PM,12:28 AM,08:01 AM,05:37 PM,-8,-11,-5,-11,26,86,80,1.3,1020,-3,8,260,19,United%20States%2C%20Michigan
2021-01-21,1,-8,0.1,7.0,1,52,12:26 PM,01:29 AM,08:00 AM,05:38 PM,-3,-7,-1,-7,40,73,81,0.1,1006,1,10,258,28,United%20States%2C%20Michigan
2021-01-22,-4,-7,0.3,3.7,1,59,12:52 PM,02:29 AM,07:59 AM,05:40 PM,-8,-12,-5,-12,29,88,76,0.7,1014,-4,8,302,23,United%20States%2C%20Michigan
2021-01-23,-4,-9,0.0,8.7,2,67,01:23 PM,03:31 AM,07:58 AM,05:41 PM,-12,-12,-7,-12,14,31,69,0.0,1027,-4,10,269,11,United%20States%2C%20Michigan
2021-01-24,-2,-8,1.4,3.7,1,74,01:58 PM,04:32 AM,07:58 AM,05:42 PM,-6,-8,-4,-8,16,98,84,1.7,1022,-2,9,142,12,United%20States%2C%20Michigan
2021-01-25,-2,-4,0.3,3.7,1,81,02:41 PM,05:33 AM,07:57 AM,05:43 PM,-5,-7,-3,-7,18,71,88,0.3,1017,-2,7,153,13,United%20States%2C%20Michigan
2021-01-26,-1,-3,9.3,3.7,1,88,03:33 PM,06:30 AM,07:56 AM,05:45 PM,-3,-8,-2,-8,27,100,94,11.2,1011,-1,4,58,19,United%20States%2C%20Michigan
2021-01-27,-5,-7,0.4,3.7,1,96,04:33 PM,07:23 AM,07:55 AM,05:46 PM,-7,-12,-6,-12,22,99,93,0.6,1021,-5,8,149,16,United%20States%2C%20Michigan
2021-01-28,-7,-12,0.0,7.0,1,100,05:40 PM,08:09 AM,07:54 AM,05:47 PM,-11,-16,-10,-16,19,53,89,0.1,1034,-7,9,322,13,United%20States%2C%20Michigan
2021-01-29,-6,-11,0.0,8.7,2,90,06:51 PM,08:48 AM,07:53 AM,05:48 PM,-11,-12,-9,-12,9,41,85,0.0,1032,-6,7,185,6,United%20States%2C%20Michigan
2021-01-30,-3,-8,0.0,3.7,1,82,08:03 PM,09:22 AM,07:52 AM,05:50 PM,-8,-11,-6,-11,24,74,81,0.1,1025,-3,10,119,16,United%20States%2C%20Michigan
2021-01-31,-1,-8,5.4,3.8,1,79,09:16 PM,09:51 AM,07:51 AM,05:51 PM,-4,-9,-3,-9,38,100,94,15.4,1014,-1,2,85,26,United%20States%2C%20Michigan
2021-02-01,-4,-8,1.1,3.8,1,63,10:28 PM,10:18 AM,07:50 AM,05:52 PM,-7,-13,-6,-13,30,100,92,1.3,1018,-4,6,115,22,United%20States%2C%20Michigan
2021-02-02,-3,-11,0.0,7.1,1,55,11:41 PM,10:44 AM,07:49 AM,05:54 PM,-9,-14,-7,-14,28,46,88,0.2,1021,-3,10,309,18,United%20States%2C%20Michigan
2021-02-03,-3,-12,0.0,8.7,2,48,No moonrise,11:11 AM,07:48 AM,05:55 PM,-9,-13,-8,-13,22,8,88,0.0,1020,-3,10,309,12,United%20States%2C%20Michigan
2021-02-04,-1,-6,1.5,5.4,1,40,12:53 AM,11:40 AM,07:47 AM,05:56 PM,-4,-9,-4,-9,32,67,92,1.9,1009,-1,7,179,20,United%20States%2C%20Michigan
2021-02-05,-10,-15,0.0,3.8,1,33,02:07 AM,12:13 PM,07:46 AM,05:57 PM,-11,-19,-10,-19,43,99,89,3.3,1000,-10,5,241,32,United%20States%2C%20Michigan
2021-02-06,-10,-13,0.2,3.8,1,25,03:21 AM,12:53 PM,07:45 AM,05:59 PM,-13,-21,-12,-21,31,100,89,0.4,1016,-10,9,257,23,United%20States%2C%20Michigan
2021-02-07,-13,-17,1.0,5.3,1,18,04:32 AM,01:41 PM,07:44 AM,06:00 PM,-15,-21,-14,-21,21,97,91,1.6,1022,-13,6,282,15,United%20States%2C%20Michigan
