date_time,Barbados_maxtempC,Barbados_mintempC,Barbados_totalSnow_cm,Barbados_sunHour,Barbados_uvIndex,Barbados_moon_illumination,Barbados_moonrise,Barbados_moonset,Barbados_sunrise,Barbados_sunset,Barbados_DewPointC,Barbados_FeelsLikeC,Barbados_HeatIndexC,Barbados_WindChillC,Barbados_WindGustKmph,Barbados_cloudcover,Barbados_humidity,Barbados_precipMM,Barbados_pressure,Barbados_tempC,Barbados_visibility,Barbados_winddirDegree,Barbados_windspeedKmph,Barbados_location
2020-02-19,27,25,0.0,7.3,6,15,03:15 AM,02:53 PM,06:19 AM,06:05 PM,21,28,28,26,46,60,74,1.9,1015,27,10,89,35,Barbados
2020-02-20,26,25,0.0,8.8,6,7,04:07 AM,03:46 PM,06:19 AM,06:05 PM,20,27,27,26,37,60,72,1.0,1014,26,10,78,28,Barbados
2020-02-21,26,25,0.0,11.6,6,0,04:56 AM,04:38 PM,06:18 AM,06:06 PM,20,27,27,25,32,27,74,0.3,1014,26,10,77,24,Barbados
2020-02-22,27,25,0.0,10.2,6,0,05:42 AM,05:29 PM,06:18 AM,06:06 PM,21,28,28,26,26,51,76,1.5,1014,27,10,98,19,Barbados
2020-02-23,27,25,0.0,5.9,6,0,06:23 AM,06:17 PM,06:18 AM,06:06 PM,22,28,28,26,33,76,76,11.0,1014,27,9,105,23,Barbados
2020-02-24,27,23,0.0,5.9,6,0,07:03 AM,07:05 PM,06:17 AM,06:06 PM,21,28,28,26,32,58,77,0.4,1014,27,10,111,25,Barbados
2020-02-25,27,25,0.0,11.6,6,8,07:41 AM,07:51 PM,06:17 AM,06:06 PM,21,28,28,26,30,48,75,0.7,1014,27,10,89,23,Barbados
2020-02-26,27,25,0.0,7.4,6,15,08:16 AM,08:35 PM,06:16 AM,06:07 PM,21,27,27,26,32,55,75,0.4,1014,27,10,76,25,Barbados
2020-02-27,27,25,0.0,7.4,6,23,08:52 AM,09:21 PM,06:16 AM,06:07 PM,21,27,27,25,32,61,75,0.5,1014,27,10,71,24,Barbados
2020-02-28,26,24,0.0,10.2,6,30,09:29 AM,10:07 PM,06:15 AM,06:07 PM,20,27,27,25,31,50,75,0.2,1014,26,10,68,24,Barbados
2020-02-29,27,25,0.0,8.8,6,38,10:07 AM,10:55 PM,06:14 AM,06:07 PM,20,27,27,26,32,47,71,1.5,1016,27,10,85,25,Barbados
2020-03-01,26,24,0.0,8.8,6,44,10:48 AM,11:46 PM,06:14 AM,06:07 PM,21,27,27,25,31,50,76,3.2,1015,26,10,75,23,Barbados
2020-03-02,27,24,0.0,10.2,6,51,11:33 AM,No moonset,06:13 AM,06:07 PM,19,27,27,25,29,44,70,0.6,1015,27,10,73,22,Barbados
2020-03-03,27,25,0.0,8.8,6,58,12:21 PM,12:38 AM,06:13 AM,06:08 PM,20,28,28,26,29,55,72,1.2,1014,27,10,74,22,Barbados
2020-03-04,27,25,0.0,8.8,6,65,01:15 PM,01:34 AM,06:12 AM,06:08 PM,21,28,28,26,36,54,74,1.5,1016,27,10,82,28,Barbados
2020-03-05,27,25,0.0,7.4,6,73,02:13 PM,02:30 AM,06:12 AM,06:08 PM,20,27,27,26,41,70,70,1.2,1017,27,10,81,31,Barbados
2020-03-06,26,24,0.0,6.0,6,80,03:14 PM,03:28 AM,06:11 AM,06:08 PM,20,27,27,25,38,66,71,0.8,1016,26,10,83,29,Barbados
2020-03-07,26,24,0.0,8.8,6,87,04:16 PM,04:23 AM,06:10 AM,06:08 PM,19,27,27,25,34,63,71,0.8,1014,26,10,87,26,Barbados
2020-03-08,27,24,0.0,10.2,6,95,05:19 PM,05:18 AM,06:10 AM,06:08 PM,20,27,27,25,30,34,72,1.4,1015,27,10,82,22,Barbados
2020-03-09,27,25,0.0,7.4,6,100,06:20 PM,06:09 AM,06:09 AM,06:08 PM,20,27,27,25,37,64,73,1.7,1016,27,10,69,28,Barbados
2020-03-10,27,25,0.0,10.2,6,100,07:21 PM,06:58 AM,06:09 AM,06:08 PM,20,28,28,26,38,48,72,0.3,1016,27,10,79,29,Barbados
2020-03-11,27,25,0.0,8.8,6,84,08:20 PM,07:46 AM,06:08 AM,06:09 PM,20,27,27,25,31,49,73,1.4,1013,27,10,88,23,Barbados
2020-03-12,27,25,0.0,11.6,6,76,09:19 PM,08:33 AM,06:07 AM,06:09 PM,20,27,27,26,34,39,73,0.9,1012,27,10,85,26,Barbados
2020-03-13,27,25,0.0,8.8,6,69,10:18 PM,09:21 AM,06:07 AM,06:09 PM,21,28,28,26,35,53,75,1.0,1013,27,10,80,27,Barbados
2020-03-14,27,25,0.0,11.6,7,62,11:17 PM,10:11 AM,06:06 AM,06:09 PM,21,28,28,26,27,35,74,0.1,1014,27,10,70,21,Barbados
2020-03-15,27,25,0.0,10.2,6,55,No moonrise,11:02 AM,06:06 AM,06:09 PM,20,27,27,26,23,43,72,0.0,1013,27,10,70,17,Barbados
2020-03-16,27,25,0.0,11.6,7,47,12:15 AM,11:55 AM,06:05 AM,06:09 PM,20,27,27,26,21,38,73,0.4,1013,27,10,73,16,Barbados
2020-03-17,27,25,0.0,11.6,7,40,01:11 AM,12:49 PM,06:04 AM,06:09 PM,20,27,27,26,25,25,72,0.0,1014,27,10,76,19,Barbados
2020-03-18,27,25,0.0,11.6,7,33,02:05 AM,01:43 PM,06:04 AM,06:09 PM,21,28,28,26,31,29,75,0.2,1015,27,10,65,24,Barbados
2020-03-19,27,25,0.0,11.6,7,25,02:54 AM,02:35 PM,06:03 AM,06:09 PM,21,28,28,26,33,37,75,0.4,1015,27,10,65,25,Barbados
2020-03-20,27,25,0.0,10.2,6,18,03:41 AM,03:26 PM,06:02 AM,06:09 PM,21,28,28,26,34,58,75,1.7,1015,27,10,49,25,Barbados
2020-03-21,27,24,0.0,8.8,6,11,04:23 AM,04:14 PM,06:02 AM,06:09 PM,21,28,28,26,37,56,76,6.8,1014,27,10,78,26,Barbados
2020-03-22,27,25,0.0,11.6,7,4,05:03 AM,05:02 PM,06:01 AM,06:09 PM,21,28,28,26,35,46,77,0.3,1015,27,10,77,27,Barbados
2020-03-23,27,25,0.0,11.7,6,0,05:41 AM,05:48 PM,06:00 AM,06:09 PM,21,28,28,26,38,53,75,0.6,1016,27,10,72,29,Barbados
2020-03-24,27,25,0.0,12.1,6,0,06:17 AM,06:33 PM,06:00 AM,06:10 PM,21,28,28,26,36,50,74,0.6,1015,27,10,70,28,Barbados
2020-03-25,27,25,0.0,7.8,6,3,06:53 AM,07:19 PM,05:59 AM,06:10 PM,21,28,28,26,36,65,75,1.3,1014,27,10,76,27,Barbados
2020-03-26,27,25,0.0,12.5,7,11,07:29 AM,08:04 PM,05:58 AM,06:10 PM,21,27,27,26,29,34,75,0.3,1012,27,10,80,22,Barbados
