date_time,Germany_maxtempC,Germany_mintempC,Germany_totalSnow_cm,Germany_sunHour,Germany_uvIndex,Germany_moon_illumination,Germany_moonrise,Germany_moonset,Germany_sunrise,Germany_sunset,Germany_DewPointC,Germany_FeelsLikeC,Germany_HeatIndexC,Germany_WindChillC,Germany_WindGustKmph,Germany_cloudcover,Germany_humidity,Germany_precipMM,Germany_pressure,Germany_tempC,Germany_visibility,Germany_winddirDegree,Germany_windspeedKmph,Germany_location
2020-02-05,5,2,0.7,5.2,1,79,12:40 PM,04:34 AM,07:43 AM,04:59 PM,-2,-2,3,-2,30,64,70,2.5,1026,5,6,283,21,Germany
2020-02-06,5,2,0.0,3.6,1,87,01:30 PM,05:41 AM,07:41 AM,05:01 PM,1,-1,3,-1,25,80,84,0.0,1027,5,10,275,17,Germany
2020-02-07,7,5,0.0,3.6,2,95,02:34 PM,06:39 AM,07:39 AM,05:03 PM,3,4,6,4,13,85,85,0.0,1027,7,10,239,9,Germany
2020-02-08,8,2,0.0,8.7,3,100,03:50 PM,07:27 AM,07:37 AM,05:05 PM,2,2,5,2,17,13,81,0.0,1023,8,10,173,12,Germany
2020-02-09,10,4,0.0,8.7,3,100,05:15 PM,08:04 AM,07:36 AM,05:07 PM,3,4,7,4,34,42,73,0.5,1015,10,10,207,22,Germany
2020-02-10,10,4,0.0,3.7,2,83,06:42 PM,08:34 AM,07:34 AM,05:09 PM,2,4,8,4,50,84,66,3.8,992,10,9,245,35,Germany
2020-02-11,5,3,0.0,3.7,1,75,08:10 PM,08:58 AM,07:32 AM,05:11 PM,-2,-2,4,-2,48,89,67,4.8,997,5,7,262,35,Germany
2020-02-12,5,2,0.0,3.7,1,68,09:36 PM,09:20 AM,07:30 AM,05:12 PM,-4,-3,3,-3,46,88,60,0.2,1007,5,9,260,31,Germany
2020-02-13,5,1,0.0,7.0,1,60,11:00 PM,09:40 AM,07:28 AM,05:14 PM,-1,-1,3,-1,26,47,73,1.5,1010,5,10,206,18,Germany
2020-02-14,6,3,0.0,3.7,1,53,No moonrise,10:00 AM,07:26 AM,05:16 PM,3,3,5,3,11,82,88,0.3,1013,6,10,270,7,Germany
2020-02-15,9,3,0.0,7.0,2,45,12:22 AM,10:22 AM,07:24 AM,05:18 PM,3,3,6,3,22,48,81,0.1,1021,9,10,208,14,Germany
2020-02-16,12,7,0.0,5.4,3,38,01:43 AM,10:49 AM,07:22 AM,05:20 PM,3,7,10,7,43,50,63,0.1,1012,12,10,206,24,Germany
2020-02-17,9,7,0.0,3.8,2,30,03:00 AM,11:21 AM,07:20 AM,05:22 PM,2,6,9,6,31,87,63,1.7,1013,9,9,251,21,Germany
2020-02-18,7,5,0.0,3.8,2,22,04:10 AM,12:02 PM,07:18 AM,05:24 PM,-0,2,6,2,36,83,64,0.4,1017,7,10,247,25,Germany
2020-02-19,6,4,0.0,3.8,2,15,05:11 AM,12:51 PM,07:16 AM,05:26 PM,0,1,5,1,36,91,71,1.2,1013,6,9,252,24,Germany
2020-02-20,6,1,0.0,3.8,1,7,06:00 AM,01:50 PM,07:14 AM,05:28 PM,2,0,4,0,25,79,84,1.8,1016,6,7,209,16,Germany
2020-02-21,6,2,0.0,3.8,2,0,06:39 AM,02:54 PM,07:12 AM,05:30 PM,0,0,5,0,40,94,71,1.3,1018,6,10,259,28,Germany
2020-02-22,10,5,0.0,7.1,2,0,07:10 AM,04:03 PM,07:10 AM,05:32 PM,1,3,7,3,40,77,67,0.5,1016,10,10,241,26,Germany
2020-02-23,6,1,0.0,3.8,2,0,07:35 AM,05:12 PM,07:07 AM,05:33 PM,2,1,6,1,36,95,79,18.7,1010,6,8,264,25,Germany
2020-02-24,6,2,0.0,3.9,2,0,07:54 AM,06:20 PM,07:05 AM,05:35 PM,1,0,4,0,33,93,76,1.1,1014,6,10,250,23,Germany
2020-02-25,8,5,0.0,3.9,2,8,08:11 AM,07:28 PM,07:03 AM,05:37 PM,2,3,7,3,39,67,69,1.0,997,8,10,252,27,Germany
2020-02-26,3,-5,9.1,3.9,1,15,08:27 AM,08:35 PM,07:01 AM,05:39 PM,0,-2,2,-2,24,63,85,11.2,995,3,6,242,16,Germany
2020-02-27,4,-2,0.2,5.6,1,23,08:42 AM,09:42 PM,06:59 AM,05:41 PM,-1,-2,2,-2,21,81,82,0.5,1003,4,9,243,15,Germany
2020-02-28,5,3,1.4,4.1,1,30,08:58 AM,10:50 PM,06:56 AM,05:43 PM,-0,-1,4,-1,39,89,76,4.6,996,5,9,250,28,Germany
2020-02-29,6,-1,0.0,4.1,1,38,09:15 AM,11:58 PM,06:54 AM,05:45 PM,2,-0,4,-0,31,95,83,3.0,1002,6,9,184,20,Germany
2020-03-01,9,6,0.0,4.1,2,44,09:35 AM,No moonset,06:52 AM,05:46 PM,1,3,7,3,30,55,65,0.5,997,9,10,221,21,Germany
2020-03-02,9,5,0.0,7.2,2,51,10:00 AM,01:08 AM,06:50 AM,05:48 PM,1,3,7,3,27,70,70,0.4,993,9,9,201,19,Germany
2020-03-03,8,5,0.0,4.1,2,58,10:32 AM,02:17 AM,06:47 AM,05:50 PM,1,4,6,4,15,72,72,2.2,1000,8,9,228,11,Germany
2020-03-04,6,1,0.0,4.2,1,65,11:15 AM,03:24 AM,06:45 AM,05:52 PM,1,0,4,0,21,70,82,2.1,1009,6,9,247,14,Germany
2020-03-05,9,3,0.0,7.2,2,73,12:10 PM,04:25 AM,06:43 AM,05:54 PM,1,3,6,3,21,63,72,0.2,1004,9,9,175,15,Germany
2020-03-06,9,5,0.0,4.2,2,80,01:20 PM,05:17 AM,06:41 AM,05:55 PM,4,4,7,4,22,100,82,4.6,992,9,8,150,16,Germany
2020-03-07,6,4,0.0,4.2,2,87,02:40 PM,05:58 AM,06:38 AM,05:57 PM,3,2,5,2,28,93,84,3.9,1006,6,10,280,20,Germany
2020-03-08,10,3,0.0,5.7,2,95,04:07 PM,06:31 AM,06:36 AM,05:59 PM,2,3,6,3,20,53,75,0.0,1015,10,10,211,14,Germany
2020-03-09,10,6,0.0,7.3,2,100,05:36 PM,06:57 AM,06:34 AM,06:01 PM,4,5,7,5,18,79,78,1.4,1011,10,9,235,13,Germany
2020-03-10,7,0,0.0,5.9,2,100,07:05 PM,07:20 AM,06:31 AM,06:02 PM,4,2,5,2,33,77,82,3.1,1010,7,9,221,22,Germany
2020-03-11,12,8,0.0,5.9,3,84,08:33 PM,07:41 AM,06:29 AM,06:04 PM,7,7,10,7,30,88,82,10.4,1008,12,8,261,19,Germany
2020-03-12,11,7,0.0,8.7,3,76,10:00 PM,08:01 AM,06:27 AM,06:06 PM,4,7,10,7,37,69,67,10.0,1008,11,9,252,24,Germany
2020-03-13,8,4,0.0,7.3,2,69,11:26 PM,08:23 AM,06:24 AM,06:08 PM,0,2,6,2,40,71,66,0.8,1010,8,9,258,27,Germany
2020-03-14,8,1,0.0,11.6,3,62,No moonrise,08:49 AM,06:22 AM,06:10 PM,-6,2,4,2,16,12,52,0.0,1024,8,10,189,11,Germany
2020-03-15,10,2,0.0,11.6,3,55,12:47 AM,09:20 AM,06:20 AM,06:11 PM,-6,2,6,2,29,21,44,0.0,1021,10,10,163,19,Germany
2020-03-16,14,5,0.0,7.4,3,47,02:02 AM,09:58 AM,06:17 AM,06:13 PM,2,7,9,7,17,40,63,0.2,1019,14,10,238,11,Germany
2020-03-17,15,7,0.0,8.8,3,40,03:07 AM,10:46 AM,06:15 AM,06:15 PM,5,10,11,10,9,43,70,0.1,1027,15,10,250,7,Germany
2020-03-18,15,7,0.0,11.6,4,33,04:01 AM,11:43 AM,06:13 AM,06:17 PM,4,10,11,10,18,28,64,0.0,1026,15,10,228,12,Germany
2020-03-19,12,9,0.0,6.0,3,25,04:43 AM,12:46 PM,06:10 AM,06:18 PM,7,10,11,10,13,62,80,0.1,1024,12,10,221,9,Germany
2020-03-20,9,6,0.0,6.1,2,18,05:15 AM,01:53 PM,06:08 AM,06:20 PM,2,6,7,6,14,99,68,1.8,1026,9,8,50,11,Germany
2020-03-21,6,2,0.0,11.6,2,11,05:41 AM,03:02 PM,06:06 AM,06:22 PM,-4,-0,4,-0,30,20,56,0.1,1031,6,10,50,23,Germany
2020-03-22,6,-0,0.0,11.6,2,4,06:01 AM,04:10 PM,06:03 AM,06:24 PM,-8,-2,3,-2,23,1,47,0.0,1036,6,10,61,17,Germany
2020-03-23,7,1,0.0,11.6,2,0,06:18 AM,05:18 PM,06:01 AM,06:25 PM,-10,0,3,0,15,2,37,0.0,1040,7,10,89,12,Germany
2020-03-24,7,1,0.0,12.7,2,0,06:34 AM,06:25 PM,05:59 AM,06:27 PM,-10,1,4,1,16,2,38,0.0,1038,7,10,108,13,Germany
2020-03-25,8,1,0.0,12.7,1,3,06:49 AM,07:33 PM,05:57 AM,06:29 PM,-8,0,4,0,23,13,41,0.0,1033,8,10,105,17,Germany
2020-03-26,9,0,0.0,12.8,3,11,07:04 AM,08:40 PM,05:54 AM,06:31 PM,-5,1,5,1,26,9,50,0.0,1028,9,10,90,18,Germany
2020-03-27,12,3,0.0,11.9,2,18,07:21 AM,09:49 PM,05:52 AM,06:32 PM,1,5,7,5,20,39,64,0.0,1023,12,10,66,14,Germany
2020-03-28,14,6,0.0,11.9,3,25,07:39 AM,10:58 PM,05:50 AM,06:34 PM,3,8,10,8,13,33,67,0.0,1019,14,10,143,10,Germany
2020-03-29,4,1,0.0,9.3,1,32,08:02 AM,No moonset,05:47 AM,06:36 PM,-3,-1,4,-1,27,61,63,1.0,1023,4,8,108,21,Germany
2020-03-30,7,-1,0.0,12.9,2,40,08:30 AM,12:07 AM,05:45 AM,06:38 PM,-9,0,3,0,12,16,45,0.1,1027,7,10,295,9,Germany
2020-03-31,5,-0,0.0,9.4,1,44,09:08 AM,01:15 AM,05:43 AM,06:39 PM,-6,-1,2,-1,15,66,55,0.3,1029,5,10,190,11,Germany
2020-04-01,8,1,0.0,10.7,2,56,09:57 AM,02:16 AM,05:40 AM,06:41 PM,-3,1,4,1,20,50,60,0.1,1021,8,10,256,15,Germany
2020-04-02,9,2,0.0,9.4,2,64,10:58 AM,03:10 AM,05:38 AM,06:43 PM,0,2,6,2,26,68,69,0.0,1011,9,10,255,18,Germany
2020-04-03,10,4,0.0,8.2,2,71,12:12 PM,03:54 AM,05:36 AM,06:45 PM,-1,3,7,3,29,71,59,2.6,1011,10,10,286,21,Germany
2020-04-04,12,3,0.0,13.1,3,79,01:34 PM,04:29 AM,05:33 AM,06:47 PM,-1,6,7,6,9,20,58,0.0,1026,12,10,220,7,Germany
2020-04-05,16,5,0.0,13.2,3,87,03:00 PM,04:57 AM,05:31 AM,06:48 PM,2,9,10,9,19,13,57,0.0,1029,16,10,132,14,Germany
2020-04-06,18,8,0.0,13.2,4,94,04:29 PM,05:21 AM,05:29 AM,06:50 PM,4,12,13,12,23,0,55,0.0,1026,18,10,154,16,Germany
2020-04-07,20,11,0.0,13.3,4,100,05:58 PM,05:42 AM,05:26 AM,06:52 PM,8,15,15,15,13,27,65,0.8,1030,20,10,219,9,Germany
2020-04-08,21,9,0.0,13.3,5,100,07:27 PM,06:02 AM,05:24 AM,06:54 PM,4,14,14,14,13,27,52,0.0,1028,21,10,146,9,Germany
2020-04-09,16,11,0.0,10.8,3,83,08:56 PM,06:23 AM,05:22 AM,06:55 PM,6,13,13,13,15,50,64,1.0,1024,16,9,272,11,Germany
2020-04-10,13,6,0.0,12.0,3,76,10:23 PM,06:47 AM,05:19 AM,06:57 PM,-1,8,9,8,12,59,50,0.0,1027,13,10,287,9,Germany
2020-04-11,16,7,0.0,13.4,4,68,11:45 PM,07:16 AM,05:17 AM,06:59 PM,1,11,11,11,6,15,51,0.0,1027,16,10,202,4,Germany
2020-04-12,21,10,0.0,13.3,5,61,No moonrise,07:52 AM,05:15 AM,07:01 PM,4,15,15,15,12,25,50,0.2,1017,21,10,200,9,Germany
2020-04-13,9,5,0.0,12.2,2,53,12:57 AM,08:37 AM,05:13 AM,07:02 PM,1,6,9,6,22,68,60,0.8,1014,9,10,313,17,Germany
2020-04-14,10,2,0.0,13.9,2,46,01:57 AM,09:32 AM,05:10 AM,07:04 PM,-4,2,6,2,25,33,49,0.0,1021,10,10,302,19,Germany
2020-04-15,14,4,0.0,13.3,2,38,02:44 AM,10:34 AM,05:08 AM,07:06 PM,1,6,8,6,25,39,63,0.0,1022,14,10,277,19,Germany
2020-04-16,17,7,0.0,14.0,4,30,03:20 AM,11:42 AM,05:06 AM,07:08 PM,4,11,12,11,15,16,59,0.0,1018,17,10,264,12,Germany
2020-04-17,18,8,0.0,14.1,3,23,03:47 AM,12:51 PM,05:04 AM,07:10 PM,1,12,13,12,12,31,50,0.0,1019,18,10,234,9,Germany
2020-04-18,17,8,0.0,14.1,4,15,04:08 AM,02:00 PM,05:01 AM,07:11 PM,-0,11,12,11,17,2,44,0.0,1020,17,10,72,13,Germany
2020-04-19,13,6,0.0,14.5,4,8,04:26 AM,03:09 PM,04:59 AM,07:13 PM,-3,7,9,7,20,2,43,0.0,1024,13,10,57,16,Germany
2020-04-20,14,6,0.0,14.5,4,0,04:42 AM,04:16 PM,04:57 AM,07:15 PM,-0,8,10,8,21,0,50,0.0,1027,14,10,70,16,Germany
2020-04-21,16,7,0.0,14.5,4,0,04:57 AM,05:24 PM,04:55 AM,07:17 PM,2,9,11,9,27,0,54,0.0,1026,16,10,80,20,Germany
2020-04-22,17,9,0.0,14.5,4,0,05:12 AM,06:31 PM,04:53 AM,07:18 PM,4,12,13,12,18,0,57,0.0,1027,17,10,80,15,Germany
2020-04-23,21,11,0.0,14.5,5,0,05:27 AM,07:40 PM,04:51 AM,07:20 PM,5,16,17,16,11,1,52,0.0,1023,21,10,85,9,Germany
2020-04-24,19,12,0.0,12.4,4,7,05:45 AM,08:50 PM,04:48 AM,07:22 PM,4,15,15,15,17,50,50,0.0,1010,19,10,257,12,Germany
2020-04-25,15,7,0.0,12.4,3,15,06:06 AM,10:00 PM,04:46 AM,07:24 PM,3,10,11,10,17,61,59,0.0,1010,15,10,279,13,Germany
2020-04-26,17,9,0.0,13.5,3,22,06:32 AM,11:08 PM,04:44 AM,07:25 PM,3,13,13,13,9,39,52,0.1,1010,17,10,199,7,Germany
2020-04-27,21,10,0.0,14.5,5,30,07:06 AM,No moonset,04:42 AM,07:27 PM,5,15,16,15,11,17,51,0.0,1008,21,10,195,9,Germany
2020-04-28,20,13,0.0,12.4,4,37,07:51 AM,12:12 AM,04:40 AM,07:29 PM,8,16,16,16,10,47,61,0.8,1005,20,9,178,8,Germany
