date_time,Zambia_maxtempC,Zambia_mintempC,Zambia_totalSnow_cm,Zambia_sunHour,Zambia_uvIndex,Zambia_moon_illumination,Zambia_moonrise,Zambia_moonset,Zambia_sunrise,Zambia_sunset,Zambia_DewPointC,Zambia_FeelsLikeC,Zambia_HeatIndexC,Zambia_WindChillC,Zambia_WindGustKmph,Zambia_cloudcover,Zambia_humidity,Zambia_precipMM,Zambia_pressure,Zambia_tempC,Zambia_visibility,Zambia_winddirDegree,Zambia_windspeedKmph,Zambia_location
2020-01-16,23,18,0.0,8.1,5,54,11:36 PM,11:11 AM,05:48 AM,06:44 PM,19,20,20,20,12,92,95,17.2,1010,23,8,86,8,Zambia
2020-01-17,25,19,0.0,8.1,5,47,No moonrise,12:07 PM,05:49 AM,06:44 PM,20,21,22,21,13,82,93,25.3,1008,25,8,103,8,Zambia
2020-01-18,26,19,0.0,10.7,5,40,12:18 AM,01:03 PM,05:50 AM,06:44 PM,20,23,23,22,16,73,91,10.3,1006,26,9,295,10,Zambia
2020-01-19,28,19,0.0,8.1,5,32,01:03 AM,02:00 PM,05:50 AM,06:45 PM,19,24,24,23,21,71,82,9.8,1007,28,9,300,13,Zambia
2020-01-20,26,19,0.0,10.7,5,25,01:49 AM,02:57 PM,05:51 AM,06:45 PM,19,23,23,22,16,65,86,9.0,1008,26,8,251,9,Zambia
2020-01-21,25,18,0.0,8.1,5,18,02:38 AM,03:54 PM,05:51 AM,06:45 PM,19,22,22,21,13,76,90,12.9,1010,25,8,127,8,Zambia
2020-01-22,25,18,0.0,8.1,5,11,03:30 AM,04:50 PM,05:52 AM,06:45 PM,19,21,21,21,10,76,89,3.4,1010,25,8,93,7,Zambia
2020-01-23,26,17,0.0,9.4,5,3,04:22 AM,05:45 PM,05:52 AM,06:45 PM,18,22,22,21,12,78,87,0.3,1010,26,6,91,8,Zambia
2020-01-24,25,17,0.0,12.9,5,0,05:17 AM,06:35 PM,05:53 AM,06:44 PM,17,20,21,20,18,48,83,0.2,1013,25,7,85,12,Zambia
2020-01-25,26,16,0.0,12.9,6,0,06:11 AM,07:23 PM,05:54 AM,06:44 PM,17,22,22,21,17,27,81,0.0,1013,26,9,85,11,Zambia
2020-01-26,27,16,0.0,12.9,5,4,07:03 AM,08:05 PM,05:54 AM,06:44 PM,17,22,22,21,11,37,80,0.2,1012,27,7,87,7,Zambia
2020-01-27,28,18,0.0,12.9,5,11,07:54 AM,08:45 PM,05:55 AM,06:44 PM,17,24,24,23,9,30,74,0.2,1011,28,10,96,6,Zambia
2020-01-28,26,18,0.0,8.1,5,18,08:42 AM,09:23 PM,05:55 AM,06:44 PM,18,23,23,22,12,66,80,5.2,1012,26,10,76,8,Zambia
2020-01-29,26,17,0.0,12.9,5,26,09:30 AM,09:59 PM,05:56 AM,06:44 PM,17,22,22,21,14,42,80,2.6,1013,26,9,100,9,Zambia
2020-01-30,23,17,0.0,8.1,5,33,10:15 AM,10:34 PM,05:56 AM,06:44 PM,18,20,21,20,19,69,92,19.5,1013,23,5,96,11,Zambia
2020-01-31,20,17,0.0,8.0,4,37,11:02 AM,11:10 PM,05:57 AM,06:44 PM,18,18,18,18,19,85,95,24.9,1014,20,6,96,13,Zambia
2020-02-01,23,17,0.0,9.3,5,49,11:49 AM,11:47 PM,05:57 AM,06:43 PM,17,19,20,19,17,65,89,2.2,1013,23,7,89,11,Zambia
2020-02-02,23,17,0.0,9.3,5,57,12:37 PM,No moonset,05:58 AM,06:43 PM,18,20,21,20,19,60,91,10.9,1013,23,6,91,11,Zambia
2020-02-03,25,18,0.0,8.0,5,64,01:29 PM,12:26 AM,05:58 AM,06:43 PM,19,21,21,21,14,78,89,6.8,1013,25,7,83,9,Zambia
2020-02-04,25,18,0.0,9.3,5,72,02:22 PM,01:10 AM,05:59 AM,06:43 PM,19,22,22,21,15,70,86,9.2,1012,25,8,83,10,Zambia
2020-02-05,26,18,0.0,10.6,5,79,03:19 PM,01:58 AM,05:59 AM,06:42 PM,19,22,22,21,10,68,87,12.6,1011,26,8,72,6,Zambia
2020-02-06,24,18,0.0,8.0,5,87,04:17 PM,02:51 AM,05:59 AM,06:42 PM,18,20,21,20,12,75,89,7.1,1011,24,9,59,8,Zambia
2020-02-07,24,19,0.0,9.1,5,95,05:16 PM,03:49 AM,06:00 AM,06:42 PM,20,22,22,21,10,72,93,34.4,1011,24,7,184,6,Zambia
2020-02-08,24,18,0.0,7.8,5,100,06:13 PM,04:51 AM,06:00 AM,06:41 PM,19,20,21,20,12,78,93,11.2,1012,24,5,25,8,Zambia
2020-02-09,23,19,0.0,7.6,5,100,07:07 PM,05:55 AM,06:01 AM,06:41 PM,19,20,21,20,12,78,95,36.8,1011,23,8,109,8,Zambia
2020-02-10,23,19,0.0,6.2,5,83,07:58 PM,06:59 AM,06:01 AM,06:41 PM,20,20,21,20,17,83,95,20.8,1010,23,8,270,11,Zambia
2020-02-11,24,19,0.0,8.9,5,75,08:45 PM,08:01 AM,06:01 AM,06:40 PM,19,20,21,20,24,73,90,10.6,1010,24,8,307,15,Zambia
2020-02-12,24,19,0.0,6.2,5,68,09:31 PM,09:01 AM,06:02 AM,06:40 PM,20,22,22,21,14,76,91,16.2,1009,24,9,221,9,Zambia
2020-02-13,23,18,0.0,7.5,5,60,10:16 PM,10:00 AM,06:02 AM,06:39 PM,18,20,20,20,15,87,93,2.7,1010,23,9,126,11,Zambia
2020-02-14,24,18,0.0,6.2,5,53,11:01 PM,10:58 AM,06:03 AM,06:39 PM,19,20,21,20,17,86,92,1.7,1009,24,5,123,12,Zambia
2020-02-15,20,17,0.0,7.5,4,45,11:47 PM,11:55 AM,06:03 AM,06:39 PM,18,19,19,19,19,82,90,0.4,1011,20,6,183,14,Zambia
2020-02-16,27,17,0.0,8.9,5,38,No moonrise,12:53 PM,06:03 AM,06:38 PM,18,22,22,21,6,56,86,1.3,1013,27,7,254,4,Zambia
2020-02-17,25,19,0.0,8.9,5,30,12:35 AM,01:50 PM,06:04 AM,06:38 PM,19,23,23,22,8,61,89,7.2,1012,25,10,126,5,Zambia
2020-02-18,25,18,0.0,7.5,5,22,01:26 AM,02:46 PM,06:04 AM,06:37 PM,20,22,22,21,14,74,90,1.0,1011,25,6,91,9,Zambia
2020-02-19,25,19,0.0,7.5,5,15,02:18 AM,03:40 PM,06:04 AM,06:37 PM,19,22,22,21,18,69,89,3.7,1012,25,7,98,12,Zambia
2020-02-20,25,17,0.0,8.9,5,7,03:12 AM,04:31 PM,06:05 AM,06:36 PM,19,22,22,21,13,64,88,8.8,1012,25,8,99,8,Zambia
2020-02-21,26,18,0.0,7.5,5,0,04:05 AM,05:19 PM,06:05 AM,06:36 PM,19,22,22,22,12,58,86,14.8,1011,26,8,101,7,Zambia
2020-02-22,26,19,0.0,7.5,5,0,04:57 AM,06:03 PM,06:05 AM,06:35 PM,20,23,23,22,12,57,89,21.2,1010,26,6,90,7,Zambia
2020-02-23,27,19,0.0,7.5,5,0,05:48 AM,06:43 PM,06:06 AM,06:35 PM,20,24,24,23,11,75,88,19.3,1009,27,7,100,6,Zambia
2020-02-24,21,19,0.0,6.1,5,0,06:37 AM,07:22 PM,06:06 AM,06:34 PM,20,20,21,20,12,83,96,19.3,1010,21,9,90,7,Zambia
2020-02-25,21,18,0.0,6.1,4,8,07:25 AM,07:58 PM,06:06 AM,06:33 PM,18,19,20,19,21,89,96,16.7,1013,21,8,90,14,Zambia
2020-02-26,21,17,0.0,6.1,4,15,08:11 AM,08:33 PM,06:06 AM,06:33 PM,17,19,19,19,17,82,92,0.7,1013,21,7,72,12,Zambia
