date_time,Trinidad%20and%20Tobago_maxtempC,Trinidad%20and%20Tobago_mintempC,Trinidad%20and%20Tobago_totalSnow_cm,Trinidad%20and%20Tobago_sunHour,Trinidad%20and%20Tobago_uvIndex,Trinidad%20and%20Tobago_moon_illumination,Trinidad%20and%20Tobago_moonrise,Trinidad%20and%20Tobago_moonset,Trinidad%20and%20Tobago_sunrise,Trinidad%20and%20Tobago_sunset,Trinidad%20and%20Tobago_DewPointC,Trinidad%20and%20Tobago_FeelsLikeC,Trinidad%20and%20Tobago_HeatIndexC,Trinidad%20and%20Tobago_WindChillC,Trinidad%20and%20Tobago_WindGustKmph,Trinidad%20and%20Tobago_cloudcover,Trinidad%20and%20Tobago_humidity,Trinidad%20and%20Tobago_precipMM,Trinidad%20and%20Tobago_pressure,Trinidad%20and%20Tobago_tempC,Trinidad%20and%20Tobago_visibility,Trinidad%20and%20Tobago_winddirDegree,Trinidad%20and%20Tobago_windspeedKmph,Trinidad%20and%20Tobago_location
2020-01-29,27,24,0.0,5.9,6,26,09:49 AM,10:03 PM,06:29 AM,06:09 PM,22,28,28,25,20,69,86,5.2,1012,27,9,89,12,Trinidad%20and%20Tobago
2020-01-30,28,24,0.0,7.3,6,33,10:25 AM,10:47 PM,06:29 AM,06:09 PM,22,28,28,25,26,56,82,1.9,1013,28,9,93,16,Trinidad%20and%20Tobago
2020-01-31,28,24,0.0,8.8,6,37,11:03 AM,11:32 PM,06:29 AM,06:09 PM,22,28,28,25,27,50,82,0.5,1014,28,10,81,17,Trinidad%20and%20Tobago
2020-02-01,28,23,0.0,8.8,6,49,11:41 AM,No moonset,06:29 AM,06:10 PM,21,27,27,25,27,35,79,0.2,1014,28,10,88,17,Trinidad%20and%20Tobago
2020-02-02,27,23,0.0,8.8,6,57,12:21 PM,12:18 AM,06:29 AM,06:10 PM,20,27,27,25,25,43,77,0.5,1014,27,10,94,15,Trinidad%20and%20Tobago
2020-02-03,28,22,0.0,10.2,6,64,01:05 PM,01:07 AM,06:29 AM,06:11 PM,20,27,27,25,24,33,76,0.2,1016,28,10,82,15,Trinidad%20and%20Tobago
2020-02-04,27,22,0.0,8.8,6,72,01:53 PM,01:59 AM,06:29 AM,06:11 PM,20,26,26,24,24,42,78,0.4,1016,27,10,78,15,Trinidad%20and%20Tobago
2020-02-05,28,22,0.0,10.2,6,79,02:46 PM,02:54 AM,06:29 AM,06:11 PM,20,27,27,25,25,45,78,0.9,1015,28,10,80,15,Trinidad%20and%20Tobago
2020-02-06,28,23,0.0,11.6,7,87,03:44 PM,03:52 AM,06:28 AM,06:11 PM,20,27,27,25,29,16,78,0.1,1015,28,10,87,18,Trinidad%20and%20Tobago
2020-02-07,27,22,0.0,8.8,6,95,04:45 PM,04:51 AM,06:28 AM,06:12 PM,20,26,26,25,27,38,75,0.5,1015,27,10,85,16,Trinidad%20and%20Tobago
2020-02-08,27,23,0.0,7.3,6,100,05:47 PM,05:49 AM,06:28 AM,06:12 PM,20,27,27,24,27,48,78,1.6,1015,27,10,73,16,Trinidad%20and%20Tobago
2020-02-09,28,23,0.0,11.6,7,100,06:49 PM,06:45 AM,06:28 AM,06:12 PM,20,27,27,25,27,38,77,0.9,1015,28,10,90,17,Trinidad%20and%20Tobago
2020-02-10,28,23,0.0,11.6,7,83,07:50 PM,07:39 AM,06:28 AM,06:13 PM,20,27,27,25,28,12,75,0.0,1016,28,10,87,18,Trinidad%20and%20Tobago
2020-02-11,27,22,0.0,8.8,6,75,08:48 PM,08:29 AM,06:27 AM,06:13 PM,21,27,27,25,26,37,80,1.3,1015,27,10,76,16,Trinidad%20and%20Tobago
2020-02-12,28,23,0.0,11.6,7,68,09:45 PM,09:18 AM,06:27 AM,06:13 PM,21,27,27,25,26,42,78,0.1,1014,28,10,74,17,Trinidad%20and%20Tobago
2020-02-13,26,23,0.0,7.3,5,60,10:41 PM,10:04 AM,06:27 AM,06:13 PM,21,26,26,24,28,58,82,5.8,1014,26,10,74,17,Trinidad%20and%20Tobago
2020-02-14,26,23,0.0,7.4,6,53,11:37 PM,10:51 AM,06:27 AM,06:14 PM,21,27,27,25,27,69,82,6.7,1014,26,10,77,16,Trinidad%20and%20Tobago
