date_time,Bahrain_maxtempC,Bahrain_mintempC,Bahrain_totalSnow_cm,Bahrain_sunHour,Bahrain_uvIndex,Bahrain_moon_illumination,Bahrain_moonrise,Bahrain_moonset,Bahrain_sunrise,Bahrain_sunset,Bahrain_DewPointC,Bahrain_FeelsLikeC,Bahrain_HeatIndexC,Bahrain_WindChillC,Bahrain_WindGustKmph,Bahrain_cloudcover,Bahrain_humidity,Bahrain_precipMM,Bahrain_pressure,Bahrain_tempC,Bahrain_visibility,Bahrain_winddirDegree,Bahrain_windspeedKmph,Bahrain_location
2020-01-11,18,17,0.0,7.1,4,100,05:48 PM,06:53 AM,06:27 AM,05:04 PM,9,17,17,17,48,33,58,0.3,1012,18,10,307,37,Bahrain
2020-01-12,16,8,0.0,8.7,5,83,06:53 PM,07:47 AM,06:27 AM,05:05 PM,8,14,15,14,49,1,61,0.0,1019,16,10,308,39,Bahrain
2020-01-13,17,11,0.0,8.7,5,76,07:59 PM,08:36 AM,06:27 AM,05:06 PM,6,16,17,16,32,15,50,0.0,1020,17,10,307,24,Bahrain
2020-01-14,18,16,0.0,8.7,5,69,09:04 PM,09:22 AM,06:27 AM,05:06 PM,6,17,17,17,33,12,46,0.5,1018,18,10,298,25,Bahrain
2020-01-15,19,17,0.0,8.7,5,61,10:07 PM,10:03 AM,06:27 AM,05:07 PM,12,18,18,18,42,23,66,0.4,1023,19,10,259,31,Bahrain
2020-01-16,18,17,0.0,8.7,5,54,11:10 PM,10:41 AM,06:27 AM,05:08 PM,10,18,18,18,25,2,59,0.0,1024,18,10,321,18,Bahrain
2020-01-17,21,18,0.0,8.7,6,47,No moonrise,11:20 AM,06:27 AM,05:09 PM,11,20,20,20,11,1,57,0.0,1021,21,10,249,8,Bahrain
2020-01-18,20,18,0.0,8.7,5,40,12:11 AM,11:58 AM,06:26 AM,05:09 PM,13,19,19,19,33,12,67,0.0,1017,20,10,157,22,Bahrain
2020-01-19,19,19,0.0,7.2,4,32,01:12 AM,12:39 PM,06:26 AM,05:10 PM,13,19,19,19,29,30,66,0.0,1016,19,10,232,19,Bahrain
2020-01-20,20,19,0.0,8.7,5,25,02:13 AM,01:22 PM,06:26 AM,05:11 PM,14,19,19,19,42,3,70,0.0,1019,20,10,337,29,Bahrain
2020-01-21,19,18,0.0,8.7,5,18,03:14 AM,02:09 PM,06:26 AM,05:12 PM,12,18,18,18,24,2,65,0.0,1018,19,10,251,17,Bahrain
2020-01-22,21,18,0.0,8.7,5,11,04:13 AM,03:00 PM,06:26 AM,05:13 PM,12,19,19,19,36,27,64,0.0,1015,21,10,140,23,Bahrain
2020-01-23,18,7,0.0,5.6,3,3,05:09 AM,03:54 PM,06:25 AM,05:13 PM,11,14,15,14,38,66,71,2.6,1018,18,9,330,28,Bahrain
2020-01-24,17,12,0.0,8.7,5,0,06:01 AM,04:49 PM,06:25 AM,05:14 PM,8,16,16,16,27,3,56,0.0,1020,17,10,327,20,Bahrain
2020-01-25,19,16,0.0,8.7,5,0,06:48 AM,05:45 PM,06:25 AM,05:15 PM,7,17,17,17,26,1,50,0.0,1019,19,10,233,19,Bahrain
2020-01-26,16,7,0.0,7.2,3,4,07:31 AM,06:40 PM,06:25 AM,05:16 PM,7,12,14,12,51,23,58,0.3,1022,16,10,311,40,Bahrain
2020-01-27,16,10,0.0,8.7,5,11,08:08 AM,07:33 PM,06:24 AM,05:17 PM,9,15,15,15,49,1,64,0.0,1023,16,10,321,37,Bahrain
2020-01-28,17,16,0.0,8.7,5,18,08:43 AM,08:25 PM,06:24 AM,05:17 PM,10,17,17,17,34,0,64,0.0,1021,17,10,329,25,Bahrain
2020-01-29,18,9,0.0,5.6,4,26,09:16 AM,09:16 PM,06:24 AM,05:18 PM,8,15,16,15,16,37,54,0.0,1019,18,10,229,11,Bahrain
2020-01-30,18,17,0.0,8.7,5,33,09:47 AM,10:06 PM,06:23 AM,05:19 PM,9,17,17,17,29,4,57,0.0,1019,18,10,265,20,Bahrain
2020-01-31,19,11,0.0,8.7,5,37,10:18 AM,10:57 PM,06:23 AM,05:20 PM,11,17,17,17,14,1,64,0.0,1018,19,10,257,10,Bahrain
2020-02-01,20,17,0.0,8.7,5,49,10:50 AM,11:49 PM,06:22 AM,05:20 PM,10,18,18,18,27,18,61,0.0,1016,20,10,142,17,Bahrain
2020-02-02,18,17,0.0,8.7,5,57,11:24 AM,No moonset,06:22 AM,05:21 PM,10,18,18,18,40,12,61,0.0,1020,18,10,319,29,Bahrain
2020-02-03,17,16,0.0,8.7,5,64,12:01 PM,12:43 AM,06:21 AM,05:22 PM,8,17,17,17,35,0,58,0.0,1022,17,10,331,25,Bahrain
2020-02-04,17,16,0.0,8.7,5,72,12:43 PM,01:39 AM,06:21 AM,05:23 PM,8,17,17,17,29,9,58,0.0,1020,17,10,339,21,Bahrain
2020-02-05,19,17,0.0,8.7,5,79,01:31 PM,02:37 AM,06:20 AM,05:23 PM,11,18,18,18,13,14,62,0.0,1019,19,10,170,9,Bahrain
2020-02-06,21,14,0.0,8.7,5,87,02:25 PM,03:36 AM,06:20 AM,05:24 PM,12,19,19,19,6,13,62,0.0,1019,21,10,144,3,Bahrain
2020-02-07,22,20,0.0,8.7,6,95,03:26 PM,04:35 AM,06:19 AM,05:25 PM,11,21,21,21,32,21,54,0.0,1017,22,10,171,16,Bahrain
2020-02-08,24,20,0.0,8.7,6,100,04:31 PM,05:32 AM,06:18 AM,05:26 PM,12,21,22,21,48,9,57,0.0,1015,24,10,181,23,Bahrain
2020-02-09,20,19,0.0,8.7,5,100,05:39 PM,06:24 AM,06:18 AM,05:26 PM,15,19,19,19,50,11,76,0.0,1017,20,10,307,31,Bahrain
2020-02-10,18,16,0.0,5.7,4,83,06:47 PM,07:13 AM,06:17 AM,05:27 PM,11,18,18,18,56,37,66,0.0,1017,18,10,309,40,Bahrain
2020-02-11,15,14,0.0,8.7,4,75,07:54 PM,07:57 AM,06:17 AM,05:28 PM,8,13,15,13,48,7,63,0.0,1020,15,10,348,37,Bahrain
2020-02-12,13,7,0.0,8.7,4,68,08:58 PM,08:38 AM,06:16 AM,05:28 PM,5,9,12,9,46,2,61,0.0,1027,13,10,325,38,Bahrain
2020-02-13,16,9,0.0,8.7,4,60,10:02 PM,09:18 AM,06:15 AM,05:29 PM,8,13,14,13,44,0,65,0.0,1026,16,10,334,34,Bahrain
2020-02-14,17,16,0.0,8.7,5,53,11:05 PM,09:58 AM,06:14 AM,05:30 PM,10,16,16,16,32,0,66,0.0,1023,17,10,328,23,Bahrain
2020-02-15,18,17,0.0,8.7,5,45,No moonrise,10:38 AM,06:14 AM,05:30 PM,12,18,18,18,32,2,71,0.0,1020,18,10,329,21,Bahrain
