date_time,Chad_maxtempC,Chad_mintempC,Chad_totalSnow_cm,Chad_sunHour,Chad_uvIndex,Chad_moon_illumination,Chad_moonrise,Chad_moonset,Chad_sunrise,Chad_sunset,Chad_DewPointC,Chad_FeelsLikeC,Chad_HeatIndexC,Chad_WindChillC,Chad_WindGustKmph,Chad_cloudcover,Chad_humidity,Chad_precipMM,Chad_pressure,Chad_tempC,Chad_visibility,Chad_winddirDegree,Chad_windspeedKmph,Chad_location
2020-01-11,35,19,0.0,8.7,7,100,06:42 PM,06:53 AM,06:23 AM,05:52 PM,-4,27,27,27,31,1,14,0.0,1013,35,10,50,18,Chad
2020-01-12,35,20,0.0,8.7,7,83,07:44 PM,07:50 AM,06:24 AM,05:52 PM,-2,28,28,28,32,2,16,0.0,1013,35,10,57,19,Chad
2020-01-13,36,21,0.0,8.7,8,76,08:45 PM,08:44 AM,06:24 AM,05:53 PM,-3,28,28,28,24,0,15,0.0,1010,36,10,73,14,Chad
2020-01-14,37,21,0.0,8.7,8,69,09:43 PM,09:34 AM,06:24 AM,05:53 PM,-2,30,30,29,26,0,15,0.0,1009,37,10,131,14,Chad
2020-01-15,34,19,0.0,8.7,7,61,10:39 PM,10:21 AM,06:24 AM,05:54 PM,2,27,27,27,31,0,23,0.0,1011,34,10,129,19,Chad
2020-01-16,33,18,0.0,8.7,7,54,11:35 PM,11:07 AM,06:24 AM,05:54 PM,3,26,26,26,32,0,28,0.0,1013,33,10,145,19,Chad
2020-01-17,32,17,0.0,8.7,7,47,No moonrise,11:52 AM,06:24 AM,05:55 PM,0,25,25,25,31,0,24,0.0,1014,32,10,41,19,Chad
2020-01-18,31,16,0.0,8.7,6,40,12:29 AM,12:36 PM,06:25 AM,05:55 PM,2,23,23,23,32,0,27,0.0,1014,31,10,29,20,Chad
2020-01-19,32,16,0.0,8.7,7,32,01:25 AM,01:23 PM,06:25 AM,05:56 PM,1,24,24,24,31,0,26,0.0,1014,32,10,37,19,Chad
2020-01-20,34,17,0.0,8.7,7,25,02:20 AM,02:12 PM,06:25 AM,05:56 PM,-1,25,25,25,31,2,19,0.0,1013,34,10,46,18,Chad
2020-01-21,34,18,0.0,8.7,7,18,03:17 AM,03:03 PM,06:25 AM,05:57 PM,-4,26,26,26,34,0,16,0.0,1013,34,10,44,20,Chad
2020-01-22,32,17,0.0,8.7,7,11,04:13 AM,03:56 PM,06:25 AM,05:57 PM,-6,25,25,25,37,0,14,0.0,1014,32,10,43,22,Chad
2020-01-23,31,17,0.0,8.7,7,3,05:08 AM,04:50 PM,06:25 AM,05:58 PM,-7,24,24,24,39,0,13,0.0,1015,31,10,47,24,Chad
2020-01-24,30,15,0.0,8.7,6,0,06:00 AM,05:44 PM,06:25 AM,05:58 PM,-10,23,23,23,39,0,12,0.0,1016,30,10,47,23,Chad
2020-01-25,30,14,0.0,8.7,6,0,06:50 AM,06:36 PM,06:25 AM,05:59 PM,-10,23,23,22,36,0,12,0.0,1016,30,10,46,21,Chad
2020-01-26,31,14,0.0,8.7,6,4,07:36 AM,07:27 PM,06:25 AM,05:59 PM,-8,23,23,23,31,0,14,0.0,1015,31,10,45,18,Chad
2020-01-27,32,15,0.0,11.6,7,11,08:17 AM,08:15 PM,06:25 AM,06:00 PM,-8,25,25,24,28,0,13,0.0,1014,32,10,76,16,Chad
2020-01-28,33,16,0.0,11.6,7,18,08:57 AM,09:01 PM,06:25 AM,06:00 PM,-10,25,25,25,28,0,11,0.0,1013,33,10,97,16,Chad
2020-01-29,33,16,0.0,11.6,7,26,09:35 AM,09:47 PM,06:25 AM,06:01 PM,-12,25,25,25,31,0,9,0.0,1013,33,10,35,18,Chad
2020-01-30,33,16,0.0,11.6,7,33,10:11 AM,10:31 PM,06:25 AM,06:01 PM,-13,25,25,25,33,0,8,0.0,1014,33,10,37,19,Chad
2020-01-31,32,17,0.0,11.6,7,37,10:48 AM,11:17 PM,06:25 AM,06:01 PM,-6,25,25,25,35,0,15,0.0,1014,32,10,38,21,Chad
2020-02-01,32,16,0.0,11.6,7,49,11:26 AM,No moonset,06:25 AM,06:02 PM,-9,24,24,24,32,0,12,0.0,1014,32,10,30,19,Chad
2020-02-02,32,16,0.0,11.6,7,57,12:05 PM,12:03 AM,06:25 AM,06:02 PM,-8,24,24,24,30,1,13,0.0,1014,32,10,67,17,Chad
2020-02-03,32,16,0.0,11.6,7,64,12:47 PM,12:52 AM,06:24 AM,06:03 PM,-8,24,24,24,28,0,13,0.0,1014,32,10,110,16,Chad
2020-02-04,33,17,0.0,11.6,7,72,01:34 PM,01:44 AM,06:24 AM,06:03 PM,-6,25,25,25,30,0,15,0.0,1013,33,10,146,17,Chad
2020-02-05,32,18,0.0,11.6,7,79,02:25 PM,02:38 AM,06:24 AM,06:03 PM,-6,25,25,25,31,2,15,0.0,1013,32,10,143,19,Chad
2020-02-06,33,18,0.0,11.6,7,87,03:22 PM,03:36 AM,06:24 AM,06:04 PM,-3,26,26,26,28,3,19,0.0,1013,33,10,142,16,Chad
2020-02-07,35,19,0.0,11.6,7,95,04:22 PM,04:34 AM,06:24 AM,06:04 PM,-3,27,27,27,30,2,18,0.0,1013,35,10,72,18,Chad
2020-02-08,34,20,0.0,11.6,7,100,05:25 PM,05:33 AM,06:23 AM,06:04 PM,-2,27,27,27,36,1,16,0.0,1013,34,10,47,22,Chad
2020-02-09,36,20,0.0,11.6,7,100,06:28 PM,06:29 AM,06:23 AM,06:05 PM,-0,29,29,28,39,0,18,0.0,1012,36,10,42,25,Chad
2020-02-10,34,21,0.0,11.6,7,83,07:29 PM,07:23 AM,06:23 AM,06:05 PM,-5,28,28,28,40,5,12,0.0,1014,34,10,42,26,Chad
2020-02-11,30,17,0.0,11.6,6,75,08:28 PM,08:13 AM,06:23 AM,06:05 PM,-8,24,24,24,41,0,13,0.0,1016,30,10,42,26,Chad
2020-02-12,30,16,0.0,11.6,6,68,09:27 PM,09:01 AM,06:22 AM,06:05 PM,-7,23,23,23,36,0,14,0.0,1015,30,10,43,22,Chad
2020-02-13,32,14,0.0,11.6,7,60,10:23 PM,09:48 AM,06:22 AM,06:06 PM,-8,24,24,23,29,0,13,0.0,1013,32,10,105,16,Chad
2020-02-14,34,16,0.0,11.6,7,53,11:20 PM,10:34 AM,06:22 AM,06:06 PM,-9,26,26,26,29,0,11,0.0,1012,34,10,98,17,Chad
2020-02-15,34,17,0.0,11.6,7,45,No moonrise,11:21 AM,06:21 AM,06:06 PM,-10,26,26,26,28,0,11,0.0,1011,34,10,75,16,Chad
2020-02-16,36,18,0.0,11.6,7,38,12:16 AM,12:09 PM,06:21 AM,06:07 PM,-9,28,28,28,31,0,11,0.0,1011,36,10,68,18,Chad
2020-02-17,35,19,0.0,11.6,7,30,01:13 AM,01:00 PM,06:21 AM,06:07 PM,-3,27,27,27,32,0,16,0.0,1011,35,10,71,19,Chad
2020-02-18,35,19,0.0,11.6,7,22,02:08 AM,01:52 PM,06:20 AM,06:07 PM,-2,28,28,28,32,0,18,0.0,1011,35,10,93,19,Chad
2020-02-19,34,20,0.0,11.6,7,15,03:03 AM,02:45 PM,06:20 AM,06:07 PM,-1,27,27,27,33,0,18,0.0,1011,34,10,37,20,Chad
2020-02-20,36,19,0.0,11.6,7,7,03:56 AM,03:38 PM,06:20 AM,06:07 PM,-0,28,28,28,32,0,18,0.0,1010,36,10,31,19,Chad
2020-02-21,38,21,0.0,11.6,8,0,04:46 AM,04:30 PM,06:19 AM,06:08 PM,-1,30,30,30,32,0,16,0.0,1010,38,10,80,19,Chad
