date_time,Canada%2C%20Manitoba_maxtempC,Canada%2C%20Manitoba_mintempC,Canada%2C%20Manitoba_totalSnow_cm,Canada%2C%20Manitoba_sunHour,Canada%2C%20Manitoba_uvIndex,Canada%2C%20Manitoba_moon_illumination,Canada%2C%20Manitoba_moonrise,Canada%2C%20Manitoba_moonset,Canada%2C%20Manitoba_sunrise,Canada%2C%20Manitoba_sunset,Canada%2C%20Manitoba_DewPointC,Canada%2C%20Manitoba_FeelsLikeC,Canada%2C%20Manitoba_HeatIndexC,Canada%2C%20Manitoba_WindChillC,Canada%2C%20Manitoba_WindGustKmph,Canada%2C%20Manitoba_cloudcover,Canada%2C%20Manitoba_humidity,Canada%2C%20Manitoba_precipMM,Canada%2C%20Manitoba_pressure,Canada%2C%20Manitoba_tempC,Canada%2C%20Manitoba_visibility,Canada%2C%20Manitoba_winddirDegree,Canada%2C%20Manitoba_windspeedKmph,Canada%2C%20Manitoba_location
2020-01-28,-9,-13,0.3,3.1,1,18,10:25 AM,09:14 PM,08:33 AM,04:56 PM,-10,-14,-10,-14,11,87,96,0.3,1020,-9,7,198,6,Canada%2C%20Manitoba
2020-01-29,-7,-14,0.0,3.1,1,26,10:38 AM,10:24 PM,08:31 AM,04:59 PM,-12,-16,-11,-16,14,77,96,0.0,1020,-7,4,225,7,Canada%2C%20Manitoba
2020-01-30,-8,-15,0.2,3.3,1,33,10:50 AM,11:35 PM,08:29 AM,05:01 PM,-12,-18,-12,-18,19,88,96,0.3,1015,-8,6,198,11,Canada%2C%20Manitoba
2020-01-31,-4,-10,0.5,3.3,1,37,11:03 AM,No moonset,08:27 AM,05:03 PM,-7,-11,-7,-11,16,95,96,0.7,1006,-4,8,212,10,Canada%2C%20Manitoba
2020-02-01,-7,-15,0.1,3.3,1,49,11:17 AM,12:45 AM,08:26 AM,05:05 PM,-11,-13,-9,-13,20,73,92,0.3,997,-7,7,284,11,Canada%2C%20Manitoba
2020-02-02,-19,-24,0.0,3.3,1,57,11:33 AM,01:58 AM,08:24 AM,05:07 PM,-22,-28,-21,-28,16,88,94,0.1,999,-19,6,321,10,Canada%2C%20Manitoba
2020-02-03,-24,-27,0.3,3.3,1,64,11:53 AM,03:12 AM,08:22 AM,05:09 PM,-27,-36,-26,-36,20,100,91,0.4,1016,-24,9,315,14,Canada%2C%20Manitoba
2020-02-04,-23,-33,0.0,3.3,1,72,12:20 PM,04:27 AM,08:20 AM,05:12 PM,-27,-35,-27,-35,16,89,94,0.2,1017,-23,5,253,10,Canada%2C%20Manitoba
2020-02-05,-25,-32,0.1,3.4,1,79,12:59 PM,05:40 AM,08:18 AM,05:14 PM,-28,-35,-27,-35,17,83,95,0.1,1012,-25,5,325,9,Canada%2C%20Manitoba
2020-02-06,-23,-34,0.0,3.4,1,87,01:52 PM,06:46 AM,08:16 AM,05:16 PM,-30,-35,-30,-35,10,78,94,0.0,1020,-23,4,286,5,Canada%2C%20Manitoba
2020-02-07,-18,-28,0.6,3.4,1,95,03:02 PM,07:40 AM,08:14 AM,05:18 PM,-24,-30,-23,-30,13,97,95,1.0,1015,-18,2,208,8,Canada%2C%20Manitoba
2020-02-08,-16,-25,0.0,3.4,1,100,04:25 PM,08:21 AM,08:12 AM,05:20 PM,-21,-27,-21,-27,14,99,95,0.0,1013,-16,4,283,8,Canada%2C%20Manitoba
2020-02-09,-19,-28,0.0,3.4,1,100,05:55 PM,08:52 AM,08:10 AM,05:23 PM,-23,-28,-22,-28,12,79,93,0.0,1016,-19,8,256,7,Canada%2C%20Manitoba
2020-02-10,-12,-22,0.9,3.4,1,83,07:28 PM,09:16 AM,08:08 AM,05:25 PM,-18,-23,-17,-23,15,96,95,1.1,1011,-12,3,276,9,Canada%2C%20Manitoba
2020-02-11,-23,-35,0.0,3.5,1,75,08:59 PM,09:35 AM,08:06 AM,05:27 PM,-28,-36,-27,-36,17,89,93,0.0,1014,-23,8,208,11,Canada%2C%20Manitoba
2020-02-12,-26,-39,0.0,3.5,1,68,10:28 PM,09:51 AM,08:03 AM,05:29 PM,-34,-44,-33,-44,21,85,90,0.0,1028,-26,10,303,14,Canada%2C%20Manitoba
2020-02-13,-22,-32,0.0,8.7,1,60,11:57 PM,10:07 AM,08:01 AM,05:31 PM,-28,-35,-28,-35,15,57,92,0.0,1025,-22,5,252,8,Canada%2C%20Manitoba
2020-02-14,-14,-24,3.6,3.7,1,53,No moonrise,10:24 AM,07:59 AM,05:33 PM,-19,-25,-18,-25,18,98,92,4.3,1003,-14,4,197,12,Canada%2C%20Manitoba
2020-02-15,-21,-27,0.7,3.7,1,45,01:23 AM,10:44 AM,07:57 AM,05:36 PM,-23,-31,-22,-31,21,100,92,0.9,1007,-21,7,308,14,Canada%2C%20Manitoba
2020-02-16,-23,-36,0.0,5.4,1,38,02:46 AM,11:08 AM,07:55 AM,05:38 PM,-31,-38,-30,-38,14,65,92,0.0,1019,-23,7,282,8,Canada%2C%20Manitoba
2020-02-17,-22,-27,0.3,3.7,1,30,04:05 AM,11:39 AM,07:52 AM,05:40 PM,-24,-31,-24,-31,15,92,93,0.4,1019,-22,8,301,10,Canada%2C%20Manitoba
2020-02-18,-22,-30,0.0,3.7,1,22,05:15 AM,12:20 PM,07:50 AM,05:42 PM,-28,-37,-27,-37,22,96,91,0.0,1028,-22,10,302,14,Canada%2C%20Manitoba
2020-02-19,-15,-28,0.0,7.0,1,15,06:13 AM,01:13 PM,07:48 AM,05:44 PM,-23,-31,-22,-31,22,41,88,0.0,1031,-15,10,257,13,Canada%2C%20Manitoba
2020-02-20,-6,-18,0.0,3.8,1,7,06:58 AM,02:15 PM,07:45 AM,05:46 PM,-13,-19,-13,-19,23,84,92,0.0,1012,-6,10,232,15,Canada%2C%20Manitoba
2020-02-21,-1,-5,0.0,3.8,1,0,07:32 AM,03:24 PM,07:43 AM,05:49 PM,-5,-8,-3,-8,26,67,89,0.0,1001,-1,9,268,16,Canada%2C%20Manitoba
2020-02-22,1,-7,0.3,3.8,1,0,07:57 AM,04:36 PM,07:41 AM,05:51 PM,-4,-7,-3,-7,20,84,93,0.4,1001,1,7,252,12,Canada%2C%20Manitoba
2020-02-23,-2,-7,1.8,3.8,1,0,08:16 AM,05:49 PM,07:38 AM,05:53 PM,-5,-7,-3,-7,15,98,95,2.3,1006,-2,6,220,10,Canada%2C%20Manitoba
2020-02-24,-17,-22,0.1,3.8,1,0,08:32 AM,07:01 PM,07:36 AM,05:55 PM,-20,-26,-19,-26,14,91,95,0.2,1023,-17,5,43,8,Canada%2C%20Manitoba
2020-02-25,-19,-27,0.0,3.8,1,8,08:45 AM,08:11 PM,07:33 AM,05:57 PM,-24,-30,-23,-30,13,85,94,0.1,1039,-19,6,292,8,Canada%2C%20Manitoba
2020-02-26,-16,-30,0.0,5.5,1,15,08:57 AM,09:22 PM,07:31 AM,05:59 PM,-25,-26,-24,-26,7,57,93,0.0,1036,-16,5,263,4,Canada%2C%20Manitoba
2020-02-27,-13,-26,0.0,10.0,1,23,09:09 AM,10:32 PM,07:29 AM,06:01 PM,-21,-25,-20,-25,13,53,93,0.0,1030,-13,5,197,7,Canada%2C%20Manitoba
2020-02-28,-8,-18,0.3,5.4,1,30,09:22 AM,11:44 PM,07:26 AM,06:03 PM,-14,-19,-14,-19,14,96,95,0.3,1021,-8,4,194,9,Canada%2C%20Manitoba
2020-02-29,-3,-9,4.1,5.4,1,38,09:37 AM,No moonset,07:24 AM,06:05 PM,-7,-9,-7,-9,8,95,96,4.8,1005,-3,4,91,5,Canada%2C%20Manitoba
2020-03-01,-8,-17,1.8,5.4,1,44,09:55 AM,12:56 AM,07:21 AM,06:07 PM,-10,-16,-9,-16,20,100,93,2.1,1004,-8,4,212,15,Canada%2C%20Manitoba
2020-03-02,-15,-27,1.3,5.5,1,51,10:18 AM,02:10 AM,07:19 AM,06:09 PM,-21,-26,-20,-26,13,93,95,1.7,1001,-15,3,193,9,Canada%2C%20Manitoba
